NA,s10,s100,s1000,smax,uplift,area1,area2,area3,area4,area5,area6,area7,area8,area9,area10,area11,area12,area13,area14,area15,length,h0,popdens,wetland,psig0,psig0coef,psigA,psigB,rsig0,rsigA,rsigB,s10000
Canada5106,0.1,0.2,0.3,3.3,-0.73,152,4,2,1,1,1.333333333,1.333333333,1.333333333,1,1,1,1,1.5,1.5,1.5,86.08,0.178,0,0,2.05491899,26.440615483,0.062950978,18.482328502,2.05491899,0.182505656,25.583582881,0.576981382
Canada5115,0.141,0.289,0.442,3.442,-0.822,217,28,17,8,21,8.666666667,8.666666667,8.666666667,9,9,9,9,6.5,6.5,6.5,123.51,0.246,0,30.0015,0.466310238,8.306234171,0.057502039,26.270017814,0.466310238,0.171225862,36.082301955,0.880220087
Canada5120,0.1,0.2,0.3,3.3,-0.972,9777,2350,1533,1425,1747,1153.666666667,1153.666666667,1153.666666667,1149,1149,1149,1149,928.25,928.25,928.25,2860.457,0.201,0,0,3.181124193,22.381266363,0.062740764,9.860005301,3.181124193,0.192721174,13.280792321,0.57698159
Canada5132,0.128,0.261,0.397,3.397,-0.94,683,140,101,86,97,67.333333333,67.333333333,67.333333333,59.25,59.25,59.25,59.25,49.75,49.75,49.75,467.988,0.21,0,0,5.102200128,34.76918648,0.062104001,9.601356511,5.102200128,0.19294158,12.930335228,0.785512735
Canada5166,0.122,0.248,0.376,3.376,-1.456,105,1,4,3,4,4.333333333,4.333333333,4.333333333,4.75,4.75,4.75,4.75,5,5,5,520.491,0.105,0,0,0.053560277,0.723997077,0.059855389,19.428033887,0.053560277,0.176722438,26.832894939,0.741104031
Canada5167,0.129,0.261,0.397,3.397,-1.278,2331,297,170,165,213,143,143,143,159.5,159.5,159.5,159.5,133.75,133.75,133.75,1857.209,0.149,0,0,0.072404841,1.084825391,0.059746679,21.77152154,0.072404841,0.174505394,30.17985866,0.773704015
Canada5202,0.1,0.2,0.3,3.3,-1.574,2488,1,1,1,1,0,0,0,0,0,0,0,0,0,0,204.602,0.045,0,0,1.316987613,10.943050486,0.064471005,11.607382721,1.316987613,0.193270028,15.667619946,0.576981579
Canada5168,0.124,0.251,0.382,3.382,-1.645,1221,227,162,161,227,173,173,173,172.75,172.75,172.75,172.75,139,139,139,1461.148,0.017,0,0,2.664528824,23.685834858,0.062874218,12.613979594,2.664528824,0.185930916,17.259723818,0.744869387
Canada5169,0.134,0.273,0.417,3.417,-1.658,775,104,60,57,66,47.333333333,47.333333333,47.333333333,46.75,46.75,46.75,46.75,34.75,34.75,34.75,331.102,0.149,0,0,0.181241999,1.459756247,0.060550254,11.260148396,0.181241999,0.17867164,15.63982859,0.821417455
Canada5171,0.201,0.418,0.647,3.647,-1.701,742,117,63,68,84,48.666666667,48.666666667,48.666666667,45.25,45.25,45.25,45.25,37.25,37.25,37.25,161.725,0.191,0,0,0.618225995,4.388494312,0.060785327,9.952146198,0.618225995,0.189739451,13.498731411,1.31495248
Canada5172,0.142,0.29,0.443,3.443,-1.653,350,73,41,47,61,41.666666667,41.666666667,41.666666667,44.25,44.25,44.25,44.25,43,43,43,111.485,0.064,0,0,7.209765404,38.615138597,0.057110723,7.661434361,7.209765404,0.193807489,10.236581352,0.876718092
Canada5173,0.15,0.308,0.472,3.472,-1.678,357,68,43,55,64,62,62,62,58.25,58.25,58.25,58.25,53.75,53.75,53.75,128.271,0.06,0,0,1.453825867,16.687638351,0.061992106,16.398474675,1.453825867,0.178651006,22.728414796,0.942015005
Canada5175,0.164,0.339,0.521,3.521,-1.66,6,1,2,1,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0.5,14.401,0,0,0,1.944469881,23.564275732,0.061082819,17.347115196,1.944469881,0.178674511,23.995755481,1.051415013
Canada5177,0.141,0.289,0.441,3.441,-1.66,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,12.033,0,0,0,0.202870498,4.327498461,0.058352004,31.620686263,0.202870498,0.164803774,43.914750952,0.879544935
Canada5178,0.163,0.336,0.516,3.516,-1.694,1430,182,127,108,121,86.666666667,86.666666667,86.666666667,101.5,101.5,101.5,101.5,90,90,90,439.253,0.193,0,0,0.063557598,1.441918175,0.055273632,33.943188178,0.063557598,0.162360505,46.850485976,1.036226544
