segments,segid,longi,lati
Canada5106,5106,-122.645,75.918
Canada5115,5115,-121.031,75.891
Canada5120,5120,-116.799,77.534
Canada5132,5132,-118.191,75.968
Canada5166,5166,-115.022,74.963
Canada5167,5167,-114.982,75.853
Canada5202,5202,-115.077,77.939
Canada5168,5168,-112.533,74.995
Canada5169,5169,-112.433,76.163
Canada5171,5171,-111.468,75.838
Canada5172,5172,-110.497,75.569
Canada5173,5173,-109.424,75.518
Canada5175,5175,-109.938,75.857
Canada5177,5177,-110.052,75.893
Canada5178,5178,-108.458,76.735
Canada5179,5179,-110.388,76.36
Canada5180,5180,-109.381,76.128
Canada5181,5181,-109.938,75.924
Canada5203,5203,-114.238,78.047
Canada5204,5204,-113.605,77.835
Canada5218,5218,-114.262,76.88
Canada5221,5221,-113.817,77.152
Canada5265,5265,-110.104,77.548
Canada5266,5266,-112.483,77.991
Canada5267,5267,-109.583,78.039
Canada5268,5268,-110.781,78.306
Canada5269,5269,-112.593,78.501
Canada5270,5270,-109.263,78.452
Canada5170,5170,-108.036,74.929
Canada5353,5353,-100.031,80.098
Canada5174,5174,-106.895,75.922
Canada5176,5176,-109.274,75.77
Canada5527,5527,-82.193,62.981
Canada5691,5691,-79.752,62.4
Canada7437,7437,-67.92,60.537
Denmark7037,7037,-64.921,80.062
Denmark7038,7038,-67.485,80.3
Denmark7039,7039,-67.083,80.401
Denmark7040,7040,-66.77,80.52
Denmark7041,7041,-65.663,80.663
Denmark7042,7042,-65.02,80.886
Denmark7348,7348,-66.759,80.607
Denmark7349,7349,-66.89,80.663
Denmark7350,7350,-66.609,80.64
Denmark7043,7043,-64.784,80.905
Denmark7044,7044,-64.786,80.983
Denmark7045,7045,-63.019,80.88
Denmark7046,7046,-61.247,81.121
Denmark7047,7047,-59.765,81.913
Denmark7053,7053,-57.408,82.17
Denmark7054,7054,-53.537,82.057
Denmark7055,7055,-51.164,81.857
Denmark7056,7056,-50.208,81.904
Denmark7057,7057,-49.942,81.88
Denmark7106,7106,-50.053,82.029
Denmark7107,7107,-50.838,82.357
Denmark7108,7108,-49.782,82.513
Denmark7961,7961,-52.099,82.291
Denmark7964,7964,-52.953,82.326
Denmark7058,7058,-49.727,81.878
Denmark7105,7105,-49.682,81.882
Denmark7117,7117,-46.472,82.105
Denmark7118,7118,-44.958,81.773
Denmark7125,7125,-44.041,82.446
Denmark7126,7126,-45.396,82.781
Denmark7127,7127,-44.854,82.772
Denmark7135,7135,-43.468,82.912
Denmark8017,8017,-48.793,82.557
Denmark8018,8018,-48.036,82.466
Denmark8019,8019,-48.119,82.407
Denmark8022,8022,-48.089,82.886
Denmark8080,8080,-47.134,82.931
Denmark8101,8101,-46.814,82.671
Denmark7119,7119,-44.708,81.759
Denmark7120,7120,-44.476,81.787
Denmark7121,7121,-44.736,82.232
Denmark7128,7128,-44.292,82.764
Denmark7129,7129,-42.85,82.778
Denmark7130,7130,-41.822,82.526
Denmark7131,7131,-40.969,82.651
Denmark7132,7132,-40.01,82.564
Denmark7133,7133,-39.891,82.655
Denmark7134,7134,-40.083,82.707
Denmark8124,8124,-42.234,83.272
Denmark8136,8136,-41.681,83.312
Denmark8137,8137,-41.233,83.304
Denmark8138,8138,-41.246,83.288
Denmark8139,8139,-41.448,83.242
Denmark8160,8160,-41.463,83.165
Denmark8168,8168,-40.215,83.168
Denmark8188,8188,-40.487,83.358
Denmark7136,7136,-39.394,82.948
Denmark7137,7137,-38.967,82.837
Denmark7139,7139,-37.817,83.122
Denmark7140,7140,-37.417,83.482
Denmark7141,7141,-31.878,83.596
Denmark7143,7143,-32.019,83.052
Denmark7148,7148,-30.477,83.078
Denmark8176,8176,-39.489,83.378
Denmark8189,8189,-38.31,83.174
Denmark7150,7150,-25.742,82.149
Denmark7151,7151,-32.498,81.707
Denmark7152,7152,-32.416,81.733
Denmark7153,7153,-32.229,81.76
Denmark7154,7154,-32.056,81.783
Denmark7155,7155,-31.973,81.793
Denmark7156,7156,-30.521,81.889
Denmark7142,7142,-25.654,83.29
Denmark7157,7157,-29.36,81.961
Denmark7158,7158,-26.685,82.014
Denmark7163,7163,-27.267,81.384
Denmark7149,7149,-24.904,83.129
Denmark7164,7164,-24.682,81.7
Denmark7165,7165,-24.599,81.716
Denmark7166,7166,-24.437,81.714
Denmark7167,7167,-24.225,81.708
Denmark7168,7168,-23.807,82.029
Denmark7169,7169,-22.453,82.08
Denmark7170,7170,-22.836,81.297
Denmark7171,7171,-24.206,80.708
Denmark7176,7176,-22.816,80.981
Denmark7177,7177,-20.61,81.603
Denmark7178,7178,-20.07,81.665
Denmark7179,7179,-20.028,81.671
Denmark7180,7180,-19.972,81.656
Denmark7181,7181,-20.229,81.595
Denmark7182,7182,-19.121,81.551
Denmark8252,8252,-20.778,81.662
Denmark8253,8253,-20.968,81.714
Denmark8254,8254,-20.18,81.682
Denmark8292,8292,-20.673,82.167
Denmark7183,7183,-17.994,81.549
Denmark7184,7184,-17.844,81.626
Denmark7185,7185,-17.373,81.714
Denmark7186,7186,-17.522,81.738
Denmark7187,7187,-16.124,81.919
Denmark8316,8316,-19.097,82.067
Denmark8317,8317,-19.335,82.212
Denmark8318,8318,-19.065,82.096
Denmark8319,8319,-18.896,82.05
Denmark8320,8320,-18.802,81.994
Denmark8328,8328,-18.881,81.694
Denmark8329,8329,-19.192,81.754
Denmark8330,8330,-19.242,81.779
Denmark8331,8331,-18.896,81.809
Denmark8332,8332,-18.315,81.668
Denmark7188,7188,-13.891,81.822
Denmark7189,7189,-13.312,81.793
Denmark7190,7190,-13.145,81.778
Denmark7191,7191,-12.96,81.755
Denmark6839,6839,-71.91,77.437
Denmark6982,6982,-70.313,77.413
Denmark7033,7033,-68.692,79.021
Denmark7048,7048,-72.64,78.389
Denmark7049,7049,-72.479,78.058
Denmark7050,7050,-69.647,77.663
Denmark7052,7052,-67.943,77.199
Denmark7287,7287,-70.072,76.455
Denmark7296,7296,-69.765,76.597
Denmark7034,7034,-65.312,79.344
Denmark7036,7036,-64.994,79.691
Denmark7051,7051,-66.355,77.623
Denmark7059,7059,-69.62,76.412
Denmark7060,7060,-68.375,76.075
Denmark7061,7061,-67.937,76.049
Denmark7062,7062,-67.479,76.017
Denmark7063,7063,-66.688,75.942
Denmark7064,7064,-66.921,76.047
Denmark7065,7065,-67.069,76.139
Denmark7066,7066,-67.3,76.163
Denmark7067,7067,-67.078,76.255
Denmark7068,7068,-66.896,76.256
Denmark7069,7069,-66.468,76.082
Denmark7070,7070,-66.063,76.274
Denmark7071,7071,-65.917,76.267
Denmark7072,7072,-65.629,76.225
Denmark7073,7073,-65.816,76.123
Denmark7074,7074,-65.855,76.116
Denmark7075,7075,-65.887,76.101
Denmark7076,7076,-65.854,76.088
Denmark7077,7077,-65.75,76.06
Denmark7078,7078,-65.472,76.02
Denmark7079,7079,-65.201,76.167
Denmark8541,8541,-7.3,62.154
Denmark8545,8545,-7.206,62.291
Denmark8546,8546,-6.976,62.333
Denmark8548,8548,-6.857,61.907
Denmark8551,8551,-6.93,61.641
Denmark8553,8553,-6.521,62.317
Iceland8269,8269,-20.422,66.084
Iceland8270,8270,-16.792,66.118
Iceland8271,8271,-13.586,65.251
Iceland8256,8256,-23.97,64.911
Iceland8267,8267,-23.647,66.052
Iceland8266,8266,-17.865,63.599
Iceland8268,8268,-15.491,64.243
Iceland8255,8255,-21.703,64.395
Iceland8257,8257,-22.087,64.329
Iceland8258,8258,-22.032,64.298
Iceland8259,8259,-21.425,64.371
Iceland8260,8260,-22.731,64.032
Iceland8265,8265,-20.456,63.78
Iceland8261,8261,-21.919,64.111
Iceland8262,8262,-21.974,64.149
Iceland8263,8263,-21.85,64.156
Iceland8264,8264,-21.802,64.309
Norway8946,8946,13.37,79.851
Norway9090,9090,18.416,80.355
Norway9109,9109,20.009,80.536
Norway9183,9183,21.89,80.229
Norway9130,9130,20.672,80.741
Norway9135,9135,21.277,80.707
Norway9205,9205,24.198,80.454
Norway9184,9184,26.479,80.185
Norway9185,9185,26.625,80.184
Norway9186,9186,26.729,80.177
Norway9187,9187,26.976,80.123
Norway9188,9188,27.226,80.092
Norway9189,9189,27.15,80.008
Norway9227,9227,27.902,80.164
Norway9255,9255,33.502,80.233
Norway8935,8935,11.001,79.708
Norway8936,8936,10.681,79.771
Norway8944,8944,10.578,78.901
Norway8967,8967,14.319,78.029
Norway8968,8968,14.73,77.177
Norway8969,8969,15.892,76.949
Norway8947,8947,18.058,79.741
Norway8948,8948,17.809,79.386
Norway8949,8949,18.485,79.599
Norway8950,8950,18.61,79.57
Norway8951,8951,18.693,79.55
Norway8952,8952,18.869,79.354
Norway8953,8953,19.105,79.147
Norway8954,8954,19.396,79.18
Norway8955,8955,19.676,79.155
Norway8956,8956,19.851,79.063
Norway8957,8957,19.958,79.011
Norway8958,8958,20.294,78.982
Norway8964,8964,20.165,78.641
Norway8965,8965,19.6,78.548
Norway8966,8966,19.275,78.477
Norway8970,8970,16.924,76.794
Norway8971,8971,17.235,77.046
Norway8972,8972,17.824,77.496
Norway8973,8973,18.488,78.04
Norway8974,8974,19.125,78.468
Norway8975,8975,19.192,78.471
Norway9111,9111,19.654,79.393
Norway9171,9171,20.162,79.471
Norway9181,9181,19.811,79.732
Norway9182,9182,19.034,79.727
Norway8959,8959,20.646,78.925
Norway8960,8960,21.472,78.728
Norway8961,8961,20.543,78.624
Norway8962,8962,20.511,78.626
Norway8963,8963,20.438,78.64
Norway9115,9115,20.518,79.112
Norway9117,9117,20.763,78.291
Norway9118,9118,20.471,78.316
Norway9119,9119,20.513,78.43
Norway9120,9120,20.125,78.472
Norway9121,9121,20.866,78.544
Norway9122,9122,21.604,78.58
Norway9123,9123,21.945,78.578
Norway9124,9124,22.235,78.486
Norway9125,9125,22.227,78.359
Norway9126,9126,22.268,78.265
Norway9127,9127,21.47,78.233
Norway9146,9146,22.571,77.257
Norway9147,9147,22.39,77.295
Norway9148,9148,22.42,77.413
Norway9149,9149,22.54,77.459
Norway9150,9150,22.589,77.561
Norway9151,9151,22.126,77.495
Norway9152,9152,21.143,78.019
Norway9153,9153,23.457,78.154
Norway9154,9154,23.265,77.963
Norway9155,9155,24.8,77.78
Norway9156,9156,23.988,77.593
Norway9157,9157,23.969,77.572
Norway9158,9158,23.95,77.551
Norway9159,9159,23.929,77.53
Norway9160,9160,23.904,77.506
Norway9161,9161,23.861,77.491
Norway9162,9162,23.798,77.47
Norway9163,9163,23.736,77.45
Norway9164,9164,23.16,77.389
