NA,rcp85_p5,rcp85_p50,rcp85_p95,rcp45_p5,rcp45_p50,rcp45_p95,rcp26_p5,rcp26_p50,rcp26_p95,rcp0_p5,rcp0_p50,rcp0_p95
1,0.028898,0.039991,0.05097,0.028892,0.040315,0.051712,0.030192,0.041095,0.051932,0,0,0
2,0.063538,0.086521,0.10925,0.062153,0.085427,0.10866,0.064633,0.087174,0.10956,0,0,0
3,0.10629,0.14337,0.1826,0.10043,0.13824,0.17765,0.10265,0.13869,0.17629,0,0,0
4,0.15379,0.21006,0.27339,0.14108,0.19622,0.25575,0.14119,0.19168,0.24756,0,0,0
5,0.20595,0.28651,0.38371,0.18216,0.25901,0.34674,0.17658,0.24544,0.32804,0,0,0
6,0.2634,0.37258,0.51396,0.22054,0.32513,0.44987,0.20573,0.29848,0.41473,0,0,0
7,0.32576,0.46816,0.66255,0.25848,0.39257,0.56072,0.2313,0.35015,0.50683,0,0,0
8,0.39115,0.57024,0.83047,0.29427,0.46075,0.67818,0.25558,0.40029,0.60646,0,0,0
9,0.4572,0.67877,1.0132,0.32493,0.52786,0.8027,0.27428,0.44945,0.71063,0,0,0
10,0.509695,0.773935,1.19035,0.347175,0.596125,0.9442,0.300505,0.49659,0.822635,0,0,0
11,0.56219,0.8691,1.3675,0.36942,0.66439,1.0857,0.32673,0.54373,0.93464,0,0,0
12,0.62044,0.98212,1.5843,0.38667,0.73195,1.2362,0.33444,0.59163,1.0649,0,0,0
13,0.676,1.0976,1.8147,0.40362,0.79899,1.3923,0.33864,0.63924,1.2015,0,0,0
14,0.72961,1.2154,2.0538,0.4166,0.86461,1.5558,0.3416,0.6853,1.3492,0,0,0
15,0.78121,1.3357,2.3085,0.42466,0.93106,1.729,0.33861,0.73334,1.4989,0,0,0
16,0.82938,1.4575,2.5746,0.42772,0.99724,1.9068,0.33191,0.78103,1.659,0,0,0
17,0.87632,1.5809,2.8437,0.426,1.0633,2.0918,0.32269,0.82966,1.828,0,0,0
18,0.92002,1.7053,3.1306,0.42262,1.1319,2.2926,0.31062,0.87776,2.0039,0,0,0
19,0.95808,1.8309,3.4237,0.41699,1.2008,2.5006,0.29502,0.92655,2.1905,0,0,0
20,0.99017,1.9574,3.7346,0.40488,1.2698,2.7163,0.2764,0.97485,2.3821,0,0,0
