"segment","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"Albania489",0.032548,0.067873,0.11181,0.17024,0.23975,0.31047,0.38538,0.47323,0.56317,0.667775,0.77238,0.88035,0.97734,1.0853,1.1964,1.3009,1.407,1.5185,1.6354,1.7442
"Albania490",0.032548,0.067873,0.11181,0.17024,0.23975,0.31047,0.38538,0.47323,0.56317,0.667775,0.77238,0.88035,0.97734,1.0853,1.1964,1.3009,1.407,1.5185,1.6354,1.7442
"Albania491",0.032548,0.067873,0.11181,0.17024,0.23975,0.31047,0.38538,0.47323,0.56317,0.667775,0.77238,0.88035,0.97734,1.0853,1.1964,1.3009,1.407,1.5185,1.6354,1.7442
"Albania492",0.032548,0.067873,0.11181,0.17024,0.23975,0.31047,0.38538,0.47323,0.56317,0.667775,0.77238,0.88035,0.97734,1.0853,1.1964,1.3009,1.407,1.5185,1.6354,1.7442
"Albania493",0.032548,0.067873,0.11181,0.17024,0.23975,0.31047,0.38538,0.47323,0.56317,0.667775,0.77238,0.88035,0.97734,1.0853,1.1964,1.3009,1.407,1.5185,1.6354,1.7442
"Albania494",0.032548,0.067873,0.11181,0.17024,0.23975,0.31047,0.38538,0.47323,0.56317,0.667775,0.77238,0.88035,0.97734,1.0853,1.1964,1.3009,1.407,1.5185,1.6354,1.7442
"Albania495",0.032548,0.067873,0.11181,0.17024,0.23975,0.31047,0.38538,0.47323,0.56317,0.667775,0.77238,0.88035,0.97734,1.0853,1.1964,1.3009,1.407,1.5185,1.6354,1.7442
"Albania496",0.032548,0.067873,0.11181,0.17024,0.23975,0.31047,0.38538,0.47323,0.56317,0.667775,0.77238,0.88035,0.97734,1.0853,1.1964,1.3009,1.407,1.5185,1.6354,1.7442
"Albania497",0.032548,0.067873,0.11181,0.17024,0.23975,0.31047,0.38538,0.47323,0.56317,0.667775,0.77238,0.88035,0.97734,1.0853,1.1964,1.3009,1.407,1.5185,1.6354,1.7442
"Albania498",0.032548,0.067873,0.11181,0.17024,0.23975,0.31047,0.38538,0.47323,0.56317,0.667775,0.77238,0.88035,0.97734,1.0853,1.1964,1.3009,1.407,1.5185,1.6354,1.7442
"Albania499",0.032548,0.067873,0.11181,0.17024,0.23975,0.31047,0.38538,0.47323,0.56317,0.667775,0.77238,0.88035,0.97734,1.0853,1.1964,1.3009,1.407,1.5185,1.6354,1.7442
"Albania500",0.028297,0.059868,0.10028,0.15457,0.22033,0.28811,0.36108,0.44646,0.53393,0.636485,0.73904,0.84566,0.94341,1.0496,1.1546,1.2586,1.3607,1.4697,1.5844,1.6915
