"country","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"ABW",22735.693050071,27984.239687489,32800.60771812,38445.920943101,45062.849135769,52818.616966892,58940.539722543,64169.859435099,68157.160112055,72392.218331702,76928.629226134,81749.311334757,86872.078326813,92315.860153446,98100.772998776,104248.19361,110780.83831,117722.84691,125099.87192,132939.17336
"AGO",2639.763001623,3311.120412946,3943.180641261,4891.646989244,5707.265516864,6234.292064922,6684.520165537,7182.08036736,7706.375015974,8424.974466114,9215.157401705,10079.452024426,11024.809309703,12058.832168729,13189.836593872,14426.918538944,15780.027072209,17260.044390456,18878.873337623,20649.533131855
"ALB",3268.712754772,4707.12567389,6647.031910205,9244.803425084,12584.069611647,16606.042454486,20756.716064709,25717.954688653,31577.624016897,37562.30764978,41512.770030347,45878.706166302,50703.811813935,56036.378252341,61929.775598774,68442.986954716,75641.198728583,83596.453043211,92388.368757633,102104.93832
"ANT",18984.598059684,23017.670414223,27928.841878588,34971.176769309,44605.391673806,58554.839409573,73625.594568699,89022.868432088,103402.78574,117494.74402,129851.77412,143508.40442,158601.31507,175281.56098,193716.08367,214089.38203,236605.35889,261489.36171,288990.43795,319383.82762
"ARE",29363.593579925,32312.474606952,34449.806095885,37316.545188872,41046.368129451,45265.159575403,51850.747753232,59804.735855421,68567.272622279,79204.930089918,87534.985303592,96741.120071709,106915.47249,118159.87088,130586.85298,144320.7922,159499.14241,176273.81365,194812.69247,215301.32219
"ARG",6272.074229823,7767.271512164,9790.125030947,12551.111368842,16353.441584141,19648.513044898,22805.260028484,26082.556974838,29240.295033518,32845.593030501,36299.994204258,40117.69792086,44336.913042279,48999.866891576,54153.227878147,59848.572570852,66142.901893645,73099.211609987,80787.122805616,89283.578679772
"ATG",12480.119893205,14550.86695117,16509.02884706,19259.210005273,23007.024941352,27884.491349158,32418.288634893,36985.598570017,41422.17518839,46462.179713213,51348.649809447,56749.034451851,62717.382505059,69313.427202418,76603.183976266,84659.611162567,93563.340192462,103403.48258,114278.52177,126297.29883
"AUS",37921.373019088,44961.905493095,51801.972197441,58910.058143228,64845.456617558,70906.968456655,77511.577950053,84272.2708558,91114.578997009,98911.978662108,107430.01019,116681.59151,126729.89394,137643.52895,149497.01662,162371.29452,176354.27034,191541.42215,208036.45031,225951.98559
"BEL",37295.745005356,44267.494972498,52808.512182287,60247.493779366,65678.221958755,71721.795585949,78002.808725138,84469.337889523,91491.380100126,99434.426830258,108120.75781,117565.9039,127836.1532,139003.58458,151146.57349,164350.3421,178707.55734,194318.98127,211294.1783,229752.28406
"BEN",591.188981471,739.62052581,948.884297479,1249.926758008,1694.677995663,2362.34030007,3381.17206803,4513.515332847,5603.908361656,6448.420365294,6727.340155182,7018.324333678,7321.8947335,7638.595758706,7968.995360991,8313.686058214,8673.285996989,9048.440061221,9439.821028608,9848.130777155
