country,cci
ABW,1.768222163
AGO,0.70453522
ALB,0.586327586
ANT,0.586327586
ARE,0.568336501
ARG,1.050171806
ATG,1.369048023
AUS,2.5
BEL,1.391122387
BEN,0.677524344
BGD,0.5
BGR,0.639614646
BHR,0.607713314
BHS,1.372871121
BIH,0.554023092
BLZ,0.941693621
BMU,2.5
BRA,0.830125117
BRB,1.260755392
BRN,0.626363357
CAN,1.857638502
CHL,0.943780266
CHN,0.903677623
CIV,0.654765021
CMR,0.732173906
COD,0.710585916
COG,1.050155072
COL,0.997876075
COM,0.682973887
CPV,0.894440969
CRI,1.2669921
CUB,0.641
CYP,0.942666574
DEU,1.896510452
DJI,1.049090783
DMA,1.34743573
DNK,1.910954428
DOM,0.618244345
DZA,0.703620917
ECU,0.719224712
EGY,0.5
ERI,0.5
ESP,1.006731487
EST,1.059817144
FIN,2.052628625
FJI,0.604893292
FRA,1.62946728
FSM,0.645
GAB,0.7984245
GBR,1.379738017
GEO,0.5
GHA,0.739756829
GIN,0.760659395
GLP,0.760659395
GMB,0.663984175
GNB,0.614243736
GNQ,0.715363625
GRC,0.852144873
GRD,1.448195797
GTM,0.653
GUF,0.763
GUY,0.715516971
HKG,1.381050997
HND,0.593775244
HRV,0.698433192
HTI,0.679769462
IDN,0.5
IND,0.5
IRL,1.358901043
IRN,0.5
IRQ,0.660566283
ISL,2.5
ISR,1.960477905
ITA,1.055194721
JAM,1.138458364
JOR,0.642154318
JPN,2.489283039
KEN,0.530511048
KHM,0.5
KIR,0.645
KNA,1.203858672
KOR,1.215439677
KWT,0.652574537
LBN,0.684
LBR,0.649150968
LBY,0.639
LCA,1.235541106
LKA,0.5
LTU,0.919362012
LVA,0.892017254
MAC,0.816
MAR,0.5
MCO,0.5
MDG,0.652574395
MDV,0.578537475
MEX,0.91939791
MHL,0.645
MLT,1.058668608
MMR,0.5
MNE,0.684511683
MOZ,0.591709312
MRT,0.632765342
MTQ,1.31561743
MUS,0.714087962
MYS,0.5
NAM,0.718469683
NCL,0.645
NGA,0.808543805
NIC,0.775493142
NLD,1.527639148
NOR,2.215323506
NRU,0.645
NZL,2.5
OMN,0.509090808
PAK,0.5
PAN,0.872541728
PER,0.820282772
PHL,0.552220894
PLW,0.5
PNG,2.5
POL,0.870789077
PRI,0.794
PRK,1.276
PRT,0.751943366
PSE,0.911073836
PYF,0.645
QAT,0.6586185
REU,0.6586185
ROU,0.579175651
RUS,1.056564065
SAU,0.530317092
SDN,0.5
SEN,0.687529248
SGP,0.93640099
SLB,0.645
SLE,0.796688217
SLV,0.569747518
SOM,0.5
STP,0.755442104
SUR,0.5
SVN,0.897456414
SWE,2.314358622
SYC,0.860323106
SYR,0.837
TGO,0.652484213
THA,0.5
TLS,0.5
TON,0.645
TTO,0.980943989
TUN,0.702309728
TUR,0.5
TUV,0.645
TWN,0.830031416
TZA,0.889857649
UKR,0.5
URY,1.364163473
USA,2.5
VCT,0.992029437
VEN,0.642
VIR,2.5
VNM,0.5
VUT,0.645
WSM,0.645
YEM,0.687
ZAF,0.577644174
