country,gtapland
ABW,0.440486765
AGO,0.051589866
ALB,1.047302357
ANT,0.440486765
ARE,1.648043475
ARG,0.093868681
ATG,0.440486765
AUS,0.041341934
BEL,0.996932775
BEN,0.093513711
BGD,0.843191031
BGR,0.335370644
BHR,0.020193614
BHS,0.440486765
BIH,0.158932308
BLZ,0.72946281
BMU,0.440486765
BRA,0.118039866
BRB,0.440486765
BRN,0.397166248
CAN,0.131428128
CHL,0.202986104
CHN,1.047227591
CIV,0.086306751
CMR,0.120798296
COD,0.011499708
COG,0.011499708
COL,0.251767113
COM,0.009295121
CPV,0.011499708
CRI,0.474624285
CUB,0.440486765
CYP,0.37975142
DEU,0.996779229
DJI,0.009295121
DMA,0.440486765
DNK,0.544261104
DOM,0.440486765
DZA,0.061312374
ECU,0.313753737
EGY,0.943160878
ERI,0.009295121
ESP,0.609953234
EST,0.556837421
FIN,1.840896387
FJI,0.397166248
FRA,0.734037883
FSM,0.397166248
GAB,0.011499708
GBR,0.548329555
GEO,0.435877071
GHA,0.148463991
GIN,0.022755107
GLP,0.440486765
GMB,0.011499708
GNB,0.011499708
GNQ,0.011499708
GRC,2.012859735
GRD,0.440486765
GTM,0.529667699
GUF,0.124061806
GUY,0.124061806
HKG,1.499009663
HND,0.31138133
HRV,1.798927164
HTI,0.440486765
IDN,0.921928218
IND,1.077680391
IRL,0.644267625
IRN,0.079217435
IRQ,0.061312374
ISL,0.158932308
ISR,1.233157211
ITA,1.745444672
JAM,0.440486765
JOR,0.061312374
JPN,4.953002492
KEN,0.066628553
KHM,0.281461845
KIR,0.397166248
KNA,0.440486765
KOR,5.197505198
KWT,0.57278012
LBN,0.061312374
LBR,0.011499708
LBY,0.061312374
LCA,0.440486765
LKA,2.313510952
LTU,0.457781683
LVA,0.251866712
MAC,0.397166248
MAR,0.121323567
MCO,0.158932308
MDG,0.014591787
MDV,0.397166248
MEX,0.206350182
MHL,0.397166248
MLT,0.37975142
MMR,0.335599572
MNE,0.158932308
MOZ,0.012193845
MRT,0.397166248
MTQ,0.440486765
MUS,0.014591787
MYS,1.252260647
NAM,0.004572551
NCL,0.397166248
NGA,0.269859676
NIC,0.084021094
NLD,2.751196671
NOR,5.197505198
NRU,0.397166248
NZL,0.250103266
OMN,0.020193614
PAK,0.967639785
PAN,0.332050805
PER,0.379712696
PHL,1.266034758
PLW,0.397166248
PNG,0.397166248
POL,0.719884731
PRI,0.440486765
PRK,0.943472311
PRT,0.488296144
PSE,0.075981891
PYF,0.397166248
QAT,0.5377926
REU,0.009295121
ROU,0.797618381
RUS,0.225490205
SAU,0.206113804
SDN,0.061312374
SEN,0.06070062
SGP,0.482669356
SLB,0.397166248
SLE,0.009295121
SLV,0.650274113
SOM,0.061312374
STP,0.011499708
SUR,0.011499708
SVN,1.683038863
SWE,0.643208761
SYC,0.009295121
SYR,0.124061806
TGO,0.037006344
THA,0.965975983
TLS,0.011499708
TON,0.061312374
TTO,0.009295121
TUN,0.195152748
TUR,0.37975142
TUV,0.397166248
TWN,1.499009663
TZA,0.033780071
UKR,0.185624599
URY,0.071472454
USA,0.236364421
VCT,0.397166248
VEN,0.289846841
VIR,0.440486765
VNM,1.086906236
VUT,0.397166248
WSM,0.440486765
YEM,0.397166248
ZAF,0.023922215
