"segment","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"Albania489",0.036086,0.072004,0.118,0.17242,0.22861,0.28993,0.35254,0.41261,0.4703,0.529745,0.58919,0.65238,0.71161,0.76512,0.82143,0.88215,0.95316,1.0167,1.0752,1.1352
"Albania490",0.036086,0.072004,0.118,0.17242,0.22861,0.28993,0.35254,0.41261,0.4703,0.529745,0.58919,0.65238,0.71161,0.76512,0.82143,0.88215,0.95316,1.0167,1.0752,1.1352
"Albania491",0.036086,0.072004,0.118,0.17242,0.22861,0.28993,0.35254,0.41261,0.4703,0.529745,0.58919,0.65238,0.71161,0.76512,0.82143,0.88215,0.95316,1.0167,1.0752,1.1352
"Albania492",0.036086,0.072004,0.118,0.17242,0.22861,0.28993,0.35254,0.41261,0.4703,0.529745,0.58919,0.65238,0.71161,0.76512,0.82143,0.88215,0.95316,1.0167,1.0752,1.1352
"Albania493",0.036086,0.072004,0.118,0.17242,0.22861,0.28993,0.35254,0.41261,0.4703,0.529745,0.58919,0.65238,0.71161,0.76512,0.82143,0.88215,0.95316,1.0167,1.0752,1.1352
"Albania494",0.036086,0.072004,0.118,0.17242,0.22861,0.28993,0.35254,0.41261,0.4703,0.529745,0.58919,0.65238,0.71161,0.76512,0.82143,0.88215,0.95316,1.0167,1.0752,1.1352
"Albania495",0.036086,0.072004,0.118,0.17242,0.22861,0.28993,0.35254,0.41261,0.4703,0.529745,0.58919,0.65238,0.71161,0.76512,0.82143,0.88215,0.95316,1.0167,1.0752,1.1352
"Albania496",0.036086,0.072004,0.118,0.17242,0.22861,0.28993,0.35254,0.41261,0.4703,0.529745,0.58919,0.65238,0.71161,0.76512,0.82143,0.88215,0.95316,1.0167,1.0752,1.1352
"Albania497",0.036086,0.072004,0.118,0.17242,0.22861,0.28993,0.35254,0.41261,0.4703,0.529745,0.58919,0.65238,0.71161,0.76512,0.82143,0.88215,0.95316,1.0167,1.0752,1.1352
"Albania498",0.036086,0.072004,0.118,0.17242,0.22861,0.28993,0.35254,0.41261,0.4703,0.529745,0.58919,0.65238,0.71161,0.76512,0.82143,0.88215,0.95316,1.0167,1.0752,1.1352
"Albania499",0.036086,0.072004,0.118,0.17242,0.22861,0.28993,0.35254,0.41261,0.4703,0.529745,0.58919,0.65238,0.71161,0.76512,0.82143,0.88215,0.95316,1.0167,1.0752,1.1352
"Albania500",0.031896,0.064246,0.10696,0.1583,0.21099,0.26845,0.32741,0.38473,0.44131,0.4986,0.55589,0.61586,0.67113,0.72135,0.77168,0.82968,0.89447,0.95433,1.0086,1.0639
"Albania501",0.031896,0.064246,0.10696,0.1583,0.21099,0.26845,0.32741,0.38473,0.44131,0.4986,0.55589,0.61586,0.67113,0.72135,0.77168,0.82968,0.89447,0.95433,1.0086,1.0639
"Albania502",0.031896,0.064246,0.10696,0.1583,0.21099,0.26845,0.32741,0.38473,0.44131,0.4986,0.55589,0.61586,0.67113,0.72135,0.77168,0.82968,0.89447,0.95433,1.0086,1.0639
"Albania503",0.031896,0.064246,0.10696,0.1583,0.21099,0.26845,0.32741,0.38473,0.44131,0.4986,0.55589,0.61586,0.67113,0.72135,0.77168,0.82968,0.89447,0.95433,1.0086,1.0639
"Albania504",0.025734,0.052488,0.088357,0.13332,0.1794,0.22913,0.28004,0.32902,0.37675,0.425965,0.47518,0.52699,0.57517,0.61753,0.66211,0.71405,0.77077,0.82213,0.86634,0.91652
"Algeria867",0.034131,0.073966,0.12401,0.17974,0.23711,0.29913,0.36083,0.42096,0.48231,0.53831,0.59431,0.6553,0.71072,0.7639,0.8199,0.87911,0.94718,1.0074,1.0613,1.1187
"Algeria868",0.034131,0.073966,0.12401,0.17974,0.23711,0.29913,0.36083,0.42096,0.48231,0.53831,0.59431,0.6553,0.71072,0.7639,0.8199,0.87911,0.94718,1.0074,1.0613,1.1187
"Algeria869",0.034131,0.073966,0.12401,0.17974,0.23711,0.29913,0.36083,0.42096,0.48231,0.53831,0.59431,0.6553,0.71072,0.7639,0.8199,0.87911,0.94718,1.0074,1.0613,1.1187
"Algeria870",0.034131,0.073966,0.12401,0.17974,0.23711,0.29913,0.36083,0.42096,0.48231,0.53831,0.59431,0.6553,0.71072,0.7639,0.8199,0.87911,0.94718,1.0074,1.0613,1.1187
"Algeria871",0.034131,0.073966,0.12401,0.17974,0.23711,0.29913,0.36083,0.42096,0.48231,0.53831,0.59431,0.6553,0.71072,0.7639,0.8199,0.87911,0.94718,1.0074,1.0613,1.1187
"Algeria872",0.034131,0.073966,0.12401,0.17974,0.23711,0.29913,0.36083,0.42096,0.48231,0.53831,0.59431,0.6553,0.71072,0.7639,0.8199,0.87911,0.94718,1.0074,1.0613,1.1187
"Algeria873",0.034131,0.073966,0.12401,0.17974,0.23711,0.29913,0.36083,0.42096,0.48231,0.53831,0.59431,0.6553,0.71072,0.7639,0.8199,0.87911,0.94718,1.0074,1.0613,1.1187
"Algeria874",0.034131,0.073966,0.12401,0.17974,0.23711,0.29913,0.36083,0.42096,0.48231,0.53831,0.59431,0.6553,0.71072,0.7639,0.8199,0.87911,0.94718,1.0074,1.0613,1.1187
"Algeria875",0.034131,0.073966,0.12401,0.17974,0.23711,0.29913,0.36083,0.42096,0.48231,0.53831,0.59431,0.6553,0.71072,0.7639,0.8199,0.87911,0.94718,1.0074,1.0613,1.1187
