variable,ABW,AGO,ALB,ANT,ARE,ARG,ATG,AUS,BEL,BEN,BGD,BGR,BHR,BHS,BIH,BLZ,BMU,BRA,BRB,BRN,CAN,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUY,HKG,HND,HRV,HTI,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KEN,KHM,KIR,KNA,KOR,KWT,LBN,LBR,LBY,LCA,LKA,LTU,LVA,MAC,MAR,MCO,MDG,MDV,MEX,MHL,MLT,MMR,MNE,MOZ,MRT,MTQ,MUS,MYS,NAM,NCL,NGA,NIC,NLD,NOR,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PSE,PYF,QAT,REU,ROU,RUS,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,STP,SUR,SVN,SWE,SYC,SYR,TGO,THA,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UKR,URY,USA,VCT,VEN,VIR,VNM,VUT,WSM,YEM,ZAF
1,0.110663,19.081912,3.204284,0.200689,7.51169,40.412376,0.08871,22.268384,10.712066,8.849892,148.692131,7.494332,1.261835,0.342877,3.760149,0.311627,0.064941,194.94647,0.273331,0.39892,34.016593,17.113688,1318.173029,19.7378,19.598889,65.965795,4.042899,46.294841,0.73475,0.495999,4.658887,11.257979,1.103647,82.302465,0.888716,0.067757,5.550142,9.92732,35.468208,14.464739,81.121077,5.253676,46.076989,1.34114,5.364546,0.860623,62.787427,0.105681,1.505463,62.03557,4.352244,24.391823,9.98159,0.4,1.728394,1.515224,0.700401,11.359346,0.104487,14.388929,0.25,0.754493,7.053189,7.600524,4.40333,9.993247,239.870937,1224.614327,4.4699,73.97363,31.671591,0.320136,7.4184,60.550848,2.741052,6.187227,126.53592,40.512682,14.138255,0.099546,0.052402,48.183584,2.736732,4.227597,3.994122,6.355112,0.174267,20.859949,3.323611,2.25206,0.543656,31.951412,0.030508,20.713819,0.315885,113.423047,0.070983,0.416515,47.963012,0.63149,23.390765,3.459773,0.38,1.299172,28.401017,2.283289,0.26784,158.423182,5.788163,16.612988,4.883111,0.010134,4.368136,2.782435,173.593383,3.51682,29.076512,93.260798,0.02,6.858266,38.27666,3.749009,24.346229,10.675572,4.039,0.280026,1.758793,0.840974,21.486371,142.958164,27.448086,43.551941,12.433728,5.086418,0.538148,5.867536,6.192993,9.330872,0.165397,0.524636,2.02968,9.379687,0.086518,20.410606,6.027798,69.122234,1.201542,0.104058,1.341465,10.480934,72.752325,0.010782,23.162123,44.841226,45.448329,3.368786,310.383948,0.109333,28.979857,0.10417,87.848445,0.239651,0.183081,24.052514,50.132817
2,0.11508952,24.780202,3.29371,0.211886,9.173792,43.856032,0.097396,25.240636,11.001434,11.522543,167.256052,7.000622,1.507942,0.382621,3.647448,0.376863,0.066106,210.433295,0.278973,0.46539,37.162845,18.53997,1363.827182,24.503318,24.117381,85.05427,5.002953,52.185377,0.933326,0.544419,5.272365,11.172971,1.21816,80.987688,1.065935,0.067879,5.735559,11.121404,40.180358,16.354684,94.809938,6.848254,48.661277,1.32948,5.52586,0.922797,65.874337,0.10990824,1.818034,65.801945,4.079722,30.324996,12.765081,0.416,2.242102,1.86329,0.905012,11.569033,0.108127,18.382163,0.26,0.773172,7.803144,9.178731,4.311246,11.311185,262.569461,1386.909072,4.968032,81.045017,42.68429,0.357745,8.666465,61.29034,2.827975,7.365712,124.803628,52.563909,15.893014,0.115828,0.058528,49.809727,3.394217,4.516091,5.166102,7.082535,0.190414,22.343623,3.18992,2.168864,0.654407,35.077821,0.03172832,27.365838,0.356029,125.927829,0.07382232,0.427706,51.687782,0.635906,29.177268,4.298114,0.3952,1.361465,32.985544,2.671995,0.2785536,203.868897,6.602877,17.039498,5.230052,0.01053936,4.824223,3.289964,205.364462,4.038009,32.434902,109.7417,0.0208,8.463812,38.374741,3.747304,25.355354,10.623191,4.857,0.29122704,2.198666,0.87461296,20.969678,141.02197,33.535044,54.919306,15.997622,5.596754,0.684041,7.178034,6.61033,12.237223,0.199765,0.568758,2.066004,9.923586,0.089841,24.079119,7.342518,72.090999,1.24960368,0.110881,1.372817,11.51823,80.75289,0.01121328,23.96432961,61.080809,43.04655,3.494787,337.101833,0.109647,33.339611,0.1083368,96.355053,0.302751,0.191373,32.231514,52.573259
3,0.119693101,30.801122,3.290159,0.212869,10.488999,46.760789,0.104643,27.771432,11.241701,14.629754,181.863468,6.45505,1.65425,0.414859,3.472592,0.438824,0.066582,220.491888,0.280693,0.52204,39.849523,19.53585,1369.020485,29.822792,28.811094,105.956285,6.169093,56.85609,1.160261,0.588297,5.693562,10.983124,1.301376,79.469449,1.262971,0.068815,5.885446,12.059752,43.475065,17.893008,106.497969,8.394403,49.998071,1.296158,5.619448,0.958253,68.466942,0.11430457,2.145528,69.314279,3.759689,36.5374,15.945604,0.43264,2.817867,2.262638,1.101505,11.62142,0.107563,22.725553,0.2704,0.794743,8.482956,10.656972,4.185278,12.528107,279.658936,1523.482335,5.35623,84.439361,55.256976,0.389985,9.816146,60.850507,2.842494,8.414929,120.217549,65.928221,17.362741,0.132178,0.063336,50.335041,4.012089,4.700974,6.532817,7.7829,0.200923,23.094473,3.067621,2.073405,0.742303,37.501586,0.032997453,35.333076,0.383231,135.398031,0.076775213,0.430652,54.3308,0.632543,35.906545,5.199643,0.411008,1.394492,37.265632,3.042334,0.289695744,257.81481,7.239865,17.31084,5.574094,0.010960934,5.210754,3.602727,234.432014,4.50154,35.491535,126.320712,0.021632,10.184988,37.834926,3.753534,26.180166,10.309201,5.398,0.302876122,2.370905,0.909597478,20.29063,136.429151,38.481078,66.856417,19.963185,5.978458,0.841161,8.531598,7.092623,16.359849,0.23463,0.601679,2.059279,10.379451,0.092431,27.859412,8.684298,73.321394,1.299587827,0.12054,1.354311,12.212398,86.665132,0.011661811,24.05558311,81.852016,40.515498,3.601297,361.679889,0.110781,37.040292,0.112670272,101.483205,0.3714,0.200406,41.341581,54.711498
4,0.124480825,36.75289,3.17921,0.207232,11.517642,49.018513,0.109344,29.768492,11.435559,18.090839,190.933715,5.935025,1.75788,0.434412,3.237388,0.489917,0.065889,224.431018,0.275311,0.567946,41.881923,20.023644,1337.406417,35.301261,33.693886,127.440681,7.46227,60.058209,1.425967,0.61814,5.928596,10.555973,1.34399,77.304593,1.447373,0.06738,5.938192,12.67864,45.490264,18.973267,116.232003,10.032701,50.937767,1.25788,5.619135,0.991666,70.680517,0.118876752,2.467631,71.525039,3.45628,42.940982,19.414264,0.4499456,3.427274,2.705848,1.298391,11.660985,0.102819,27.192297,0.281216,0.790578,8.947243,11.933636,4.024073,13.503872,290.22305,1627.029386,5.707234,85.892572,68.950081,0.41385,10.955079,60.18236,2.750629,9.289244,114.340034,80.975369,18.361038,0.145273,0.066626,49.353734,4.633113,4.749348,8.064668,8.359938,0.205701,23.432924,2.930591,1.976504,0.79685,38.80575,0.034317351,44.132032,0.398413,141.523297,0.079846221,0.424299,55.410022,0.621232,43.020685,6.146278,0.42744832,1.394919,40.799652,3.353627,0.301283574,320.341187,7.661275,17.344211,5.841453,0.011399372,5.483441,3.749317,257.777902,4.869788,37.668225,141.675245,0.02249728,11.918525,36.372464,3.726037,26.444855,9.917503,5.712,0.314991166,2.523783,0.945981378,19.458138,131.279651,42.18332,79.055628,24.268608,6.144768,1.004916,9.872389,7.438052,21.668851,0.268618,0.616608,2.028944,10.65622,0.093273,30.921425,9.969991,72.994033,1.35157134,0.131031,1.329033,12.532759,90.30157,0.012128284,23.50008022,107.737069,38.10035,3.659035,383.460475,0.11262,39.896133,0.117177083,104.047161,0.442419,0.212688,51.256063,56.040215
5,0.129460058,42.334143,2.989747,0.198053,12.152082,50.559806,0.111577,31.385363,11.587473,21.734471,194.352619,5.459131,1.801018,0.445096,2.952349,0.529221,0.064662,222.843309,0.264477,0.601606,43.641505,20.058849,1273.231328,40.673593,38.472407,148.522753,8.801176,61.764353,1.70013,0.632094,6.001065,9.898393,1.347448,74.781359,1.619732,0.064847,5.919903,12.942018,46.52156,19.54939,123.451644,11.567912,51.353635,1.232821,5.610851,1.017284,72.44216,0.123631822,2.783767,72.817388,3.185945,49.10674,23.006011,0.467943424,4.036275,3.185172,1.492645,11.646763,0.094921,31.594785,0.29246464,0.766143,9.305325,12.938753,3.858902,14.178411,293.455578,1692.007631,6.037716,85.343693,83.357221,0.431005,12.029449,59.158108,2.569228,9.881728,108.548677,96.887193,18.964892,0.155721,0.068238,47.049782,5.163994,4.677987,9.660352,8.773331,0.205188,23.192808,2.812659,1.902467,0.82443,39.199971,0.035690045,53.561173,0.405237,143.924837,0.08304007,0.415034,55.295866,0.60361,50.191707,7.0847,0.444546253,1.366915,43.454751,3.599432,0.313334917,389.614656,7.845543,17.151142,6.063492,0.011855347,5.677801,3.739585,274.875396,5.127706,38.832436,154.938579,0.023397171,13.549364,34.905868,3.657439,26.381631,9.378684,5.83,0.327590813,2.611601,0.983820633,18.534956,126.188341,44.93769,90.9616,28.606957,6.105946,1.162515,11.088208,7.607108,28.217081,0.298618,0.613801,1.993561,10.915885,0.091324,33.051312,11.130448,71.03671,1.405634194,0.138176,1.288356,12.648966,91.616772,0.012613415,22.37243516,138.31214,36.074469,3.663253,403.100526,0.112659,41.820642,0.121864166,103.962427,0.512562,0.218965,61.576664,56.757058
6,0.13463846,47.24256,2.761793,0.183911,12.172369,51.296365,0.112221,32.659704,11.721217,25.397256,192.38432,4.986412,1.765803,0.450178,2.665203,0.557025,0.064081,216.886116,0.252707,0.624172,45.101416,19.712657,1190.617034,45.562624,42.870959,167.979654,10.124697,62.366519,2.001749,0.629878,5.932118,9.111195,1.326693,72.371401,1.743471,0.062585,5.910413,13.075309,46.165906,19.810437,127.730393,12.859289,49.856601,1.201049,5.635736,1.032134,73.952842,0.128577095,3.071461,73.537784,2.958374,54.647953,26.533422,0.486661161,4.611863,3.682001,1.663617,11.475521,0.089907,35.765404,0.304163226,0.768297,9.567076,13.682023,3.699071,14.721754,290.256945,1717.9688,6.273861,81.684263,97.894639,0.443736,12.960848,57.399172,2.454284,10.191617,103.241312,112.54016,19.117534,0.164044,0.068511,44.253748,5.559047,4.508442,11.271451,8.892874,0.201618,22.551854,2.704982,1.823091,0.830503,38.750318,0.037117647,63.178813,0.39858,142.774662,0.086361673,0.407443,54.223252,0.582507,57.280451,7.975749,0.462328103,1.323385,45.437418,3.7702,0.325868313,462.1029,7.953592,16.983981,6.269099,0.012329561,5.827112,3.611043,283.959432,5.271127,39.292812,165.506964,0.024333058,15.007767,33.553719,3.561287,26.161175,8.676315,5.79,0.340694446,2.59686,1.023173458,17.430174,120.761349,46.291134,102.055432,32.761688,6.006127,1.304919,12.143673,7.667396,35.954398,0.323775,0.610532,1.946388,11.138128,0.087711,34.464404,12.089147,68.261936,1.461859562,0.14938,1.230482,12.474644,90.800304,0.013117952,20.92078778,172.232145,34.086038,3.642578,421.049898,0.110914,42.814299,0.126738733,100.986529,0.57848,0.236274,71.418293,57.120401
7,0.140023999,51.134116,2.501779,0.169747,11.738102,51.29106,0.112023,33.661984,11.904944,28.903802,185.934189,4.591869,1.702782,0.450792,2.391243,0.572171,0.064177,207.906045,0.242048,0.638969,46.271385,19.151559,1106.460586,49.623328,46.686795,184.539067,11.389317,62.08975,2.305455,0.611923,5.759707,8.388159,1.287674,70.88608,1.831558,0.060263,5.926231,13.069641,44.743307,19.75566,129.251105,13.933993,47.738213,1.167219,5.674355,1.036523,75.554419,0.133720179,3.316382,74.09725,2.753529,59.371391,29.813621,0.506127607,5.122667,4.178121,1.807822,11.277179,0.085786,39.422234,0.316329755,0.758939,9.73834,14.108941,3.55033,15.004238,282.799442,1708.200393,6.455261,76.016483,111.940533,0.453785,13.762554,55.768153,2.378322,10.249024,98.12575,127.319357,18.78821,0.168314,0.067872,41.61361,5.84473,4.269991,12.839627,8.804202,0.194612,21.836617,2.592363,1.738797,0.821443,37.516009,0.038602353,72.472034,0.378818,140.174856,0.08981614,0.399374,52.400998,0.558515,63.743409,8.788545,0.480821227,1.274906,46.701332,3.854319,0.338903046,535.498117,7.938282,17.000888,6.46133,0.012822743,5.960733,3.430226,285.191258,5.326996,39.07578,172.893227,0.02530638,16.224495,31.873705,3.43401,25.764258,7.994099,5.718,0.354322223,2.507417,1.064100396,16.345455,116.247879,46.213689,111.525257,36.557829,5.886725,1.426435,12.995032,7.594192,44.651787,0.341685,0.600714,1.898102,11.315823,0.083601,35.01646,12.800016,65.340268,1.520333944,0.163941,1.167007,12.018241,88.477803,0.01364267,19.44204261,208.563118,32.356625,3.598593,438.301859,0.107974,42.997902,0.131808282,96.391441,0.63687,0.260093,80.333648,57.075821
8,0.145624958,53.886633,2.230411,0.158957,11.241676,50.778148,0.111177,34.54086,12.143734,32.050936,176.611601,4.335742,1.658415,0.448802,2.152186,0.574658,0.064413,197.206348,0.232911,0.648898,47.206375,18.475133,1030.032454,52.766217,49.791197,197.494991,12.52658,61.118901,2.58787,0.581637,5.514009,7.824182,1.244067,70.228268,1.88947,0.057702,5.954021,12.897183,43.06509,19.42287,128.440901,14.738584,46.280329,1.150032,5.722781,1.032899,77.286724,0.139068986,3.512454,74.620435,2.577,63.077459,32.66384,0.526372712,5.543952,4.660169,1.923121,11.188502,0.081259,42.377002,0.328982945,0.739087,9.892424,14.219713,3.435064,15.018881,273.362656,1670.461509,6.658139,70.002173,124.854165,0.46287,14.435357,55.137356,2.305403,10.103762,94.365146,140.52447,18.134946,0.168816,0.066692,39.483423,6.072184,4.015352,14.279926,8.643086,0.18564,21.108788,2.507835,1.684703,0.808403,35.947908,0.040146447,80.989158,0.34994,136.420918,0.093408785,0.391454,50.349965,0.534636,69.33505,9.483997,0.500054076,1.226998,47.239257,3.86027,0.352459168,606.865493,7.78254,17.112215,6.651864,0.013335653,6.093398,3.248604,280.414852,5.31995,38.296869,177.081631,0.026318636,17.150019,30.458658,3.290503,25.334033,7.446725,5.669,0.368495112,2.387501,1.106664412,15.567695,113.329574,45.291472,119.024817,39.76836,5.757996,1.522356,13.604387,7.389146,54.003694,0.352391,0.585762,1.868481,11.510605,0.079598,34.701145,13.26557,62.547492,1.581147302,0.176366,1.108365,11.550835,85.426068,0.014188376,18.09909464,245.779732,31.210464,3.535748,453.967847,0.104086,42.529292,0.137080613,91.073764,0.6854,0.281799,88.001858,56.532745
9,0.151449957,55.474693,2.006576,0.151169,10.830874,50.033284,0.109655,35.289354,12.384683,34.692601,166.44958,4.197668,1.627036,0.447835,1.982423,0.566956,0.064811,186.678145,0.226512,0.657505,47.90551,17.773873,967.5457364,55.010983,52.123049,206.632626,13.481304,59.701431,2.837466,0.548489,5.248166,7.360055,1.21063,70.144993,1.91944,0.055179,5.986421,12.596645,41.492436,18.913106,126.276996,15.244932,45.531836,1.146092,5.781215,1.022269,78.886226,0.144631746,3.664984,75.081863,2.452089,65.685964,34.962733,0.54742762,5.864625,5.112026,2.005111,11.16155,0.077619,44.569343,0.342142263,0.714934,10.105249,14.082663,3.361096,14.851864,263.48237,1614.97423,6.870417,65.352524,136.098077,0.47159,14.957353,55.161049,2.229621,9.829656,92.345439,151.551182,17.392423,0.167459,0.065329,38.039574,6.258508,3.787724,15.524015,8.395336,0.176475,20.450911,2.471255,1.662837,0.803462,34.436664,0.041752305,88.295978,0.320973,131.834955,0.097145137,0.389121,48.503621,0.514721,73.891655,10.03396,0.520056239,1.185598,47.247076,3.811516,0.366557534,672.52182,7.53645,17.229594,6.822676,0.013869079,6.212499,3.051505,271.821514,5.261516,37.162279,178.485197,0.027371381,17.76967,29.810289,3.147632,24.924742,7.044813,5.653,0.383234917,2.275095,1.150930989,15.111365,111.785005,44.012973,124.36027,42.275753,5.680539,1.590078,13.977856,7.09251,63.596229,0.356861,0.568414,1.856083,11.692436,0.076039,33.7849,13.507903,60.092722,1.644393194,0.185557,1.064017,11.208331,82.226946,0.014755912,17.00111659,282.218517,30.575598,3.463952,467.214541,0.099772,41.631991,0.142563838,86.184388,0.723319,0.298976,94.24282,55.595287
10,0.157507955,56.051881,1.863359,0.146957,10.357189,49.201392,0.107988,35.908431,12.587574,36.751601,157.134115,4.130718,1.580237,0.449346,1.877081,0.554665,0.065422,177.348802,0.223363,0.667324,48.289649,17.184738,924.7921245,56.412331,53.692562,212.112822,14.224263,58.136886,3.046901,0.519725,5.019237,7.022025,1.192062,70.391881,1.923161,0.053437,6.032061,12.230609,39.983254,18.319238,123.227316,15.495786,45.010763,1.144681,5.841647,1.004845,80.287658,0.150417016,3.775931,75.676046,2.367024,67.230301,36.663664,0.569324725,6.083984,5.518389,2.054226,11.1085,0.07518,46.036067,0.355827953,0.693465,10.35548,13.788784,3.31701,14.566009,254.17815,1550.899337,7.045809,62.058921,145.275556,0.480095,15.311846,55.618984,2.165762,9.494687,91.329789,160.009016,16.660936,0.164374,0.063948,37.221235,6.37062,3.61217,16.534577,8.073008,0.168581,19.888432,2.452531,1.649538,0.810426,33.068165,0.043422397,94.222345,0.299545,127.08145,0.101030942,0.394285,46.941148,0.499201,77.347349,10.434362,0.540858489,1.156751,46.945953,3.728459,0.381219836,729.885435,7.260845,17.381251,6.964166,0.014423842,6.323442,2.839368,261.270532,5.170454,35.910704,177.803317,0.028466236,18.112632,29.453612,3.0242,24.552338,6.753632,5.678,0.398564314,2.162322,1.196968228,14.838941,111.057451,42.427274,127.620961,44.074588,5.659392,1.629871,14.153773,6.783031,72.976499,0.356185,0.551373,1.846372,11.859475,0.072922,32.623493,13.558407,58.165506,1.710168922,0.193252,1.031314,10.891401,79.200061,0.015346148,16.24987651,316.337831,30.253908,3.396276,478.025832,0.095679,40.507131,0.148266391,82.603603,0.750732,0.312955,99.032181,54.47739
