segments,variable,value
Denmark7043,R,0.198784
Denmark7057,R,0.209321
Denmark7125,R,0.2266679
Denmark7127,R,0.0966679
Denmark7119,R,0.1336679
Denmark7121,R,0.1166679
Denmark7129,R,0.0966679
Denmark7133,R,0.2506679
Denmark8139,R,0.2966679
Denmark8160,R,0.2966679
Denmark8188,R,0.1966679
Denmark7137,R,0.1206679
Denmark7143,R,0.2226679
Denmark7148,R,0.3356679
Denmark8176,R,0.1966679
Denmark8189,R,3.2966679
Denmark7150,R,0.3636679
Denmark7156,R,0.3316679
Denmark7158,R,0.3396679
Denmark7163,R,0.3606679
Denmark7167,R,3.3656679
Denmark7169,R,0.4256679
Denmark7170,R,3.3806679
Denmark7171,R,0.3576679
Denmark7176,R,0.3916679
Denmark8316,R,0.3066679
Denmark8318,R,0.1406679
Denmark8320,R,0.3536679
Denmark8331,R,0.1456679
Denmark6839,R,0.200784
Denmark7033,R,0.212784
Denmark7287,R,0.225784
Denmark7061,R,0.312542
Denmark7065,R,0.322542
Denmark7067,R,0.320542
Denmark7069,R,0.202542
Denmark7071,R,0.315542
Denmark7077,R,0.352542
Denmark7079,R,0.222542
Denmark8541,R,0.3263579
Denmark8545,R,0.3083579
Denmark8546,R,0.3293579
Denmark8548,R,0.5093579
Denmark8551,R,0.2193579
Denmark8553,R,0.5693579
Iceland8269,R,0.2836679
Iceland8270,R,0.1256679
Iceland8271,R,0.0063579
Iceland8255,R,0.4606679
Iceland8257,R,0.8396679
Iceland8258,R,0.7386679
Iceland8259,R,0.4196679
Iceland8260,R,0.3776679
Iceland8265,R,0.3656679
Iceland8261,R,0.7966679
Iceland8262,R,0.6206679
Iceland8263,R,0.6196679
Iceland8264,R,0.2646679
Norway8954,R,0.320551
Norway8966,R,0.266551
RussianFederation9515,R,0.26246
RussianFederation9990,R,0.2870996
RussianFederation10004,R,0.2280996
RussianFederation9510,R,0.44946
RussianFederation9537,R,0.349272
RussianFederation9539,R,0.429272
RussianFederation10037,R,0.2257566
RussianFederation10039,R,0.3237566
RussianFederation9519,R,0.4177665
RussianFederation9521,R,0.5437665
RussianFederation9322,R,0.349757
RussianFederation9362,R,0.382757
RussianFederation9379,R,0.303757
RussianFederation9349,R,0.2865032
RussianFederation11259,R,0.016542
RussianFederation11671,R,0.2927046
RussianFederation11673,R,0.3017446
RussianFederation11690,R,3.3017446
RussianFederation11274,R,0.016542
RussianFederation11718,R,0.5062488
RussianFederation11722,R,0.6272488
RussianFederation3346,R,0.2060321
RussianFederation3347,R,0.3045952
RussianFederation3348,R,0.0045952
RussianFederation3349,R,0.1045952
RussianFederation3355,R,0.0069335
RussianFederation3360,R,0.0055962
RussianFederation3362,R,0.0085493
RussianFederation4978,R,0.1455493
RussianFederation9264,R,3.6616679
Canada3452,R,0.2249148
Denmark7083,R,0.312542
Denmark7089,R,0.122321
Denmark7097,R,0.212321
Denmark7217,R,0.1126679
Denmark8291,R,0.2276679
Denmark7193,R,0.1286679
Denmark7195,R,0.1146679
Denmark7207,R,0.1156679
Denmark7209,R,0.3806679
Denmark7211,R,0.2546679
Denmark8248,R,0.3816679
Denmark8284,R,0.3866679
Denmark8293,R,0.1936679
Denmark8294,R,0.4336679
Denmark8295,R,0.1876679
Denmark8296,R,0.3376679
Denmark8298,R,0.1596679
Denmark8299,R,0.3076679
Denmark8306,R,0.3256679
Denmark8313,R,0.1806679
Denmark8333,R,0.3276679
Denmark8339,R,0.2236679
Denmark8199,R,0.1076679
Denmark8347,R,0.1196679
Denmark8191,R,0.2676679
Denmark7251,R,0.1196679
Denmark7252,R,0.2696679
Denmark8196,R,0.2496679
Denmark8197,R,0.3966679
Denmark7239,R,0.3716679
Denmark8140,R,0.27996145
Denmark8154,R,0.14196145
Denmark8155,R,0.15496145
Denmark8156,R,0.45696145
Denmark8159,R,0.35996145
Denmark8161,R,0.1306679
Denmark8162,R,0.30996145
Denmark8163,R,9.6145e-4
Denmark8165,R,0.2636679
Denmark8177,R,0.1196679
Denmark8181,R,0.2256679
Denmark8183,R,0.1226679
Denmark7110,R,0.328321
Denmark7112,R,0.449321
Denmark7931,R,0.349321
Denmark7949,R,0.193321
Denmark7968,R,0.195321
Denmark7145,R,3.321321
Denmark7160,R,0.223321
Denmark7161,R,0.371321
Denmark7954,R,0.212321
Denmark7957,R,0.161321
Denmark7963,R,0.380321
Denmark7969,R,0.352321
Denmark7977,R,0.200321
Denmark7173,R,3.369321
Denmark7174,R,3.514321
Denmark7175,R,0.143321
Denmark7980,R,0.208321
Denmark7982,R,0.199321
Denmark7218,R,9.6145e-4
Denmark8108,R,0.25796145
Denmark8109,R,0.22396145
Denmark8113,R,9.6145e-4
Denmark8122,R,0.14596145
Denmark8125,R,0.27096145
Denmark8135,R,9.6145e-4
Denmark8128,R,0.15196145
Finland9131,R,0.58256
Finland9137,R,0.435049
Finland9139,R,0.384049
Finland9141,R,0.443363
Ireland8515,R,0.15877
Ireland8496,R,0.355367
Ireland8495,R,0.336367
Ireland8493,R,0.279367
Ireland8516,R,0.19677
Ireland8517,R,0.38477
Ireland8518,R,0.36277
