"segments","s1","s10","s100","s1000","smax"
"Canada5106",0,0.107889544596153,0.215779089192305,0.323668633788458,3.3
"Canada5115",0,0.123964926977737,0.254084141110397,0.388599274639431,3.442
"Canada5120",0,0.108098124189874,0.216196248379749,0.324294372569623,3.3
"Canada5132",0,0.102689286637643,0.209389873534569,0.318497240587065,3.397
"Canada5166",0,0.0931077997278777,0.189268314200932,0.286955186046574,3.376
"Canada5167",0,0.0809089577150484,0.163699519097889,0.248998885371118,3.397
"Canada5202",0,0.0568511097019643,0.113702219403929,0.170553329105893,3.3
"Canada5168",0,0.0779363702427077,0.157758297829997,0.240094301876728,3.382
"Canada5169",0,0.0810190895283108,0.165061279412155,0.252126569651534,3.417
"Canada5171",0,0.0891322645510401,0.185359634737984,0.286908334151855,3.647
"Canada5172",0,0.0660447085759321,0.134880038640988,0.206040886613648,3.443
"Canada5173",0,0.0661059163735118,0.135737481620278,0.208013283521984,3.472
"Canada5175",0,0.0755363987713676,0.156139263313986,0.239966242438308,3.521
"Canada5177",0,0.069811362139893,0.143088536584603,0.218346175203495,3.441
"Canada5178",0,0.0941635296588239,0.194103962977698,0.298088228858608,3.516
"Canada5179",0,0.0897971652823146,0.185337172530359,0.285575868659454,3.547
"Canada5180",0,0.0798968068561431,0.164151621358985,0.25228022043667,3.521
"Canada5181",0,0.0702461733919754,0.142983345840404,0.218709717156576,3.439
"Canada5203",0,0.0330332729197945,0.066066545839589,0.0990998187593836,3.3
"Canada5204",0,0.108667276878962,0.217334553757924,0.326001830636885,3.3
"Canada5218",0,0.0998290704090091,0.199658140818018,0.299487211227027,3.3
"Canada5221",0,0.113365262599445,0.226730525198891,0.340095787798336,3.3
"Canada5265",0,0.111082816823276,0.222165633646552,0.333248450469827,3.3
"Canada5266",0,0.107881668290677,0.215763336581354,0.323645004872031,3.3
"Canada5267",0,0.117615841664935,0.23523168332987,0.352847524994805,3.3
"Canada5268",0,0.11632500939113,0.232650018782261,0.348975028173392,3.3
"Canada5269",0,0.0338349600556318,0.0676699201112636,0.101504880166895,3.3
"Canada5270",0,0.113568080132785,0.22713616026557,0.340704240398355,3.3
"Canada5170",0,0.0888466143768517,0.183024025616315,0.280162990668339,3.473
"Canada5353",0,0.107861476635141,0.215722953270282,0.323584429905422,3.3
"Canada5174",0,0.0695173222904349,0.14149979785358,0.216440457343978,3.439
"Canada5176",0,0.0754374635895755,0.155260826225057,0.239031498001853,3.545
"Canada5527",0,0.157957482850634,0.328809454097238,0.50933229164082,3.632
"Canada5691",0,0.127113042537932,0.2647096349759,0.410168889838895,3.626
"Canada7437",0,0.122392114607649,0.249712770743122,0.38196196840642,3.465
"Denmark7037",0,0.168644713046223,0.343826042877184,0.522929342778987,3.4
"Denmark7038",0,0.155400793652377,0.316600124381335,0.482438284771558,3.416
"Denmark7039",0,0.126235791674915,0.254593193293946,0.385072204857093,3.363
"Denmark7040",0,0.120919646753318,0.243960690818099,0.369123132194341,3.348
"Denmark7041",0,0.101708173572723,0.20430852410661,0.308693228562825,3.346
"Denmark7042",0,0.0946517108651519,0.189303421730303,0.285676072793003,3.332
"Denmark7348",0,0.122734506080607,0.24839126230599,0.377944352057742,3.388
"Denmark7349",0,0.121471800392073,0.245906327622977,0.372316006079768,3.377
"Denmark7350",0,0.123709898897914,0.251285732136387,0.38176101613028,3.395
"Denmark7043",0,0.0950280596161066,0.191783902134324,0.289403636103597,3.335
"Denmark7044",0,0.0873507140363343,0.175495525472999,0.264434434309994,3.333
"Denmark7045",0,0.0800200018074082,0.162164428441562,0.245016996684631,3.346
"Denmark7046",0,0.0865833399841729,0.17457453915508,0.26467752710609,3.376
"Denmark7047",0,0.0678489011330028,0.135697802266005,0.203546703399008,3.3
