seg,rgn,greenland,island,segID,rgnID
Canada5106,CAN,0,0,5106,20
Canada5115,CAN,0,0,5115,20
Canada5120,CAN,0,0,5120,20
Canada5132,CAN,0,0,5132,20
Canada5166,CAN,0,0,5166,20
Canada5167,CAN,0,0,5167,20
Canada5202,CAN,0,0,5202,20
Canada5168,CAN,0,0,5168,20
Canada5169,CAN,0,0,5169,20
Canada5171,CAN,0,0,5171,20
Canada5172,CAN,0,0,5172,20
Canada5173,CAN,0,0,5173,20
Canada5175,CAN,0,0,5175,20
Canada5177,CAN,0,0,5177,20
Canada5178,CAN,0,0,5178,20
Canada5179,CAN,0,0,5179,20
Canada5180,CAN,0,0,5180,20
Canada5181,CAN,0,0,5181,20
Canada5203,CAN,0,0,5203,20
Canada5204,CAN,0,0,5204,20
Canada5218,CAN,0,0,5218,20
Canada5221,CAN,0,0,5221,20
Canada5265,CAN,0,0,5265,20
Canada5266,CAN,0,0,5266,20
Canada5267,CAN,0,0,5267,20
Canada5268,CAN,0,0,5268,20
Canada5269,CAN,0,0,5269,20
Canada5270,CAN,0,0,5270,20
Canada5170,CAN,0,0,5170,20
Canada5353,CAN,0,0,5353,20
Canada5174,CAN,0,0,5174,20
Canada5176,CAN,0,0,5176,20
Canada5527,CAN,0,0,5527,20
Canada5691,CAN,0,0,5691,20
Canada7437,CAN,0,0,7437,20
Denmark7037,DNK,1,1,7037,36
Denmark7038,DNK,1,1,7038,36
Denmark7039,DNK,1,1,7039,36
Denmark7040,DNK,1,1,7040,36
Denmark7041,DNK,1,1,7041,36
Denmark7042,DNK,1,1,7042,36
Denmark7348,DNK,1,1,7348,36
Denmark7349,DNK,1,1,7349,36
Denmark7350,DNK,1,1,7350,36
Denmark7043,DNK,1,1,7043,36
Denmark7044,DNK,1,1,7044,36
Denmark7045,DNK,1,1,7045,36
Denmark7046,DNK,1,1,7046,36
Denmark7047,DNK,1,1,7047,36
Denmark7053,DNK,1,1,7053,36
Denmark7054,DNK,1,1,7054,36
Denmark7055,DNK,1,1,7055,36
