rgn,rgnID
ABW,1
AGO,2
ALB,3
ANT,4
ARE,5
ARG,6
ATG,7
AUS,8
BEL,9
BEN,10
BGD,11
BGR,12
BHR,13
BHS,14
BIH,15
BLZ,16
BMU,17
BRA,18
BRB,19
BRN,20
CAN,21
CHL,22
CHN,23
CIV,24
CMR,25
COD,26
COG,27
COL,28
COM,29
CPV,30
CRI,31
CUB,32
CYP,33
DEU,34
DJI,35
DMA,36
DNK,37
DOM,38
DZA,39
ECU,40
EGY,41
ERI,42
ESP,43
EST,44
FIN,45
FJI,46
FRA,47
FSM,48
GAB,49
GBR,50
GEO,51
GHA,52
GIN,53
GLP,54
GMB,55
GNB,56
GNQ,57
GRC,58
GRD,59
GTM,60
GUF,61
GUY,62
HKG,63
HND,64
HRV,65
HTI,66
IDN,67
IND,68
IRL,69
IRN,70
IRQ,71
ISL,72
ISR,73
ITA,74
JAM,75
JOR,76
JPN,77
KEN,78
KHM,79
KIR,80
KNA,81
KOR,82
KWT,83
LBN,84
LBR,85
LBY,86
LCA,87
LKA,88
LTU,89
LVA,90
MAC,91
MAR,92
MCO,93
MDG,94
MDV,95
MEX,96
MHL,97
MLT,98
MMR,99
MNE,100
MOZ,101
MRT,102
MTQ,103
MUS,104
MYS,105
NAM,106
NCL,107
NGA,108
NIC,109
NLD,110
NOR,111
NRU,112
NZL,113
OMN,114
PAK,115
PAN,116
PER,117
PHL,118
PLW,119
PNG,120
POL,121
PRI,122
PRK,123
PRT,124
PSE,125
PYF,126
QAT,127
REU,128
ROU,129
RUS,130
SAU,131
SDN,132
SEN,133
SGP,134
SLB,135
SLE,136
SLV,137
SOM,138
STP,139
SUR,140
SVN,141
SWE,142
SYC,143
SYR,144
TGO,145
THA,146
TLS,147
TON,148
TTO,149
TUN,150
TUR,151
TUV,152
TWN,153
TZA,154
UKR,155
URY,156
USA,157
VCT,158
VEN,159
VIR,160
VNM,161
VUT,162
WSM,163
YEM,164
ZAF,165
