seg,segID
Canada5106,5106
Canada5115,5115
Canada5120,5120
Canada5132,5132
Canada5166,5166
Canada5167,5167
Canada5202,5202
Canada5168,5168
Canada5169,5169
Canada5171,5171
Canada5172,5172
Canada5173,5173
Canada5175,5175
Canada5177,5177
Canada5178,5178
Canada5179,5179
Canada5180,5180
Canada5181,5181
Canada5203,5203
Canada5204,5204
Canada5218,5218
Canada5221,5221
Canada5265,5265
Canada5266,5266
Canada5267,5267
Canada5268,5268
Canada5269,5269
Canada5270,5270
Canada5170,5170
Canada5353,5353
Canada5174,5174
Canada5176,5176
Canada5527,5527
Canada5691,5691
Canada7437,7437
Denmark7037,7037
Denmark7038,7038
Denmark7039,7039
Denmark7040,7040
Denmark7041,7041
Denmark7042,7042
Denmark7348,7348
Denmark7349,7349
Denmark7350,7350
Denmark7043,7043
Denmark7044,7044
Denmark7045,7045
Denmark7046,7046
Denmark7047,7047
Denmark7053,7053
Denmark7054,7054
Denmark7055,7055
Denmark7056,7056
Denmark7057,7057
Denmark7106,7106
Denmark7107,7107
Denmark7108,7108
Denmark7961,7961
Denmark7964,7964
Denmark7058,7058
Denmark7105,7105
Denmark7117,7117
Denmark7118,7118
Denmark7125,7125
Denmark7126,7126
Denmark7127,7127
Denmark7135,7135
Denmark8017,8017
Denmark8018,8018
Denmark8019,8019
Denmark8022,8022
Denmark8080,8080
Denmark8101,8101
Denmark7119,7119
Denmark7120,7120
Denmark7121,7121
Denmark7128,7128
Denmark7129,7129
Denmark7130,7130
Denmark7131,7131
Denmark7132,7132
Denmark7133,7133
Denmark7134,7134
Denmark8124,8124
Denmark8136,8136
Denmark8137,8137
Denmark8138,8138
Denmark8139,8139
Denmark8160,8160
Denmark8168,8168
Denmark8188,8188
Denmark7136,7136
Denmark7137,7137
Denmark7139,7139
Denmark7140,7140
Denmark7141,7141
Denmark7143,7143
Denmark7148,7148
Denmark8176,8176
Denmark8189,8189
Denmark7150,7150
Denmark7151,7151
Denmark7152,7152
Denmark7153,7153
Denmark7154,7154
Denmark7155,7155
Denmark7156,7156
Denmark7142,7142
Denmark7157,7157
Denmark7158,7158
Denmark7163,7163
Denmark7149,7149
Denmark7164,7164
Denmark7165,7165
Denmark7166,7166
Denmark7167,7167
Denmark7168,7168
Denmark7169,7169
Denmark7170,7170
Denmark7171,7171
Denmark7176,7176
Denmark7177,7177
Denmark7178,7178
Denmark7179,7179
Denmark7180,7180
Denmark7181,7181
Denmark7182,7182
Denmark8252,8252
Denmark8253,8253
Denmark8254,8254
Denmark8292,8292
Denmark7183,7183
Denmark7184,7184
Denmark7185,7185
Denmark7186,7186
Denmark7187,7187
Denmark8316,8316
Denmark8317,8317
Denmark8318,8318
Denmark8319,8319
Denmark8320,8320
Denmark8328,8328
Denmark8329,8329
Denmark8330,8330
Denmark8331,8331
Denmark8332,8332
Denmark7188,7188
Denmark7189,7189
Denmark7190,7190
Denmark7191,7191
Denmark6839,6839
Denmark6982,6982
Denmark7033,7033
Denmark7048,7048
Denmark7049,7049
Denmark7050,7050
Denmark7052,7052
Denmark7287,7287
Denmark7296,7296
Denmark7034,7034
Denmark7036,7036
Denmark7051,7051
Denmark7059,7059
Denmark7060,7060
Denmark7061,7061
Denmark7062,7062
