rcp,level,seg,costtype,time,value
rcp85_p50,noAdaptation,1000segs,wetland,1,0.029431138
rcp85_p50,noAdaptation,1000segs,inundation,1,0.778473095
rcp85_p50,noAdaptation,1000segs,relocation,1,0.320070481
rcp85_p50,noAdaptation,1000segs,storms,1,0.129657616
rcp85_p50,noAdaptation,1000segs,stormCapital,1,0.071755779
rcp85_p50,noAdaptation,1000segs,stormPopulation,1,0.057901837
rcp85_p50,noAdaptation,1000segs,total,1,1.25763233
rcp85_p50,noAdaptation,1000segs,wetland,2,0.086259236
rcp85_p50,noAdaptation,1000segs,inundation,2,1.358313689
rcp85_p50,noAdaptation,1000segs,relocation,2,0.475634979
rcp85_p50,noAdaptation,1000segs,storms,2,0.152570877
rcp85_p50,noAdaptation,1000segs,stormCapital,2,0.085388768
rcp85_p50,noAdaptation,1000segs,stormPopulation,2,0.067182109
rcp85_p50,noAdaptation,1000segs,total,2,2.07277878
rcp85_p50,noAdaptation,1000segs,wetland,3,0.212755373
rcp85_p50,noAdaptation,1000segs,inundation,3,2.164182988
rcp85_p50,noAdaptation,1000segs,relocation,3,0.683451029
rcp85_p50,noAdaptation,1000segs,storms,3,0.329742107
rcp85_p50,noAdaptation,1000segs,stormCapital,3,0.188595135
rcp85_p50,noAdaptation,1000segs,stormPopulation,3,0.141146972
rcp85_p50,noAdaptation,1000segs,total,3,3.390131496
rcp85_p50,noAdaptation,1000segs,wetland,4,0.488697434
rcp85_p50,noAdaptation,1000segs,inundation,4,3.250150464
rcp85_p50,noAdaptation,1000segs,relocation,4,0.928658497
rcp85_p50,noAdaptation,1000segs,storms,4,0.680802243
rcp85_p50,noAdaptation,1000segs,stormCapital,4,0.388533254
rcp85_p50,noAdaptation,1000segs,stormPopulation,4,0.292268989
rcp85_p50,noAdaptation,1000segs,total,4,5.348308638
rcp85_p50,noAdaptation,1000segs,wetland,5,0.793157257
rcp85_p50,noAdaptation,1000segs,inundation,5,4.38410821
rcp85_p50,noAdaptation,1000segs,relocation,5,1.044748318
rcp85_p50,noAdaptation,1000segs,storms,5,0.954913373
rcp85_p50,noAdaptation,1000segs,stormCapital,5,0.534936313
rcp85_p50,noAdaptation,1000segs,stormPopulation,5,0.41997706
rcp85_p50,noAdaptation,1000segs,total,5,7.176927159
rcp85_p50,noAdaptation,1000segs,wetland,6,1.425649986
rcp85_p50,noAdaptation,1000segs,inundation,6,5.759911142
rcp85_p50,noAdaptation,1000segs,relocation,6,1.227056338
rcp85_p50,noAdaptation,1000segs,storms,6,1.446014857
rcp85_p50,noAdaptation,1000segs,stormCapital,6,0.802545554
rcp85_p50,noAdaptation,1000segs,stormPopulation,6,0.643469303
rcp85_p50,noAdaptation,1000segs,total,6,9.858632323
rcp85_p50,noAdaptation,1000segs,wetland,7,2.161207199
rcp85_p50,noAdaptation,1000segs,inundation,7,7.341356479
rcp85_p50,noAdaptation,1000segs,relocation,7,1.439806606
rcp85_p50,noAdaptation,1000segs,storms,7,2.55521713
rcp85_p50,noAdaptation,1000segs,stormCapital,7,1.426974525
rcp85_p50,noAdaptation,1000segs,stormPopulation,7,1.128242605
rcp85_p50,noAdaptation,1000segs,total,7,13.49758741
rcp85_p50,noAdaptation,1000segs,wetland,8,2.571905606
rcp85_p50,noAdaptation,1000segs,inundation,8,8.947133107
rcp85_p50,noAdaptation,1000segs,relocation,8,1.633889521
rcp85_p50,noAdaptation,1000segs,storms,8,4.224117752
