rcp,level,seg,costtype,time,value
rcp85_p50,retreat1,NA,inundation,1,0
rcp85_p51,retreat1,NA,relocation,1,0
rcp85_p52,retreat1,NA,storms,1,0
rcp85_p53,retreat1,NA,stormCapital,1,0
rcp85_p54,retreat1,NA,stormPopulation,1,0
rcp85_p55,retreat1,NA,total,1,0
rcp85_p56,retreat1,NA,inundation,2,0
rcp85_p57,retreat1,NA,relocation,2,0
rcp85_p58,retreat1,NA,storms,2,0
rcp85_p59,retreat1,NA,stormCapital,2,0
rcp85_p60,retreat1,NA,stormPopulation,2,0
rcp85_p61,retreat1,NA,total,2,0
rcp85_p62,retreat1,NA,inundation,3,0
rcp85_p63,retreat1,NA,relocation,3,0
rcp85_p64,retreat1,NA,storms,3,0
rcp85_p65,retreat1,NA,stormCapital,3,0
rcp85_p66,retreat1,NA,stormPopulation,3,0
rcp85_p67,retreat1,NA,total,3,0
rcp85_p68,retreat1,NA,inundation,4,0
rcp85_p69,retreat1,NA,relocation,4,0
rcp85_p70,retreat1,NA,storms,4,0
rcp85_p71,retreat1,NA,stormCapital,4,0
rcp85_p72,retreat1,NA,stormPopulation,4,0
rcp85_p73,retreat1,NA,total,4,0
rcp85_p74,retreat1,NA,inundation,5,0
rcp85_p75,retreat1,NA,relocation,5,0
rcp85_p76,retreat1,NA,storms,5,0
rcp85_p77,retreat1,NA,stormCapital,5,0
rcp85_p78,retreat1,NA,stormPopulation,5,0
rcp85_p79,retreat1,NA,total,5,0
rcp85_p80,retreat1,NA,inundation,6,0
rcp85_p81,retreat1,NA,relocation,6,0
rcp85_p82,retreat1,NA,storms,6,0
rcp85_p83,retreat1,NA,stormCapital,6,0
rcp85_p84,retreat1,NA,stormPopulation,6,0
rcp85_p85,retreat1,NA,total,6,0
rcp85_p86,retreat1,NA,inundation,7,0
rcp85_p87,retreat1,NA,relocation,7,0
rcp85_p88,retreat1,NA,storms,7,0
rcp85_p89,retreat1,NA,stormCapital,7,0
rcp85_p90,retreat1,NA,stormPopulation,7,0
rcp85_p91,retreat1,NA,total,7,0
rcp85_p92,retreat1,NA,inundation,8,0
rcp85_p93,retreat1,NA,relocation,8,0
rcp85_p94,retreat1,NA,storms,8,0
rcp85_p95,retreat1,NA,stormCapital,8,0
rcp85_p96,retreat1,NA,stormPopulation,8,0
rcp85_p97,retreat1,NA,total,8,0
rcp85_p98,retreat1,NA,inundation,9,0
rcp85_p99,retreat1,NA,relocation,9,0
rcp85_p100,retreat1,NA,storms,9,0
rcp85_p101,retreat1,NA,stormCapital,9,0
rcp85_p102,retreat1,NA,stormPopulation,9,0
rcp85_p103,retreat1,NA,total,9,0
rcp85_p104,retreat1,NA,inundation,10,0
rcp85_p105,retreat1,NA,relocation,10,0
rcp85_p106,retreat1,NA,storms,10,0
rcp85_p107,retreat1,NA,stormCapital,10,0
rcp85_p108,retreat1,NA,stormPopulation,10,0
rcp85_p109,retreat1,NA,total,10,0
rcp85_p110,retreat1,NA,inundation,11,0
rcp85_p111,retreat1,NA,relocation,11,0
rcp85_p112,retreat1,NA,storms,11,0
rcp85_p113,retreat1,NA,stormCapital,11,0
rcp85_p114,retreat1,NA,stormPopulation,11,0
rcp85_p115,retreat1,NA,total,11,0
rcp85_p116,retreat1,NA,inundation,12,0
rcp85_p117,retreat1,NA,relocation,12,0
rcp85_p118,retreat1,NA,storms,12,0
rcp85_p119,retreat1,NA,stormCapital,12,0
rcp85_p120,retreat1,NA,stormPopulation,12,0
rcp85_p121,retreat1,NA,total,12,0
rcp85_p122,retreat1,NA,inundation,13,0
rcp85_p123,retreat1,NA,relocation,13,0
rcp85_p124,retreat1,NA,storms,13,0
rcp85_p125,retreat1,NA,stormCapital,13,0
rcp85_p126,retreat1,NA,stormPopulation,13,0
rcp85_p127,retreat1,NA,total,13,0
rcp85_p128,retreat1,NA,inundation,14,0
rcp85_p129,retreat1,NA,relocation,14,0
rcp85_p130,retreat1,NA,storms,14,0
rcp85_p131,retreat1,NA,stormCapital,14,0
rcp85_p132,retreat1,NA,stormPopulation,14,0
rcp85_p133,retreat1,NA,total,14,0
rcp85_p134,retreat1,NA,inundation,15,0
rcp85_p135,retreat1,NA,relocation,15,0
rcp85_p136,retreat1,NA,storms,15,0
rcp85_p137,retreat1,NA,stormCapital,15,0
rcp85_p138,retreat1,NA,stormPopulation,15,0
rcp85_p139,retreat1,NA,total,15,0
rcp85_p140,retreat1,NA,inundation,16,0
rcp85_p141,retreat1,NA,relocation,16,0
rcp85_p142,retreat1,NA,storms,16,0
rcp85_p143,retreat1,NA,stormCapital,16,0
rcp85_p144,retreat1,NA,stormPopulation,16,0
rcp85_p145,retreat1,NA,total,16,0
rcp85_p146,retreat1,NA,inundation,17,0
rcp85_p147,retreat1,NA,relocation,17,0
rcp85_p148,retreat1,NA,storms,17,0
rcp85_p149,retreat1,NA,stormCapital,17,0
rcp85_p150,retreat1,NA,stormPopulation,17,0
rcp85_p151,retreat1,NA,total,17,0
rcp85_p152,retreat1,NA,inundation,18,0
rcp85_p153,retreat1,NA,relocation,18,0
rcp85_p154,retreat1,NA,storms,18,0
rcp85_p155,retreat1,NA,stormCapital,18,0
rcp85_p156,retreat1,NA,stormPopulation,18,0
rcp85_p157,retreat1,NA,total,18,0
rcp85_p158,retreat1,NA,inundation,19,0
rcp85_p159,retreat1,NA,relocation,19,0
rcp85_p160,retreat1,NA,storms,19,0
rcp85_p161,retreat1,NA,stormCapital,19,0
rcp85_p162,retreat1,NA,stormPopulation,19,0
rcp85_p163,retreat1,NA,total,19,0
rcp85_p164,retreat1,NA,inundation,20,0
rcp85_p165,retreat1,NA,relocation,20,0
rcp85_p166,retreat1,NA,storms,20,0
rcp85_p167,retreat1,NA,stormCapital,20,0
rcp85_p168,retreat1,NA,stormPopulation,20,0
rcp85_p169,retreat1,NA,total,20,0
rcp85_p170,retreat10,NA,inundation,1,0
rcp85_p171,retreat10,NA,relocation,1,0
rcp85_p172,retreat10,NA,storms,1,0
rcp85_p173,retreat10,NA,stormCapital,1,0
rcp85_p174,retreat10,NA,stormPopulation,1,0
rcp85_p175,retreat10,NA,total,1,0
rcp85_p176,retreat10,NA,inundation,2,0
rcp85_p177,retreat10,NA,relocation,2,0
rcp85_p178,retreat10,NA,storms,2,0
rcp85_p179,retreat10,NA,stormCapital,2,0
rcp85_p180,retreat10,NA,stormPopulation,2,0
rcp85_p181,retreat10,NA,total,2,0
rcp85_p182,retreat10,NA,inundation,3,0
rcp85_p183,retreat10,NA,relocation,3,0
rcp85_p184,retreat10,NA,storms,3,0
rcp85_p185,retreat10,NA,stormCapital,3,0
rcp85_p186,retreat10,NA,stormPopulation,3,0
rcp85_p187,retreat10,NA,total,3,0
rcp85_p188,retreat10,NA,inundation,4,0
rcp85_p189,retreat10,NA,relocation,4,0
rcp85_p190,retreat10,NA,storms,4,0
rcp85_p191,retreat10,NA,stormCapital,4,0
rcp85_p192,retreat10,NA,stormPopulation,4,0
rcp85_p193,retreat10,NA,total,4,0
rcp85_p194,retreat10,NA,inundation,5,0
rcp85_p195,retreat10,NA,relocation,5,0
rcp85_p196,retreat10,NA,storms,5,0
rcp85_p197,retreat10,NA,stormCapital,5,0
rcp85_p198,retreat10,NA,stormPopulation,5,0
rcp85_p199,retreat10,NA,total,5,0
rcp85_p200,retreat10,NA,inundation,6,0
rcp85_p201,retreat10,NA,relocation,6,0
rcp85_p202,retreat10,NA,storms,6,0
rcp85_p203,retreat10,NA,stormCapital,6,0
rcp85_p204,retreat10,NA,stormPopulation,6,0
rcp85_p205,retreat10,NA,total,6,0
rcp85_p206,retreat10,NA,inundation,7,0
rcp85_p207,retreat10,NA,relocation,7,0
