variable,ABW,AGO,ALB,ANT,ARE,ARG,ATG,AUS,BEL,BEN,BGD,BGR,BHR,BHS,BIH,BLZ,BMU,BRA,BRB,CAN,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,GUF,HKG,HND,HRV,HTI,IDN,IND,IRL,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KEN,KHM,KIR,KOR,KWT,LBN,LBR,LBY,LKA,LTU,LVA,MAC,MAR,MCO,MDG,MDV,MEX,MHL,MLT,MMR,MNE,MOZ,MRT,MTQ,MUS,MYS,NAM,NCL,NGA,NIC,NLD,NOR,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PYF,QAT,REU,ROU,RUS,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,STP,SUR,SVN,SWE,SYC,SYR,TGO,THA,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UKR,URY,USA,VCT,VEN,VNM,VUT,WLF,WSM,YEM,ZAF
1,0.110663,19.081912,3.204284,0.200689,7.51169,40.412376,0.08871,22.268384,10.712066,8.849892,148.692131,7.494332,1.261835,0.342877,3.76014900009791,0.311627,0.064941,194.94647,0.273331,34.016593,17.113688,1341.335152,19.7378,19.598889,65.965795,4.042899,46.294841,0.73475,0.495999,4.658887,11.257979,1.103647,82.3024631617872,0.888716,0.067757,5.550142,9.92732,35.468208,14.464739,81.121077,5.253676,46.076989,1.34114,5.3645451060663,0.860622999999999,62.7874165517321,0.105681,1.505463,62.03557,4.352244,24.391823,9.98159,0.460665999981979,1.728394,1.515224,0.700401,11.359346,0.104487,14.388929,0.754493,0.25,7.053189,7.600524,4.40333,9.993247,239.870937015142,1224.614327,4.4699,31.671591,0.320135945621368,7.4184,60.550848,2.741052,6.187227,126.535920016219,40.512682,14.1382550001141,0.099546,48.1835840019435,2.736732,4.22759699999999,3.994122,6.35511199999999,20.859949,3.323611,2.25206,0.543655999999999,31.951412,0.030508,20.713818996419,0.315885,113.423046992492,0.070983,0.416514999913216,47.963012,0.63149,23.390765,3.459773,0.405813999920393,1.299172,28.401017,2.283289,0.250870000255816,158.423181893222,5.788163,16.612988,4.88311093367287,0.010134,4.368136,2.782435,173.593383,3.51681999986451,29.076512,93.2607980000001,0.02,6.858266,38.27666,3.749009,24.346229,10.675572,0.270764,1.75879300029898,0.846068000006938,21.486371,142.958164,27.448086,43.5519410007114,12.433728,5.08641799973206,0.538148,5.867536,6.192993,9.330872,0.165406986561704,0.524636000000001,2.02968,9.37968464981698,0.086518,20.410606,6.027798,69.122234,1.12435500000142,0.104058,1.341465,10.4809340000883,72.752325,0.010782,23.162123,44.841226,45.448329,3.368786,310.383948,0.109333,28.979857,87.8484449943775,0.239650999991132,0.015561,0.183081,24.052514,50.132817
2,0.11508952,25.5876917763707,3.24828407501724,0.211886,10.9852617967111,43.2326121496552,0.097396,25.8070870130601,11.1759676036319,11.6784816038848,163.885204615253,7.0346141991628,1.87045275608423,0.383897212064637,3.6986274168721,0.371892050361371,0.066106,209.120297825996,0.276457125573484,37.4949961225896,18.4496929839035,1368.80641279229,23.9550140332323,24.19275326605,88.0555130693993,5.17808819147642,51.8517874853988,0.934342131374576,0.527164609155503,5.30053610327881,11.0377883190071,1.23902346024675,81.4885521031599,1.04830687402643,0.067879,5.76067847446811,10.9647070455949,40.1431583174638,16.3055774053085,93.3930666160397,6.89332627867737,48.5179041852978,1.31693478692022,5.57117586928154,0.896805142483298,66.1446466121591,0.10990824,1.78498170666325,65.6815904263021,4.09577837932246,30.7463484847437,12.0565907393292,0.480353279322686,2.22842007329484,1.84171193140752,0.916894576651164,11.372998285016,0.108127,18.1607168102745,0.768405549051451,0.26,7.60262184667265,9.18515587053253,4.3111299781176,11.2304773514627,258.521698259543,1376.3341499682,4.99160803349198,42.2199214297084,0.364767939715918,9.11474422060554,61.4124350538792,2.79960546700118,8.10626053110209,124.146677174677,52.1387871037826,15.3139835737717,0.115828,49.1337651995836,3.55063393438407,4.50299387821181,5.84036588800758,7.35213094896041,22.0746847152521,3.16655354614324,2.11232188919989,0.611228988749167,34.4209631925767,0.03172832,27.4362603264824,0.358393339596374,124.817830476469,0.07382232,0.430502828245145,49.7102690889509,0.647042898653504,28.9696993621546,4.33771849774983,0.417372405471155,1.35632142883139,32.574505882352,2.65990494981789,0.287133664723963,205.615762782518,6.33281460426242,17.1506952372984,5.3798566663865,0.01053936,4.81410287949572,3.27350558947389,211.597946087573,3.98642598920146,31.2067803502218,111.856822926251,0.0208,8.37118788735,38.2288550018324,3.6238094910123,25.0899205417978,10.8513253576271,0.297984627901731,2.5440817533196,0.932656956804224,20.6898308029353,140.888361838892,35.3406728903214,55.1315742148693,16.2637012602766,5.6916631721485,0.678709784721739,7.4104908035909,6.32193951079221,11.6402715244184,0.188045929548081,0.566944811949748,2.0815821999499,10.0939002252242,0.089841,24.6635471286112,7.32820703913711,72.2704876532846,1.41808447344606,0.109959272573708,1.36012496705335,11.3671958909043,80.9413290727885,0.01121328,23.96432961,59.7401527802039,42.6580879871856,3.39843600246476,333.634030769986,0.10935474098035,33.0627677867981,95.4474746698612,0.299733948255702,0.01618344,0.18952846254043,32.801970355005,54.1322518539269
3,0.119693101,33.6263337748666,3.22517110628083,0.212869,13.1401314453934,45.0178193755248,0.104643,28.9628526321269,11.4727319096573,14.8208295072726,174.359742314385,6.63861770483699,2.3059828772798,0.41455698935334,3.56649741073038,0.42609785673483,0.066582,217.313590335519,0.274551650502021,40.4868308944122,19.2675731547965,1349.99651787267,28.5851640541612,28.8854016050323,113.112664834618,6.40386268243206,55.9600946660431,1.15673732345492,0.539839046520329,5.80439324990323,10.5363428716335,1.34792585476839,79.954263086435,1.20481672824894,0.068815,5.91921480395875,11.6649741451496,43.3567271950136,17.6885726549369,102.471406354138,8.66523288495403,49.5086252751562,1.27373474631319,5.68584818662992,0.895288005318304,68.7746627686877,0.11430457,2.05277224672748,68.2516125468565,3.74940099115943,38.0956863675321,14.1497832756786,0.490599248005362,2.75287204182799,2.16919851284087,1.14889196621447,11.1981843628511,0.107563,22.4731633284139,0.760983677677993,0.2704,8.11708921448508,10.8369696157559,4.17379547908461,12.3745925510411,267.770524289751,1489.14446627838,5.37156291190131,55.1174370560272,0.400560005726609,10.637935239052,60.9890277137026,2.77256062927242,10.2982076735811,118.399351584149,64.9954754172448,15.9160126327349,0.132178,48.8440385465424,4.27017594197845,4.6725710808535,7.94942642767657,8.01702493495039,22.4968779249681,2.9806917178889,1.98150991937309,0.665709660683615,35.6215693936902,0.032997453,35.5987631868127,0.390522437547951,132.429144815736,0.076775213,0.435115246607922,49.7345119444274,0.655296630679374,35.1504482919266,5.30979787306858,0.421669813694912,1.38929224936789,35.9711367154001,3.02196281123812,0.316597583536195,267.933615297632,6.60673336085158,17.4984767617846,5.83814525949471,0.010960934,5.1643197171264,3.70729893873581,254.26409319108,4.35826506745753,32.226914132675,132.648125066079,0.021632,10.0311345712516,37.3246487053856,3.40940035464748,25.1210473470033,10.9020219809418,0.31725252123499,2.98584196883804,0.997560769982263,19.6217767217706,136.640881664822,43.9532430776846,68.1792934133025,20.7711564416557,5.97931469122172,0.830202394684792,9.07572794957548,6.19925244131746,14.5091019042855,0.209621681613073,0.596578177331434,2.09565512289227,10.6759567392805,0.092431,29.6439616111047,8.69678769806001,73.2638986111175,1.78463233991676,0.115750328023446,1.32891759818153,11.8626270529323,86.9446137071105,0.011661811,24.05558311,77.8958591439128,40.2352808632659,3.35940614751419,353.765366513564,0.107361876655303,36.1537909132164,99.1691027652945,0.365908972754112,0.016830778,0.196226310081065,43.7046452444055,56.4554094561167
4,0.124480825,41.7520117111945,3.14077548549812,0.207232,14.8931028251925,45.890664457424,0.109344,31.7057762763429,11.6538705216946,17.9773834072545,178.79860233581,6.28563174269137,2.69836623005755,0.434514809463069,3.37140712391735,0.472678133774687,0.065889,219.049768353091,0.265475913316029,42.809811306757,19.5204332668009,1285.91689607961,33.0386667619427,33.3386734404103,138.015399664021,7.61953302761434,58.4857484543389,1.38914749328617,0.537544179102761,6.15829346564699,9.76416622649285,1.42838767659019,77.7801360881904,1.33748302774862,0.06738,6.00988586468836,12.0084346083711,45.2864799095354,18.571171216138598,108.95918940687,10.5231650396932,50.3497028734609,1.22958788123954,5.7086911686418,0.866455722620621,70.73157234695,0.118876752,2.28045276829358,69.987979229544,3.38900502605638,45.959695276362,16.0205109182401,0.491702339381122,3.26058756449579,2.47025926831004,1.37110320868529,11.010126044023,0.102819,26.8628129007708,0.725588543615539,0.281216,8.56653397090038,12.3915537570386,4.01048693078796,13.3065568695843,268.717211034096,1565.22956621749,5.68360206136024,69.26053208674,0.429460102248759,12.0301895128412,60.2138176869453,2.67113106464037,12.5138321491409,111.146907460101,78.3582257950938,15.9829145586342,0.145273,47.2089797945111,4.92228210985827,4.7102005356055,10.15908720196,8.55121596399624,22.427694993806,2.76048174292234,1.85423396217991,0.712458603753022,35.6611057072585,0.034317351,44.117323619771,0.411326458406367,136.060876339114,0.079846221,0.428781027277734,48.0092089742113,0.655952363964489,41.0443031411644,6.25752766124552,0.419007210494483,1.39085414392077,38.4136506676439,3.31542855800684,0.33948141534489,344.17463739373,6.65273186851233,17.5795192430311,6.21713810537251,0.011399372,5.41889308795079,4.04013242530793,295.990414597305,4.60514611856675,32.2897622323505,152.329624789132,0.02249728,11.5673186768252,35.5741252822095,3.12735575388579,24.3682333248878,10.8961987933816,0.327437627925036,3.35352403444898,1.04266046836041,18.3544650673751,132.124285262191,52.7190499327807,80.9560020941932,25.55762148346,6.16453358540524,0.979517170886039,10.7017716146862,5.93157618044081,17.5178806792793,0.226519843494696,0.610239740048995,2.09352545319637,11.1093446442135,0.093273,34.3308222544732,9.94839931870825,72.0112589115605,2.15246826983966,0.119292356439771,1.262791128281,11.9886955074049,90.5763143100023,0.012128284,23.50008022,97.9305861452319,38.1941502770932,3.25394523522875,369.195741006747,0.103183235582968,38.1133403264572,99.6887701609359,0.43075750064269003,0.017504009,0.197773607946007,55.5945851343916,57.0701083428598
5,0.129460058,50.0510229227693,3.00416777747963,0.198053,16.1185108664919,45.7337942325209,0.111577,34.0869399672713,11.6710584115377,21.014523447017,177.054162485698,5.94569819768793,3.02308740079101,0.442788490159855,3.11732345560142,0.515931999232265,0.064662,214.595029983523,0.249300887846125,44.6082707928116,19.2436983260232,1183.48143607781,37.294515053904,37.3737467302607,161.845035043858,8.79611806665454,59.3178356860674,1.61262127162472,0.520584313102987,6.34972271415321,8.75999701082024,1.48590541480599,74.838791126359,1.45406901862744,0.064847,6.0367898783166,12.005477898879,46.0184874294442,18.9220412242556,112.407439200958,12.3326465352969,50.5512657806963,1.18744399836285,5.6775705828051,0.817871757096075,71.6500932918796,0.123631822,2.48783327048116,71.0398825440312,3.00319491129188,54.0607893630919,17.599028964205,0.482168975338697,3.72975236244221,2.73322272465957,1.58826512223393,10.7079036351202,0.094921,31.3757962283432,0.672695009879988,0.29246464,8.83858094226588,13.883496516634,3.81355850475457,14.0446271486756,261.10281511233,1600.93902386594,5.91056877034959,84.3867685017059,0.451498564824625,13.2158815724775,58.6754759496046,2.50955571425219,14.7893021884242,103.09817107215,91.6747044286922,15.6540089283848,0.155721,44.1073416212291,5.40575595610827,4.61597161318921,12.4537862845402,8.90038975933934,21.7644819090122,2.53039851698949,1.72449338172793,0.74043960115007,34.8283038967099,0.035690045,53.0647682838177,0.423379423911298,135.602476103899,0.08304007,0.415627535479157,44.8739602309224,0.648665146383995,46.4997732312704,7.15148741164842,0.408286176203936,1.3608728660313,39.6891720947438,3.55966138238921,0.355171769377379,431.132379654708,6.49946445038405,17.4048870465045,6.51416714506355,0.011855347,5.58584841684691,4.25080713894145,340.200279049694,4.71112206847368,31.4439125152771,171.669596519384,0.023397171,12.9426243119169,33.518892389525,2.80238090176229,22.9832490477853,10.7616535203087,0.329251191738293,3.58643734465268,1.06458893126776,16.8441732017341,127.076128732132,61.6301643921409,93.2483249008805,30.5052043919104,6.20267240134766,1.12077221832322,12.2208094475749,5.56141615456085,20.3466586547401,0.239696519164565,0.60811986476491,2.07611365250467,11.4977309362057,0.091324,38.8150516587125,11.0592499868282,68.5530800567617,2.52080386177626,0.120138998431706,1.16320505037553,11.8168120421931,91.8289207494712,0.012613415,22.37243516,119.04818444751,36.2164205245053,3.08577637457297,379.153811799649,0.0971648835808779,38.912115754444,96.9402179996951,0.492875277654276,0.018204169,0.1951007572528,68.780165861904,56.2478210185734
6,0.13463846,57.8414959088377,2.82434106736367,0.183911,16.7379149075694,44.6487342319691,0.112221,35.9832659943039,11.5135869977529,23.8001719858511,169.807223685619,5.58969045901622,3.24152797280277,0.440724605195573,2.82794073955017,0.555528945944905,0.064081,204.52425853011,0.229263648054058,45.8923983952734,18.5264661469943,1055.85511730571,41.016022809228,40.7822780768304,182.783254603151,9.90218192154156,58.6275025011831,1.8207945271012,0.492159075682869,6.38670785897648,7.58533518273933,1.51014118926083,71.0884602111302,1.54709948911585,0.062585,6.01153844254838,11.7002421560168,45.1659882249552,18.7845362825736,112.7853374036,14.0307005303587,49.6257165262225,1.13594738403391,5.61648220715261,0.758731412791407,71.6711935164713,0.128577095,2.6622569665477,71.1593881530041,2.62613649884638,61.8534249128517,18.8174078759465,0.464599046103908,4.14552085985064,2.94247706741724,1.78937038691019,10.2412846825831,0.089907,35.7749662344036,0.611158351433366,0.304163226,8.93172480687367,15.2482820629426,3.5893197183063,14.5354388654582,245.742472841273,1587.5048461376,6.00430205352168,100.084820610096,0.464324665971712,14.1552534884798,56.1564931494145,2.30419908259849,17.0614454389829,94.7267689257619,103.901278962307,14.9591386090675,0.164044,40.0331214319506,5.68904929641292,4.40832936185137,14.7251252872975,8.9268040572152,20.6697739823953,2.28524217024389,1.58433343781753,0.749890264181721,33.2412793518495,0.037117647,62.0035397146614,0.423338874604257,131.78213406462,0.086361673,0.39896531656125,40.9148409094227,0.63389652550442,51.5930148762917,8.00364772223304,0.392005697253266,1.30609994357228,39.9712996061157,3.76744005584654,0.36299438656664,520.410485220191,6.20213188786968,17.0853469400246,6.73071164634755,0.012329561,5.66587104781366,4.33312857864264,381.963025151386,4.68779124982321,29.8777214262748,190.088996061305,0.024333058,14.1557507762489,31.2638900664907,2.46339187522705,21.1331994312205,10.4728702723368,0.323517988203865,3.67703851630029,1.06506702223596,15.0618352187878,121.298497146425,70.547833461382,104.63983681243,35.3914622318852,6.10661519562899,1.25265803850226,13.5896003305211,5.12206064352274,22.8985577459422,0.24943939475502,0.593022577936018,2.03750579519893,11.7706451706041,0.087711,43.2771927484495,11.9967334157972,63.758424234691,2.86142802416189,0.119543933175171,1.04065573850675,11.3102560531412,90.7603168410634,0.013117952,20.92078778,139.487000785807,34.2304793474134,2.87399249887095,386.150325952906,0.0900347470158041,38.6498228319558,91.2834515680469,0.550509677679227,0.018932336,0.190751841483908,82.096064728536,54.4414943947764
7,0.140023999,64.6451467655523,2.5931988387627,0.169747,16.5992714817945,42.800142674935,0.112023,37.0621641005066,11.1931386459955,26.2179269833749,158.655024661815,5.17102236416478,3.33534603390942,0.426785603625092,2.51345833802282,0.594166516437867,0.064177,190.043540761706,0.207598697436913,46.4155479606317,17.47513019943,920.28576213295,44.3624950533108,43.6225020737103,200.541371584304,10.8864039715076,56.6982851355495,2.02273691696847,0.460592652794156,6.25075873220092,6.42450943220332,1.48253401399853,66.9098486192653,1.61235468069572,0.060263,5.91950693170368,11.1855884768614,43.0455927353885,18.2649736150639,110.324154203888,15.6105116593496,47.7175023968491,1.07552199294221,5.50865981169394,0.699428068521197,70.9967939748182,0.133720179,2.81231862229071,70.3362326037795,2.29240717350926,69.2367492815792,19.9121346992065,0.44364987095882,4.52712040164939,3.10221257410402,1.96501964256947,9.63478808274738,0.085786,40.13625271794,0.551236480605848,0.316329755,8.78272284340239,16.5224701960719,3.32237760677086,14.8698525106215,224.880904474903,1525.96972144858,5.96122840924941,116.219514194383,0.467255357727185,14.9924294971535,52.917897446258,2.10272988976573,19.0464906117069,85.5982630158493,115.397644781867,13.9960162304744,0.168314,35.657876059107,5.74456566073435,4.09962202002664,16.821336933855,8.70988777300616,19.3924560615396,2.04054305142799,1.43265715115124,0.737586322201879,31.1270601235956,0.038602353,70.6235275409785,0.410360326250476,126.130416386664,0.08981614,0.375513505826382,36.728322337194,0.603561919261444,55.9595579186059,8.78555492084465,0.373200017272304,1.23082277836594,39.3448792847149,3.92315677554586,0.360830730187779,606.616946439071,5.85815611066237,16.6774673912169,6.82038206277238,0.012822743,5.66719655321854,4.28831982638541,419.977178727588,4.55056566028481,27.9881694183496,206.998176427914,0.02530638,15.1686536351978,28.5710504057591,2.14651168842642,19.0527366375188,10.0304453197753,0.312175529880608,3.61425345014399,1.05083657197694,13.1259719559801,114.373086174719,78.8881119988304,114.70686480809,40.3900686714942,5.84804014891392,1.37247362573429,14.7255553738291,4.6947866792119,25.3575814104224,0.258756117523947,0.567873681659033,1.97405648373524,11.8351620664768,0.083601,47.3626995628184,12.7296315665476,58.0270281130049,3.20018342596276,0.120529672580609,0.911415861506171,10.5007568403796,87.802437914458,0.01364267,19.44204261,159.138729345527,31.9518864592721,2.64443339468092,389.652953645629,0.0825064098185258,37.4124686005579,83.7975320770861,0.600980395942554,0.019689629,0.189654554365721,95.0043471096729,51.562395546706
8,0.145624958,70.5864040124726,2.31407213613562,0.158957,15.7913000819015,40.3515964701702,0.111177,37.2199065090144,10.7332720453326,28.2634434091882,144.943105925891,4.7137767724565,3.31462581821695,0.402693154941832,2.19001649647723,0.636655643529874,0.064413,172.504514097363,0.185251282041613,45.974541442192,16.1715678741343,787.00036265473,47.5276193675551,45.9922856035956,215.365151629683,11.7398818694774,53.711966086792,2.21312850951318,0.426791691305705,5.94718937623315,5.42605275422017,1.40585638888409,62.4363437166319,1.66476446199511,0.057702,5.75671596472474,10.5114834178348,40.2827796371027,17.4286069112202,105.230177854453,16.9944609196513,45.2993312978399,1.01055525210584,5.3384059116158,0.642212258723523,69.6249159592374,0.139068986,2.93944279546874,68.8018591035328,1.99566861306762,76.1486421182443,20.9617135315853,0.422202321077795,4.88590357945889,3.22390538165267,2.11292397843576,8.95839013528212,0.081259,44.4836973082542,0.495127524160849,0.328982945,8.39046380754821,17.7667933855233,3.01706289399705,15.1556865106167,201.058843050315,1426.15776250229,5.81958704554177,132.866340085612,0.460581568456457,15.7110329996296,49.5657938994945,1.91458277952276,20.7547461489883,76.2674430402207,126.388204172338,12.8854976819109,0.168816,31.3959547452086,5.59245033170885,3.72743998078145,18.632533908473,8.35818527111783,17.9879072462407,1.81430747540005,1.27628109064781,0.704522179090464,28.8164568015124,0.040146447,78.8634634183968,0.384709812504329,119.268743858616,0.093408785,0.344262803948955,32.7621660114124,0.55795227654791,59.8530052805288,9.52258529218122,0.35326695516617,1.14040809532624,37.8188728303823,4.04319370288062,0.349307750175313,688.557936874367,5.48926179315499,16.1703917304932,6.7782409164696,0.013335653,5.59165195559593,4.14641506992686,458.034943643677,4.31786850626274,25.9553289684746,222.746837851526,0.026318636,15.9998960144488,25.6644167310731,1.86376745012165,16.843055397672,9.4757962597039,0.296568721600929,3.41036591415035,1.02492014032633,11.3022083777189,106.250859437388,86.6491643926631,123.703097760161,45.6245688212166,5.44329542328731,1.47844335935866,15.622135843845,4.29000382867233,27.8271101622601,0.270141055339612,0.534999575206524,1.88858063364897,11.7097021027892,0.079598,51.3175348903247,13.3069242593492,51.767655010207,3.58349645554716,0.123337555920784,0.783333207814786,9.55342383112902,83.5137826391146,0.014188376,18.09909464,178.184827202984,29.3533205460479,2.40807884618143,387.128611912067,0.0749140298255916,35.3466007245213,75.1018792785708,0.644370695799379,0.020477214,0.192465168128773,107.820677357412,47.738465117778
9,0.151449957,75.5169213794483,2.0192073619872,0.151169,14.6343415174204,37.5931562929113,0.109655,36.405120536368,10.127325482451,29.8576353903433,130.214820829652,4.25522674336727,3.20768551994577,0.372139183733575,1.8899625384164,0.684913914339915,0.064811,153.654077081625,0.163159624502042,44.4755497871674,14.682836064988,662.069034072147,50.4824912639015,47.9439833018664,227.148077933244,12.4336439671235,49.9697196221429,2.39283088383655,0.392795095412887,5.52547890235057,4.56655043749338,1.29874255590596,57.4429341656283,1.70794564902061,0.055179,5.5165693031031,9.72283671320582,37.353199419081,16.3667116839212,98.51165318553,18.1605122059014,42.6334074666257,0.943672848658205,5.09972102904181,0.587435162066241,67.2382177656599,0.144631746,3.05116754682949,66.4246676142837,1.74324675417417,82.3746187979158,21.9475383932378,0.399382220768678,5.22199913761155,3.30623613586776,2.22499426755299,8.26852350652982,0.077619,48.7906405598971,0.441980127963474,0.342142263,7.76419045501815,19.0222983734133,2.69968909975487,15.4410187401027,176.346209725532,1302.63539531398,5.60504068552516,149.739504320964,0.444212429958749,16.2807747541974,46.1512875520774,1.73016597846556,22.2031919861252,66.871626720349,136.331337460104,11.778556792282,0.167459,27.4442188868825,5.29679687350481,3.33840759371176,20.007520173852,7.91013893764857,16.5469989599498,1.61691408933081,1.12987977024777,0.654715877262192,26.5923722134474,0.041752305,86.3959544213728,0.347993097299926,111.402917309274,0.097145137,0.309864377596824,29.2429432053358,0.503903250592855,63.3272669779354,10.2170486147153,0.330831835493484,1.04289769096701,35.5926120710262,4.13767490480961,0.330402016623279,764.342950806624,5.09976330559998,15.4921013333624,6.59942243060168,0.013869079,5.42449019131245,3.96154818241652,495.443850439663,4.01399765513879,23.8644698025557,237.36159161235,0.027371381,16.6760905166114,23.0322146350133,1.61744015784854,14.5759531549162,8.87460378048246,0.27811046282731,3.14344711778413,0.98720715067429,9.75851169792105,97.4947701833198,93.4303095803452,131.583085223153,51.0600374628195,4.94150072599905,1.57185059213183,16.3092734244774,3.90499433623012,30.274580986575,0.283536401974185,0.496703170844117,1.78336495807725,11.3641250920349,0.076039,55.3154304515921,13.7940904417952,45.473630268493,4.00923575488613,0.127980292186995,0.668599474767744,8.62225167047114,78.5157278441171,0.014755912,17.00111659,196.552727218084,26.6168324780219,2.17164091528134,378.219144414104,0.0676453650058473,32.7144617779289,66.0987340851371,0.681121664448281,0.021296303,0.199264195993989,120.204265229938,43.4045040615273
10,0.157507955,79.2217085097728,1.74272424165525,0.146957,13.2287519654801,34.7084258484348,0.107988,34.5895886435921,9.36834392269678,31.0623810620387,115.846973541391,3.79849373496554,3.02072824910969,0.338556224537544,1.62932709129074,0.740768572271676,0.065422,135.050784727801,0.143057308346218,41.8895854374605,13.1268803698634,555.115557229411,53.2265214253354,49.5602720009813,235.975831387291,12.9638030912025,45.8426911065141,2.56621632236512,0.362259904395165,5.04772607102349,3.82438198307372,1.17949814750041,52.0287257093293,1.74121113357802,0.053437,5.21177996845237,8.8706020290368,34.4018646722232,15.1652469494955,90.8645369583724,19.1031298158855,39.5097173552013,0.876813148479967,4.79404359015975,0.535527231138991,63.7346883170699,0.150417016,3.14890200028765,63.352853300153,1.5388884582379,87.8671891449531,22.9157405569693,0.372857060924577,5.53846331700986,3.35919921546431,2.29573516685369,7.54433165050597,0.07518,53.0076620237438,0.394804845652886,0.355827953,6.92530794845943,20.3028849423626,2.38747615560443,15.7338201929425,152.335946016342,1169.26045990382,5.31807212531703,166.825008881595,0.418363630260376,16.7188867799135,42.2443104218951,1.55360254964631,23.2825388035726,57.8978204870989,145.094611223039,10.7543186596825,0.164374,23.860589865663002,4.87318014814867,2.96325659960645,20.8903805950324,7.3868193918921,15.1008947603121,1.45350109167905,1.000614770127,0.591000091413394,24.5438735913814,0.043422397,93.1670116583045,0.307321135792826,102.885007268148,0.101030942,0.277009734140926,26.2398845316301,0.446074794776697,66.4210347322336,10.8793393025288,0.306191643585915,0.946138565203931,32.9340564416027,4.21646934521124,0.306249575293895,832.628874111354,4.70842203490886,14.6223259434501,6.27515510781697,0.014423842,5.17829914517001,3.75286764408752,530.689437033548,3.66280075345983,21.8235460932926,250.418658477445,0.028466236,17.2154033423385,20.7688824187022,1.39860116721347,12.4490770984723,8.21944335703532,0.258779266645989,2.84589192121788,0.941729741430766,8.46409398407637,88.3715873213816,98.6046418211898,138.188587377836,56.6631308227919,4.38544179999698,1.65754013654955,16.8114709210557,3.55280048983619,32.69150807342,0.299146104803972,0.454726591284431,1.66264491801618,10.7971640007522,0.072922,59.2837801810936,14.2172129162785,39.4945667761015,4.46861918012463,0.134629182862327,0.571203855892974,7.74784446023092,73.1716255999851,0.015346148,16.24987651,213.740138759672,23.8226075112232,1.94246717232556,364.583650477122,0.060881086668293,29.7653898634293,57.8209120534187,0.711905912992194,0.022148155,0.210371502124285,131.700353755853,38.7722093915842
