variable,ABW,AGO,ALB,ANT,ARE,ARG,ATG,AUS,BEL,BEN,BGD,BGR,BHR,BHS,BIH,BLZ,BMU,BRA,BRB,BRN,CAN,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUY,HKG,HND,HRV,HTI,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KEN,KHM,KIR,KNA,KOR,KWT,LBN,LBR,LBY,LCA,LKA,LTU,LVA,MAC,MAR,MCO,MDG,MDV,MEX,MHL,MLT,MMR,MNE,MOZ,MRT,MTQ,MUS,MYS,NAM,NCL,NGA,NIC,NLD,NOR,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PSE,PYF,QAT,REU,ROU,RUS,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,STP,SUR,SVN,SWE,SYC,SYR,TGO,THA,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UKR,URY,USA,VCT,VEN,VIR,VNM,VUT,WSM,YEM,ZAF
1,0.110663,19.081912,3.204284,0.200689,7.51169,40.412376,0.08871,22.268384,10.712066,8.849892,148.692131,7.494332,1.261835,0.342877,3.760149,0.311627,0.064941,194.94647,0.273331,0.39892,34.016593,17.113688,1341.335152,19.7378,19.598889,65.965795,4.042899,46.294841,0.73475,0.495999,4.658887,11.257979,1.103647,82.30246316,0.888716,0.067757,5.550142,9.92732,35.468208,14.464739,81.121077,5.253676,46.076989,1.34114,5.364545106,0.860623,62.78741655,0.105681,1.505463,62.03557,4.352244,24.391823,9.98159,0.460666,1.728394,1.515224,0.700401,11.359346,0.104487,14.388929,0.25,0.754493,7.053189,7.600524,4.40333,9.993247,239.870937,1224.614327,4.4699,73.97363,31.671591,0.320135946,7.4184,60.550848,2.741052,6.187227,126.53592,40.512682,14.138255,0.099546,0.052402,48.183584,2.736732,4.227597,3.994122,6.355112,0.174267,20.859949,3.323611,2.25206,0.543656,31.951412,0.030508,20.713819,0.315885,113.423047,0.070983,0.416515,47.963012,0.63149,23.390765,3.459773,0.405814,1.299172,28.401017,2.283289,0.25087,158.4231819,5.788163,16.612988,4.883110934,0.010134,4.368136,2.782435,173.593383,3.51682,29.076512,93.260798,0.02,6.858266,38.27666,3.749009,24.346229,10.675572,4.039192,0.270764,1.758793,0.846068,21.486371,142.958164,27.448086,43.551941,12.433728,5.086418,0.538148,5.867536,6.192993,9.330872,0.165406987,0.524636,2.02968,9.37968465,0.086518,20.410606,6.027798,69.122234,1.124355,0.104058,1.341465,10.480934,72.752325,0.010782,23.162123,44.841226,45.448329,3.368786,310.383948,0.109333,28.979857,0.10417,87.84844499,0.239651,0.183081,24.052514,50.132817
2,0.11508952,24.63481635,3.216256547,0.211886,11.53821651,42.92950773,0.097396,26.8448778,11.51494506,11.28204163,162.5750625,7.055880004,1.956205508,0.386643367,3.711200917,0.352641758,0.066106,207.9911079,0.27729339,0.457051258,38.87643116,18.40927997,1370.950314,22.27963197,23.13566934,83.85291234,5.003272346,51.41108317,0.855923385,0.511634976,5.290638881,10.93701887,1.262849509,83.30727533,1.032554787,0.067879,5.930095983,10.80249144,39.86468625,16.01899725,93.15229631,6.767693685,49.851939,1.341763552,5.729776053,0.880651821,67.81832058,0.10990824,1.737539512,67.50359458,4.031425664,29.26273669,11.2599776,0.478344527,2.109980488,1.758067742,0.891538526,11.58983159,0.108127,16.73915491,0.26,0.744785314,7.749186483,8.624684797,4.341722129,10.79155091,258.8964218,1360.705885,5.151209936,81.23007751,39.4405075,0.378460871,9.509965519,62.89220969,2.736797198,7.983313711,126.4258868,49.55266056,15.14562318,0.115828,0.058528,49.90543775,3.656264067,4.494019005,5.723979144,7.337016635,0.187064776,21.94956587,3.160513471,2.118523164,0.62220728300000006,33.68889247,0.03172832,25.91512753,0.357794609,123.2221601,0.07382232,0.434895075,49.19725203,0.64954273,27.83893374,4.181356336,0.416829774,1.35846055,32.59625738,2.613361639,0.291334695,197.6304664,6.112192574,17.53796442,5.582959241,0.01053936,4.948194393,3.286834838,201.4970186,3.970176562,30.55281017,107.4368294,0.0208,8.093757807,38.87215709,3.547087955,25.16387208,11.11159707,4.691462116,0.297219502,2.670526804,0.930782692,20.66021223,142.0014714,34.89087863,53.04290405,14.93559601,5.810021149,0.647136147,7.201217651,6.117551402,10.66608416,0.176680883,0.560726656,2.134619358,10.46140402,0.089841,23.65212403,7.164030435,72.63268833,1.303766361,0.102546287,1.347335532,11.36157051,79.78074533,0.01121328,23.96432961,56.08587734,42.88344886,3.363145611,342.9444024,0.105930096,32.70512255,0.1083368,95.22465367,0.287498159,0.176600704,30.94318828,55.11549785
3,0.119693101,30.01394756,3.147711528,0.212869,14.45805357,44.2524605,0.104643,32.34037885,12.55902343,13.62297472,170.9565021,6.754666797,2.523500359,0.424372144,3.608832945,0.365338183,0.066582,215.0199691,0.276912543,0.502945568,45.10703462,19.22416527,1359.188423,23.85475767,26.12619591,101.5785723,5.916472278,54.89778197,0.926755292,0.494914366,5.822129699,10.2937235,1.42005134,85.77352077,1.145879432,0.068815,6.48938236,11.23309035,42.63734967,16.9961794,101.7099576,8.136665069,53.35407759,1.351665915,6.203049122,0.844190706,74.24696663,0.11430457,1.925010966,74.18238175,3.585553959,33.36481632,11.888539,0.483449194,2.395551148,1.948923922,1.087292811,11.88118724,0.107563,18.21517351,0.2704,0.690905938,8.632692003,9.201880767,4.272875196,11.05283709,269.3348023,1457.426895,5.881843389,84.95974391,46.31494119,0.444882937,11.94571437,65.37308511,2.583038436,9.81260304,125.3692473,57.34033913,15.33767079,0.132178,0.063336,51.32509133,4.580420086,4.653974215,7.542798266,7.941901633,0.193476616,22.05253353,2.963323049,2.007590393,0.70416819,33.66953052,0.032997453,30.61572176,0.38883774,127.7611159,0.076775213,0.448641656,48.46468922,0.666794767,31.8751891,4.757665239,0.420436996,1.399259599,36.04932259,2.872434912,0.329506565,239.9767311,6.00623692,18.81344721,6.518954123,0.010960934,5.601326076,3.736197748,222.8151815,4.320976509,30.39637016,118.6703002,0.021632,9.071628188,39.30222048,3.201200843,25.32535884,11.72469504,4.913649687,0.315125868,3.273133044,0.992705568,19.6048969,140.6822429,42.28887417,61.18914642,16.69586216,6.267557772,0.733048334,8.482085673,5.590396549,11.33426679,0.174101362,0.579086655,2.268844464,11.87490513,0.092431,26.30808695,8.168143907,74.53925536,1.384762726,0.093133009,1.299658477,11.85259892,84.26940376,0.011661811,24.05558311,66.5574116,41.23226808,3.261703766,384.8229838,0.098321201,35.44089936,0.112670272,98.5467569,0.327348931,0.158301065,36.7578524,59.71899282
4,0.124480825,34.78452827,3.053015128,0.207232,16.94968931,44.75634417,0.109344,38.02542698,13.67725462,15.72640302,173.7444164,6.54148117,3.051666844,0.453648027,3.465394433,0.362636052,0.065889,216.625237,0.270924126,0.536720909,51.57616213,19.57076197,1308.69294,24.70333009,28.53566166,117.2414123,6.71903832,56.98083922,0.970861898,0.464250378,6.23050383,9.463169564,1.55425215,88.56093934,1.228000748,0.06738,7.092074944,11.32488701,44.29420753,17.51115516,107.7669308,9.411800161,57.47100826,1.380529699,6.682571709,0.781775877,81.19313627,0.118876752,2.058780448,81.33042656,3.157211259,36.85476192,11.99961996,0.481488193,2.603381709,2.092579723,1.261840997,12.31609016,0.102819,19.01351572,0.281216,0.616692208,9.563385521,9.453698822,4.19866952,10.99278841,272.6613468,1521.1824,6.656458478,86.88456833,52.29506521,0.513052273,14.54680579,68.19653033,2.366384784,11.46650743,123.7834789,63.85866708,15.0393539,0.145273,0.066626,51.81731566,5.445350329,4.711960464,9.254724426,8.413194431,0.195732712,21.70539129,2.746714735,1.912765047,0.787345965,32.67360684,0.034317351,34.50274501,0.409122521,128.5041232,0.079846221,0.453055303,46.29316317,0.681329276,35.09239083,5.204858356,0.419545595,1.416053144,38.64759324,3.05773035,0.361994376,284.3963382,5.681660982,20.11571805,7.511213122,0.011399372,6.251569504,4.085410023,237.7979705,4.558296934,29.3663968,126.4568709,0.02249728,9.792613704,39.2017499,2.816256901,24.80971253,12.42633226,4.813309924,0.325099971,3.794713747,1.036178917,18.46350175,139.8766616,49.04129258,67.54530108,17.91169713,6.684986036,0.799738611,9.608080133,4.939041477,11.52736322,0.163317483,0.583874506,2.42423583,13.36220022,0.093273,28.18697615,8.961949531,74.5645622,1.374273553,0.080158166,1.226124165,12.02916308,86.87730962,0.012128284,23.50008022,75.79083438,40.2466175,3.106134989,428.7015691,0.090017903,37.22861991,0.117177083,99.03110389,0.359078399,0.134602603,41.8580035,63.13876732
5,0.129460058,38.64617363,2.934689886,0.198053,18.64241848,44.32151411,0.111577,44.22179774,14.896388,17.41250517,171.0983272,6.33444539,3.471839812,0.471925649,3.270583941,0.347957296,0.064662,213.0765918,0.258691258,0.559865776,58.8173579,19.44389826,1224.521993,24.76043608,30.13863678,129.5974329,7.334082271,57.54006853,0.969673251,0.42004742,6.473901689,8.462598443,1.663299292,91.93353802,1.278955863,0.064847,7.784703633,11.10200411,44.88879362,17.55305403,110.9606863,10.420806,61.81105933,1.433730637,7.249054231,0.701242778,88.70868356,0.123631822,2.140838759,89.44735154,2.715720584,39.25075021,11.56811022,0.470562789,2.709546015,2.175536297,1.403746509,12.81323406,0.094921,19.14844015,0.29246464,0.529563405,10.26509343,9.408530981,4.091133706,10.64443691,268.5521597,1547.000466,7.487505231,86.86972088,56.5079755,0.588210724,17.3542142,71.01208253,2.099263085,12.83812817,122.3101652,68.21605867,14.34440406,0.155721,0.068238,51.33614282,6.11667579,4.663562332,10.73492251,8.717612894,0.193537065,20.80128646,2.523988547,1.819249851,0.847700655,30.89990619,0.035690045,37.23211085,0.42172317,125.5816915,0.08304007,0.450089649,42.99862878,0.689228963,37.25367794,5.46769364,0.412035853,1.405883454,40.1732868,3.161513471,0.387711204,326.0180958,5.193042271,21.51555132,8.614796705,0.011855347,6.935289044,4.309601394,245.9718606,4.670220469,27.56986468,130.4993648,0.023397171,10.18205851,39.25409704,2.410335142,23.74962128,13.16419617,4.486497815,0.327477044,4.125895028,1.058210202,17.11891986,138.097743,54.36721402,71.53549,18.35600166,6.973232873,0.838899417,10.458796,4.215849498,11.04433577,0.145650913,0.575194977,2.605740875,15.16539448,0.091324,29.14294567,9.511036593,72.50106772,1.265516393,0.066012279,1.126349052,11.95612284,87.23247945,0.012613415,22.37243516,82.49398009,39.2416523,2.900147576,475.7153432,0.080951368,37.97587346,0.121864166,96.63026498,0.379831319,0.109996355,45.74026511,65.27451679
6,0.13463846,41.47389538,2.77950706,0.183911,19.49742484,43.10260676,0.112221,50.65734381,16.20004455,18.62117452,163.8803531,6.086139157,3.747011736,0.477455337,3.030081092,0.325007519,0.064081,204.5886112,0.241961365,0.568301383,66.59739126,18.89922179,1117.584554,24.22094043,30.98902889,138.4456795,7.748736216,56.77345868,0.938893311,0.368000976,6.549748577,7.319842215,1.727639389,95.49593111,1.295249012,0.062585,8.598445339,10.63352843,44.10663534,17.19134606,111.4574025,11.08772276,65.68332491,1.491922537,7.927731517,0.612939184,96.7444042,0.128577095,2.173918455,98.14835343,2.293705602,40.54211309,10.7724351,0.450285447,2.725775173,2.199439252,1.512958812,13.31841767,0.089907,18.81263502,0.304163226,0.439804465,10.62460596,9.137385936,3.939257467,10.04719441,257.5671248,1532.066513,8.317508615,84.38242459,59.11604486,0.666901513,20.22339022,73.57529719,1.806722272,13.84350981,120.9391904,70.52624208,13.35569532,0.164044,0.068511,50.25249206,6.545440923,4.515792015,11.87509471,8.733246537,0.187250053,19.48047676,2.281465727,1.711143109,0.878326267,28.47516809,0.037117647,38.94698409,0.424095313,119.8355564,0.086361673,0.441092289,39.07413023,0.6846087,38.5823987,5.583417544,0.397381096,1.369223374,40.75873039,3.19383733,0.404049369,361.0992931,4.617534182,23.09657308,9.848867106,0.012329561,7.637236873,4.400579909,247.1833215,4.666447611,25.21979873,131.4352579,0.024333058,10.28575481,39.36273885,2.008845785,22.21256541,13.91509137,4.040189818,0.322638843,4.276366926,1.058856688,15.53629194,134.7999728,57.85610669,73.30878456,18.23732069,7.065267717,0.854231888,11.02664945,3.484094979,10.11769186,0.125173906,0.55514369,2.79666596,17.19191928,0.087711,29.42438082,9.811116458,68.91854656,1.085727603,0.052091562,1.009198841,11.59216985,85.51061952,0.013117952,20.92078778,86.73071002,38.01449714,2.658536055,527.7731648,0.07157942,37.81747129,0.126738733,91.66155543,0.390542892,0.086232632,48.06047136,65.80075268
7,0.140023999,43.24485677,2.579504592,0.169747,19.47690797,41.31769504,0.112023,56.42656564,17.41515359,19.36586194,153.9353464,5.742836097,3.873431644,0.468918756,2.754615316,0.299812832,0.064177,192.2052944,0.222705232,0.560842003,73.92731958,18.01535137,999.7368677,23.46783873,31.16978227,144.048247,7.945755432,54.97425123,0.899383732,0.321620057,6.447358282,6.176413175,1.731392616,98.29057611,1.281949051,0.060263,9.436525964,10.04172519,42.27618107,16.55774208,109.80912789999999,11.44099165,68.61211139,1.552332401,8.62468701,0.5333148,104.3389449,0.133720179,2.158808774,106.7977284,1.931379778,41.0449365,10.01303468,0.423780935,2.698968711,2.185868708,1.579655679,13.70455662,0.085786,18.26904286,0.316329755,0.36470938,10.50040355,8.755837495,3.726674266,9.371363548,241.5516359,1476.770998,9.10313024,79.94388445,60.53301708,0.741415181,23.32801859,75.00824404,1.545727748,14.35905121,117.9743123,71.45198644,12.27537387,0.168314,0.067872,48.71405101,6.690445854,4.274503081,12.58043094,8.534334576,0.177490637,18.04832213,2.039439448,1.585620284,0.873390574,25.89100192,0.038602353,39.73676833,0.414057578,113.0990079,0.08981614,0.424131172,35.07625455,0.659171347,39.15195831,5.600521392,0.37694226,1.307099555,40.53746111,3.159751148,0.407790811,388.9525395,4.095950591,24.71033762,11.05100861,0.012822743,8.313288973,4.379077668,243.0281315,4.557131115,22.83483087,129.8321017,0.02530638,10.14061035,39.16622886,1.64870628,20.4195873,14.54895544,3.583054054,0.312681674,4.253585202,1.043573805,13.7966114,129.5745565,59.26411017,73.21471317,17.91704724,6.911661509,0.849623785,11.29617887,2.874137389,9.258634262,0.107741472,0.527589013,2.978024156,19.18371254,0.083601,29.16108507,9.878093592,64.08866914,0.909759954,0.040390985,0.888946827,10.96911941,82.26830008,0.01364267,19.44204261,89.13024633,36.23535872,2.414224171,581.1391703,0.062860458,36.84882551,0.131808282,85.22370724,0.391781898,0.066806922,49.19426727,64.50989561
8,0.145624958,43.90252479,2.33354538,0.158957,18.58124052,39.01449223,0.111177,61.20092619,18.44006682,19.61188876,142.1984118,5.304746924,3.838779659,0.448430679,2.45695313,0.275595167,0.064413,177.0090257,0.201167128,0.536741116,80.33497645,16.72833992,880.9937184,22.53682283,30.67024538,146.354611,7.916195618,52.31169595,0.850266426,0.28262612,6.156185472,5.133637347,1.659861958,100.0051738,1.241864789,0.057702,10.2646935,9.381336736,39.735238,15.70790564,105.9461609,11.46712443,70.31937448,1.617058473,9.304105372,0.466263293,111.6154385,0.139068986,2.095257286,115.0103494,1.626454457,40.73936968,9.374811857,0.392336551,2.63917185,2.137021312,1.594583631,13.88665175,0.081259,17.56247444,0.328982945,0.305135479,9.957069936,8.298493076,3.444183472,8.650246565,222.3982143,1385.981211,9.793554572,73.70205091,60.75781609,0.809760839,26.73604217,75.46753834,1.33405765,14.35060801,114.0461377,71.11043902,11.14985386,0.168816,0.066692,46.60629486,6.548895046,3.960809812,12.81249706,8.197149712,0.164874584,16.58296605,1.815392378,1.445153453,0.830338212,23.35789004,0.040146447,39.56969654,0.387917361,106.092653,0.093408785,0.394038951,31.1993711,0.614061311,38.887807,5.505668881,0.350649758,1.22554893,39.49207181,3.054187737,0.399918532,408.5849457,3.653933264,26.18126556,12.15515304,0.013335653,8.928946648,4.257514538,234.1040671,4.357860767,20.59709288,125.7620397,0.026318636,9.764978159,38.77314932,1.323326998,18.52237724,14.92232956,3.156207656,0.298835852,4.055027773,1.01151501,12.04099886,121.7560016,58.62355101,71.27537755,17.41641001,6.49440557,0.825329454,11.24400111,2.400898071,8.55481234,0.094159637,0.494552098,3.125908769,21.09954101,0.079598,28.35776107,9.7256062,58.2877013,0.767285432,0.031724965,0.769666688,10.17918363,77.69396947,0.014188376,18.09909464,89.86887649,33.75361808,2.168446521,632.460154,0.05507964,35.15298476,0.137080613,77.73651419,0.383449578,0.052876924,49.25341459,61.51111605
9,0.151449957,43.48756424,2.027632943,0.151169,17.14382798,35.9607835,0.109655,64.49186987,19.26590903,19.37329265,129.3501669,4.799716043,3.674840039,0.416173492,2.130591531,0.251902911,0.064811,159.2722009,0.176488194,0.497736358,85.10106915,15.07161606,762.3849258,21.44503126,29.56962984,145.6181993,7.683156806,48.70096482,0.792047507,0.249119546,5.65259504,4.193600012,1.513458977,100.2135196,1.18067008,0.055179,11.06748314,8.671852551,36.78552902,14.55726345,100.3560736,11.2092663,70.81126845,1.669438087,9.94459558,0.410599646,118.04121,0.144631746,1.989028884,122.3088365,1.366333367,39.68218196,8.834724172,0.357647216,2.552102343,2.056002879,1.563149178,13.89017141,0.077619,16.68362061,0.342142263,0.258091855,8.998642757,7.776635168,3.076998921,7.906817342,201.6326739,1267.836894,10.37227012,65.4833776,59.82100896,0.866735422,30.43429262,75.14541496,1.162434679,13.88740546,109.6084648,69.69384691,10.05438761,0.167459,0.065329,44.56367988,6.193518403,3.605438423,12.61414444,7.69995049,0.149909281,15.08491198,1.591796304,1.286541036,0.754111674,20.95642935,0.041752305,38.44755832,0.342792591,98.08307514,0.097145137,0.351980799,27.53982016,0.547608132,37.80205572,5.311875233,0.319777066,1.126603162,37.57609647,2.884887049,0.380612442,420.0879098,3.278566843,27.42263217,13.1122821,0.013869079,9.426288803,4.052122136,221.3761887,4.048349931,18.53737495,119.5052964,0.027371381,9.183476983,38.11955587,1.051577262,16.47533759,15.12428895,2.817517605,0.281016954,3.736071424,0.959508457,10.36802151,112.1871576,56.38775083,67.64364057,16.77880421,5.855792758,0.78313793,10.91342344,2.032425013,8.016833578,0.08416266,0.457537486,3.2318448,22.74529265,0.076039,26.91377856,9.386279979,51.8908737,0.67789501,0.025902124,0.658366669,9.30979528,72.17346099,0.014755912,17.00111659,89.11353425,30.82906391,1.907338654,677.3211162,0.048308515,32.6899515,0.142563838,69.06017573,0.366384373,0.04338625,48.35877243,57.3052708
10,0.157507955,42.10504856,1.70098536,0.146957,15.22705088,32.41352064,0.107988,66.44890155,19.83074737,18.70985079,116.1755767,4.219824788,3.392880838,0.373114136,1.79989142,0.227785388,0.065422,139.1022305,0.149624474,0.445488008,88.10075001,13.066745,644.5578068,20.23697636,27.97691167,142.1589135,7.277764977,44.06844125,0.729863608,0.219344988,4.975961931,3.328921553,1.319923548,99.06466962,1.105170921,0.053437,11.75568617,7.856892306,33.5796212,13.12442678,93.58306294,10.70889654,70.90420512,1.714626896,10.49815099,0.364841935,123.6508579,0.150417016,1.852061674,128.3225331,1.14289242,38.00302362,8.384241514,0.318507622,2.443640116,1.951205192,1.493753475,13.78490658,0.07518,15.63664255,0.355827953,0.221400373,7.761123315,7.16115397,2.660106971,7.190649033,180.3594739,1134.339702,10.82373818,56.61055923,57.43161745,0.91317115,34.52851943,74.34614275,1.007702963,12.982505,105.3420831,67.29379842,9.075827408,0.164374,0.063948,42.48365715,5.640566143,3.213435268,12.05567291,7.065144618,0.132538876,13.44492614,1.38607676,1.123060382,0.653737747,18.72650127,0.043422397,36.46506423,0.290884253,88.81280295,0.101030942,0.303368362,24.27835381,0.468738559,35.96008849,5.04458245,0.283394455,1.006856966,34.64312521,2.672013198,0.35102915,424.0395492,2.943759309,28.3813312,13.87262176,0.014423842,9.795935662,3.766009225,206.5180756,3.644359729,16.50974586,111.6752193,0.028466236,8.449638723,37.54592771,0.824904833,14.32199729,15.14193091,2.582808786,0.258395435,3.297665979,0.890275774,8.795589048,101.6869937,52.49006077,62.79732789,16.06649848,5.045772933,0.727162138,10.36884196,1.733415775,7.665784127,0.077270329,0.416574699,3.292637828,24.07990807,0.072922,24.61517884,8.897892952,45.34126498,0.653170676,0.02231147,0.557316115,8.363802527,65.86210099,0.015346148,16.24987651,86.84109644,27.68323105,1.638880697,713.171714,0.04200247,29.43179836,0.148266391,59.51789289,0.342241195,0.037357039,46.72290276,52.37082796
