variable,ABW,AGO,ALB,ANT,ARE,ARG,ATG,AUS,BEL,BEN,BGD,BGR,BHR,BHS,BIH,BLZ,BMU,BRA,BRB,CAN,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,GUF,HKG,HND,HRV,HTI,IDN,IND,IRL,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KEN,KHM,KIR,KOR,KWT,LBN,LBR,LBY,LKA,LTU,LVA,MAC,MAR,MCO,MDG,MDV,MEX,MHL,MLT,MMR,MNE,MOZ,MRT,MTQ,MUS,MYS,NAM,NCL,NGA,NIC,NLD,NOR,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PYF,QAT,REU,ROU,RUS,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,STP,SUR,SVN,SWE,SYC,SYR,TGO,THA,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UKR,URY,USA,VCT,VEN,VNM,VUT,WLF,WSM,YEM,ZAF
1,22735.69305,2639.763002,3268.712755,18984.59806,29363.59358,13803.320946395817,12480.11989,44942.03470647894,38372.96858002019,1263.9224550249003,1646.5261428352867,11970.930007060233,24328.216892022432,29064.02003116731,9953.386088675454,9513.632848450745,81545.82039,10872.975312248855,27224.722140913025,40665.57259326108,13278.252443985151,7743.097086167315,1600.5917148393266,1984.5263988673057,275.85083702766826,2515.5716295367774,8096.2751815677475,1067.2219908386287,4341.696515484234,12239.072106747244,12957.457166387749,21291.1782459623,36833.716337705795,2166.2762012821204,6171.981431,38335.615177802225,11038.289042131646,6672.9257018020135,7087.123814060069,5493.870720993749,726.3011028323657,31667.574658685266,17991.46938602836,35909.05444752211,4925.511625096675,36069.31295943848,3207.76677,11789.130115800275,38063.31852450758,6122.006721643687,1385.3063008537179,945.1410767195615,25750,1654.4631062786607,943.5352099309738,22674.713875072845,29421.5636406997,6272.259743,6614.585314195638,4933.714786628212,19600,41385.46423540905,4239.049316869944,17529.9679451508,1610.2965952861039,4651.936488755921,3616.9407826879865,39021.23341612823,4906.225517800949,40681.56312588878,28414.56075583483,31541.513816292816,10343.967291268062,5366.161400993258,36614.916176084196,1322.9134834465517,2024.9867349768392,1117.942592,28746.152982605177,48467.30752343588,14266.188234839094,406.1265946099417,21818.655797662796,4603.1269664718775,17301.724942843026,14435.4310632787,37544.2387,3673.759501983574,188409.5975,855.6369871410895,6375.987438597279,13004.125667837594,2718.960878,23989.630807556383,363.5379442,4384.986757,811.421521925237,1627.0905286245923,28157.89474,10688.474915038538,12627.302341571858,4988.174132842418,34647.55078,2184.408763777304,2389.4972859759155,46541.97199079805,54381.30831399135,9867.771857,30652.419316831758,24490.11632866765,2804.053389081082,11095.357584899413,8175.16588702666,3400.5116058314484,8e3,2719.140431930031,18754.60624770896,28494.909870817406,508.4976404,22759.575734951573,20176.69788,57897.6137,24971.04548,11377.092630902003,16355.041399403555,22662.38562152279,2451.9013641062747,1642.5555605940572,49391.843781375115,2063.3551458239604,868.9094546377489,7039.923659191027,541.3013452645182,1993.2539182201267,11124.451959132599,28118.77570608094,38810.699171080974,13194.76299,4856.167739287249,888.5184634377107,8482.046697271475,1325.6586434141288,9044.392004120824,32463.77500511541,7140.467049925465,11939.292853641948,3524.392506,19281.38875,1241.2159686478076,7353.6385169423875,12336.633547390948,46396.93769028872,8054.523268791231,9758.626810271366,3299.9657837866885,6803.730161400463,12081.48577,7786.470945928927,2601.6207744186254,8463.206491625186
2,27984.23969,3311.120413,4707.125674,23017.67041,32312.47461,19224.088630182796,14550.86695,60066.38374170446,51627.113601325764,1392.428377946288,2149.702878963831,18673.082410817566,39076.6211271885,36459.69945676302,16391.522178324252,11363.969738831813,102545.9358,13965.468842291242,22016.40229812171,47178.70517701269,16685.121573342534,19956.44191387183,1560.2664623966805,2424.8083341495003,898.8323356692975,4088.74125961057,11126.385809717322,1192.4375150910105,6393.5925267782895,15218.500420857183,19529.661972684684,31175.275227333135,37444.92495191024,2342.710393406099,8279.718875,39047.448467593,15028.286596687873,7755.454777981551,9506.186638886778,7573.062052426909,1037.3296165630811,39921.27779981675,23818.80905564133,42405.530958558105,7423.305515849851,43468.554767576825,5523.674741,11466.019035458012,47528.79826652257,17592.735171168533,1808.2026044457252,1051.3845199678956,31694.40097,2686.533306358019,1322.994580864675,27310.318356502947,39203.32129630015,8145.624544,8915.312681997593,5944.429441791581,33750.5912,46942.5203176431,5254.768238225489,22948.68515441169,2150.5646395845133,9023.15790740376,8325.59746939407,43777.35023859928,11318.208614525136,48504.44384957772,27240.02440926439,40437.95747048234,13556.88825603688,8487.901408590738,37538.168095744666,2035.8526118547684,4039.8064612626476,1720.633648,31059.54422272469,48693.792663129556,20584.33353758135,752.6773440912062,19138.89089109625,5225.4909067981425,23670.80142191689,21388.02994488241,41917.15501,4625.951701511185,231904.0517,1097.1817020394024,6539.822098902348,16228.18442084469,4681.966178,33467.42260172403,604.1251994,6445.77637,1360.3643941392595,2450.4865339567755,34658.15947,11785.52711307921,15162.598293298393,7055.116246497814,42645.956,3968.2680192620214,3032.673237584579,55897.884840626175,66814.46580072322,16991.99663,37188.19919592169,26835.616721032933,3178.831653750644,17281.63155465257,12584.615927858933,4376.57439341294,13775.75151,6026.729922034311,28570.7732221904,29287.340725533242,874.398933,27410.808762876375,34743.64704,62242.69366,42999.36469,18379.465237556935,23947.12079217637,23492.737034517886,3459.455013024753,2040.491397793172,66370.00002194605,4012.8850685775355,1493.7571631558903,8153.897751885916,717.9606360502693,2728.755952167502,18961.3456579747,29072.28760527026,50641.180076189805,20697.90925,6209.726032911497,755.5347231735655,11641.553348916541,3172.0943184862317,10420.10630449763,33473.55196574885,9570.148485153124,13991.21166324098,6068.894424,25045.15,1826.9784657819237,14665.738207662916,18613.417127334065,51161.51016259308,14732.619913493128,15258.798956810038,7459.592318931457,10822.683081032079,20803.94323,10099.092545845366,6661.383837242566,11301.528240801643
3,32800.60772,3943.180641,6647.03191,27928.84188,34449.8061,23974.134108480474,16509.02885,74506.75051512849,70989.10400726188,1728.7796056432828,2635.045712920349,23063.340687531036,46951.90379965968,43725.90623886691,24011.90946206753,14099.729500235086,124109.2678,17008.860311825043,20674.932885650014,56586.62041305377,20403.839711883385,31191.683097912806,1863.3308900308048,3205.263109932787,2686.0418477278467,6956.651404740423,13569.090437398023,1564.839062294302,7046.968949519843,16895.008069680443,24888.377536401338,42897.664290132045,39028.84549240151,2438.455756228993,10975.90046,41947.84994272566,16901.128018027048,9630.497621652717,12514.366271987234,9647.961552766486,2154.8991668681465,52293.870449155234,28646.066059942917,50518.466269331926,12278.410296509082,58204.292531696294,9511.596333,12399.48516550809,64446.52840376746,32916.049461376904,2192.117748083143,1463.290455649088,37149.32494,3494.3143134022075,1698.1394381851815,29529.380971923507,52196.372203299,11004.43837,10976.768835162562,7190.3373786309385,58117.46973,52286.62773411535,6557.86719029237,27439.432169024876,3198.1887705727504,15309.749940118896,14701.628735140239,54272.26652170494,20292.840216834,60130.78750862021,26207.452054328438,58259.6680748219,20819.32115376006,12740.080136514012,41383.964069943715,3368.4040886843673,7365.945002796992,2700.234273,31801.40804353491,39313.64143122465,22882.244638116736,1301.9731584568867,17119.93493189752,5336.424981941542,29218.985909423533,28148.291468229036,45046.41533,5629.483119673823,271817.0624,1499.598291903205,7418.472222870278,20997.55969405654,8062.200332,47152.47350043803,1029.265464,9140.74515,1837.041186393228,3216.798151703182,40623.17596,11755.54717202397,18513.586882264226,9655.117955140726,49985.75231,5471.560318139267,3909.3457008982723,67362.63145204473,80936.73431136766,29259.69042,43910.16838367689,28210.993257491544,3829.949324972182,19881.350497341937,15564.22026497819,5813.737810974955,23721.41621,9594.083281091107,35964.90885216706,32176.434080021983,1516.580802,39599.63146168621,59827.48103,70361.51871,74043.57039,25645.505984846477,28630.18699720946,23393.600449423397,4782.297299414973,2535.885526392621,71659.69859906829,6034.71061746895,1918.7651039840473,9681.380571330783,1103.645864173055,3080.0350614417052,24760.386004902197,29086.40331042285,67546.75409359025,32769.99649,8017.183258798988,775.3236240898599,14773.320270471317,6788.704723926965,12753.6871663725,23566.892676934018,11264.053535666122,17532.865777861127,10450.44769,30414.08464,2054.7619094966567,25635.216790649796,23433.780940407938,58757.40037554919,18467.28577019668,22263.713914146065,13005.946743116147,14607.684683112358,35823.74404,14046.866401909565,17519.77698146936,14874.179897633036
4,38445.92094,4891.646989,9244.803425,34971.17677,37316.54519,28434.680185241752,19259.21001,86128.58949583887,87467.16465008615,2210.718384566187,3335.451755213198,26173.13698268679,54682.861892647314,52133.58197209503,29865.848367669936,16805.654384826103,152879.7103,20348.983557390962,23546.06826805537,65138.16873134645,25025.320442779856,39181.94314802077,2575.4413897574013,4312.399916366397,4959.26512364503,9315.189557587406,16459.565708617385,2091.1242709719277,7967.583567463296,19272.469786388898,29533.36426973962,51370.429668178134,43029.91433956867,2882.1807687914898,16593.02854,46460.357058943635,20315.727323846837,12879.875803625791,15682.271030945363,12584.183756008504,3249.1606060844874,64115.2491599111,31974.61694469915,58191.55567514594,16294.000573880894,72436.80063952212,15622.28901,14812.401190752591,80767.42717931258,34981.605244229875,2881.4479570732988,2089.876186854177,43543.09596,4471.286636874064,2227.1486742056313,33458.07092734217,66649.0592302319,17040.83244,13538.160401664585,9305.454784087737,95454.84024,61473.99821871046,8178.45343286305,31597.29338531268,4634.659637159058,20763.382689045873,19804.519901246163,63266.99529782938,25673.469957974696,71732.23118487182,28296.741835871293,74618.25052293175,27366.368688556868,16382.7015550804,46435.661008668474,5064.632565098378,10907.089542651052,4196.626443,34556.163806765144,38531.19805793522,26664.908926538472,2096.867075192066,19253.27572555645,6318.65595596004,31905.012188134475,31888.026502021243,49912.46912,7207.677927337931,318599.5023,1934.2171691066455,8790.881176797759,26192.458567553625,13241.73348,60345.12371920979,1723.890889,12508.06367,2447.847569974191,4217.437937608596,47614.83156,13255.110233137266,23105.258762399044,12867.550780296215,58588.8011,7408.344560729991,5182.739288243582,78449.15756761651,92780.30530452446,48057.47888,50408.60022428635,29159.40136128335,5067.017830258559,22266.74553763332,18604.2294255878,7879.681282104904,38961.15928,12238.282909313071,40409.087574875266,35881.77059274647,2564.610147,55263.622075871746,98263.44247,78621.53627,121612.61,30957.39785140701,32134.61332663712,26793.516466779638,6331.338387525043,3145.7112924195567,78591.10922040761,7732.253808593642,2414.7123975199406,12248.166497513863,1568.9227139355262,3539.917244082212,29613.43310178725,31834.95337166526,81328.3131406606,52897.00604,9991.908030494527,969.564736646967,19063.283630533053,11085.351546382682,15766.75842121946,24114.998721368214,14802.686553973172,21407.39942544835,17164.30222,37031.00283,2375.8034069559744,32424.523992767565,27473.186265950422,66629.6677437008,21759.421083760906,27192.861932877608,16704.612480345255,18196.69969909348,58838.58641,18414.54832820783,26577.525968980346,20001.830960102772
5,45062.84914,5707.265517,12584.06961,44605.39167,41046.36813,33979.51240100739,23007.02494,95151.55269308489,100372.92114433536,2895.67506209061,4364.239281572589,29175.65505522594,62940.95644864707,60932.696516603064,35148.21546843916,19859.367563793672,189895.7966,25786.3343122728,28617.162671695532,72222.87477293557,29685.331666295388,45504.86626068092,3786.4720979631697,5782.263758400371,7112.480590220713,11520.383403297827,20920.717089250433,3016.3554929641105,9615.645857957297,22435.607070774684,34254.39120333972,58441.71264708354,48650.56437131308,3593.865704615423,28084.05199,51861.65976598179,24957.58316306945,16949.838203259616,19269.980991875927,16247.333402021877,4287.388820217407,74600.19243462663,34760.03636801852,65245.403743910785,19765.368424052213,84781.50218212821,24468.32944,18117.763641517868,94673.76222874632,35747.00822138161,3980.1314353122452,2956.035842761069,51037.29905,5743.908147045245,3011.9056907148993,38911.79381041699,80014.40666941505,30067.33025,16722.78708342909,11962.753707825465,149505.6504,71160.43730127795,10213.25019636674,35707.44309197843,6377.742493134618,26201.105343097228,23724.036552828424,70381.72865034726,29170.04690874314,83108.79741611106,31537.163541073765,87851.06689533599,32144.646902741897,19606.33956518617,51915.22202300469,7093.195007199747,14052.50234769584,6377.214496,37846.95098640925,43768.860648753696,31455.20812048987,3198.5517341207146,23797.775781565386,8232.14479979761,33965.344622748344,34739.99742262605,55987.65362,9308.226435350385,373433.6687,2442.058871770616,10943.877867324565,32360.801853777175,20739.79665,71245.03200968694,2813.83368,16478.82074,3334.582280694559,5692.9653517872075,55809.82114,16336.919453884906,27583.881696210377,16743.51004061573,68672.52079,10108.510576710094,6916.804001421129,89336.5490367943,102696.92298378675,75269.77801,56689.266047237936,30998.22653816574,6998.030808683303,26329.234393901985,22157.82275086908,10426.992525760452,61022.71443,14801.782132003471,44536.37787126185,40160.994736767716,4187.491085,69566.74579609539,153904.6091,88175.3379,190475.1222,35482.16846589465,35699.98100316194,31074.488129919206,8044.050486878757,3997.5797219154047,87925.65572834376,9777.058127415405,3156.9585138382467,15844.86766538575,2202.7715134320756,4295.567869910382,34674.990861619925,35625.03925279311,91484.35900694696,88002.51878,12213.531865585735,1338.395921930131,25228.56801816984,15675.014225672789,19200.54466637673,28132.38151623128,20365.516606970912,25714.193851220512,26883.49968,45142.12328,2893.739740318981,36361.60461131746,31555.258407838028,74675.30582231964,25900.90678081566,30978.486673918273,19636.601547738253,22139.65205986261,92155.63197,23460.370467849945,30598.671750851805,25541.289445489467
6,52818.61697,6234.292065,16606.04245,58554.83941,45265.15958,40146.57444369492,27884.49135,103025.75996784646,111864.15051255898,3848.6700735837358,5813.349303540552,32270.090980533587,70947.46463977707,69678.5404982959,40383.74791948599,23617.307094184,233580.682,32570.4035400265,34038.68921605551,79015.59093231177,33756.2622364929,51078.746759706446,5499.559108827971,7705.199436828535,9349.59279474312,14205.246668759735,26020.546218238826,4392.0255421046695,11825.9882568685,25976.94109051452,39221.94782210573,65453.45980152847,55099.00161252786,4609.693285972494,39106.74307,57714.31585686635,29475.4673194072,21199.481232863356,23916.976489931854,20161.494736038403,5626.528527538752,84839.7107582677,38202.822176829635,72190.29977215563,23776.91977992382,95913.77923982144,34826.06233,21997.515224857598,107466.28372906227,39719.34563614297,5529.7819727204815,4078.6372988862536,59821.32957,7331.328741993902,4173.975404254687,45219.08762593758,92131.2137889581,42661.47955,20510.356717326296,15086.184602941565,212793.1582,79559.8574680407,12772.736844683373,40136.40518498364,8693.648100681545,33414.49288549526,27882.62987581089,77688.81056174936,33063.46036312998,95385.34340378628,34909.35268570608,99422.94863055013,36362.11152457008,22820.44704972126,58070.12617646041,9427.115269441778,16987.10567462015,8960.892166,41499.271845231866,52258.9123599369,35875.10677338207,4594.371847148804,29763.74273207626,11051.07091591598,36715.68251327071,38074.010383663524,62929.6284,12099.355005499372,437705.3447,3085.565949291369,13451.5415864012,38191.5046951255,29519.19756,80091.81449219181,4247.554109,20815.32157,4545.151179935482,7632.679384045268,65415.25052,20586.09841054846,31284.922181046175,20977.62896801447,80491.74966,13399.353379261114,9212.97163132301,100135.71824434842,112065.19283347104,107132.3642,63128.663125950836,35338.10906944474,9735.701570183348,30828.476423080025,25844.386936455263,13136.53276158938,86854.35027,17742.51034737524,49004.456808536466,45334.95024569448,6250.743588,81838.72715910523,219054.2481,97953.31986,271105.4913,40229.559301748166,39865.54473083177,34320.92927413429,10201.329886994934,5194.424141416423,96638.75464283938,12489.903530781727,4245.664312294572,20791.051637002645,3085.2301079882086,5484.123004245488,40464.2835145542,39863.587282382105,100922.52315802196,149251.5865,14759.668325645347,1799.9230422028065,32392.051225714593,20329.616108340786,22796.60276084243,32593.966775946457,25927.81468947281,31087.00552117209,38263.60265,54659.73546,3651.1552456160575,40305.41030557919,35546.72282604999,82771.48401783183,30300.479886946054,35535.03269783616,23342.449632513883,26488.8538866767,131166.1996,28483.70809083509,33714.22943161078,30991.116413633958
7,58940.53972,6684.520166,20756.71606,73625.59457,51850.74775,46932.50446387973,32418.28863,111091.36395355208,123540.54329128706,5114.280611681002,7743.558766648156,35419.868427140245,78269.62873774329,79055.40703046691,46253.42003063908,28286.107295139624,270674.419,38803.121821214896,39656.11521256129,86634.21669056777,37480.733144853395,56164.114978884056,7655.268773952733,10166.584126556352,12127.760201300453,17441.522819798523,30387.16055749904,6118.392055370649,14642.309897402096,30897.20458568194,44577.781646727766,73318.74677587538,62156.411141325574,6038.487530494156,49507.71411,64201.981492331775,33499.98110184191,25192.261740286933,28335.277797590865,23987.670079969117,7379.993710181562,94853.54479762536,43068.5668586348,79899.31301470859,28390.714516146592,106824.23737066946,45003.18807,26613.734710373647,120793.3669737543,45475.02794459216,7564.707880219999,5424.635374134221,66754.8992,9152.494434959768,5748.737683174636,52868.92928805486,103510.00646532729,54502.2861,24761.970306469346,18540.511108738378,274977.1256,87421.83924660622,16009.900011906144,45592.90028134462,12227.162802940073,40407.52168725451,32574.44844059928,85327.95381428924,37762.74477165426,109100.7815039221,38843.41577068014,110528.81184944055,40984.753307932304,26071.925809087254,65203.302242073434,12053.64530079638,20817.938496906434,11737.17574,45960.609121337664,60962.2635247378,40502.80447824757,6413.307787953229,35936.04483039605,14541.072650196209,41122.62316591674,42743.449130163266,70280.14964,16205.404777562708,488437.4248,3927.149942406115,16526.113043094145,43975.55454860607,38145.5126,89018.77760770849,5906.866686,24581.01154,6184.645174457645,10194.469727190784,72997.18155,25950.11321551618,34515.07535110453,25468.04097513863,89821.11688,16698.688898574703,12046.13241632656,111277.46183937485,122414.87947606338,138439.3644,70066.90759249106,41528.01306184642,13304.871869555842,34787.97631347755,29233.99923441017,15939.787335114983,112235.5615,20963.88251863488,54566.75198292613,51234.4595764673,8529.892101,93186.06787815806,283067.8769,112061.0967,350329.9138,45864.9866029464,45327.860932463795,37439.97852234235,13203.578020765422,6762.610857532703,105561.02020575391,15835.02426352586,5754.642200638533,25932.13766173072,4271.354651429145,7134.8397529290905,46773.140744480916,45175.86217048795,111315.67648128007,255067.1544,17915.644467289272,2404.8663844389425,38322.381897678155,24912.963127918472,26336.89806043685,37539.6410065758,29909.02279969555,38466.559272224724,49445.27148,64970.67917,4647.4641789288135,45615.50906996934,40348.387260392075,91454.53534051844,35543.62188488048,40713.84113039338,29016.153991870287,31336.71872596226,169496.5423,33619.625176928144,38110.186457757336,36447.86856612191
8,64169.85944,7182.080367,25717.95469,89022.86843,59804.73586,54582.57954614321,36985.59857,118972.37618124917,135653.62216661018,6798.061574954007,10382.415469575135,38804.094912511915,84786.72902874817,89070.1987201271,52927.33434556916,33467.36468725583,305353.8621,45364.70850890959,46367.26734855866,94446.21043566772,41909.334586303885,61210.75309087999,10312.833936695632,13158.699737219013,15658.680098828774,21148.860861399975,34090.50782810971,8297.113765358703,18245.312169154713,37670.99506134111,50576.984468102,81466.21695511171,69933.52173305016,7955.119430307414,60005.79284,71370.98048621588,37336.680681131096,28842.980074036564,32230.224404987905,27540.95437732742,9631.49363440766,103855.82865292742,48890.72299394513,88277.86128431292,33373.77507927629,118105.49553208305,52748.68763,33283.4897465309,134786.31646207673,52197.5348231596,10122.10831648613,7141.39111798955,72677.52414,11430.928318335209,7958.295366392339,61553.58080667537,114277.39396096671,66775.95169,29670.390672663114,22494.665096812885,322303.444,94838.49604019335,19978.721364045876,51903.96616783779,16491.504306865954,47646.329380927986,37319.6715204662,92877.50306429384,43904.42223228375,123155.07430043817,44115.99628770453,121338.7043997349,46998.17153433365,29165.450786914877,72755.47746772139,14988.477031357143,25782.990788627973,14265.00606,51517.56826928486,69979.20118018941,46401.05110391049,8759.756614746006,42164.63154851433,18466.57435015892,46632.73589730403,48472.88198668444,78885.27284,21002.754801238458,531772.5464,5091.817729584953,20766.811275062173,50641.6882637056,44710.73751,98781.5255922649,7493.751238,28365.47961,8461.312663204337,13456.48545282768,79473.63396,32609.55900458903,37977.361457181134,30050.25010085285,97790.22167,19825.84850117534,16251.12092486981,123205.23578487571,133446.61815026627,162266.166,77450.01368945146,48444.3929731555,17624.808368558704,38688.208590411814,32442.855351596492,18833.41967250314,131552.4261,24637.037756840047,60650.60873261722,57999.534750666484,10574.46886,104015.00356603929,331786.6947,130002.4719,410625.202,52189.25718508577,51631.52014238494,41732.95251829076,17270.235451822697,8838.38306533222,115058.0827683033,19875.0986521589,7802.195250052875,30941.709438991038,5900.683853777002,9439.898660288842,53597.8732746645,51294.28059515127,121842.66255211023,396549.3539,22171.0603394513,3275.616829550262,44377.91779782697,29537.01904373586,30184.32882493254,43454.833236465514,32890.401335572096,46277.770191399075,57955.2981,77093.21976,5973.175422461887,51884.098267005276,48536.629179501506,100949.03708322215,43311.253878967174,46972.69686399915,35509.01488151051,36721.16520928465,198668.5955,39491.29266931233,44273.94459637926,42184.13855354829
9,68157.16011,7706.375016,31577.62402,103402.7857,68567.27262,62744.7369808051,41422.17519,126848.14847274723,148865.5399545292,9068.870126301756,14027.759760958412,43011.68500487102,91007.6218986359,99600.31292936322,60174.2837593128,39698.80296919421,335229.2916,52909.71564392696,54287.19093256079,102534.02088918876,47166.478074688755,66272.90527194565,13949.15875940749,17584.710599078473,19868.865535945075,26544.786634549255,37627.87607708567,11570.115038405913,22238.29009412298,44383.68518284677,57787.56157522168,89884.43500936142,78532.10065316281,10420.66505067294,69314.47801,79234.98829434635,41992.95658645377,32306.659767272577,35927.94996148619,30741.994743065297,12618.559616545961,113115.25847331273,55608.88737249247,97194.9075607074,41333.11423889493,130446.55430480468,58862.50525,41076.90308530351,149733.79012910931,59869.53579941533,13165.917344621801,9455.213413869746,77193.46268,14153.580048353155,11017.923564971916,71085.83768244814,125427.84895586532,77221.32592,36748.695273601894,26831.301847553284,359659.9085,102331.2680878802,24937.16617132761,58850.057932648546,21022.208329834277,55817.71967463084,42447.95128627108,101178.92069779985,51724.986722454385,137623.0433821959,50570.51662809272,133178.26011427096,54358.34789043249,32106.372491235456,81519.07577180788,18176.42220086481,31433.26924100942,16689.27594,57806.58298446974,79707.77330345406,53405.27608468486,11877.689563223119,49818.27497412604,22694.98482774324,53016.121341649334,54973.598771354904,87674.28742,25381.703872545924,564815.1158,6716.137940760841,24995.980210453752,58231.98009835912,49892.91942,108847.72592085732,9027.857721,32545.44248,11651.048113064657,17260.838063835854,84411.86006,40897.01692928221,42639.42742140811,34567.78326822778,103866.5793,22823.440368029074,21250.75466690376,136146.32763368796,145259.37507765426,181073.5675,85481.91468347382,55899.63592422181,22486.28699882767,43529.0163547287,35527.81746922028,21743.638986889666,146799.9627,30297.596444911705,66631.19525392773,65651.28130172109,12473.62391,115033.15375167575,370242.3119,150698.6543,458218.5679,59166.915251926075,58584.5042945697,47366.15734259255,22178.995039010468,11553.524459520464,124359.73215388403,25942.888380024066,10713.388788669601,35624.92790937427,8104.406796550431,12590.402944666972,60896.17073983696,58120.993639245775,133146.0064012228,557872.884,27940.659733599274,4560.015605042471,51835.101696159734,34210.0592616579,34235.13666586136,50294.74107626002,35805.074749233965,54681.78709915436,64672.58603,90658.6666,7800.719221020824,58861.2683906188,57868.93831872111,111071.32492932037,51845.761234195495,54139.8701567206,41578.25585460672,45069.84096406928,221695.2074,47112.47349395619,52086.02634625324,48503.79049715701
10,72392.21833,8424.974466,37562.30765,117494.744,79204.93009,71365.37120345693,46462.17971,135205.98024165272,163634.66054653228,12040.749485851104,17794.51277789331,48042.994008480455,97299.93508858871,110950.48070105519,68114.98068364587,49526.495452557225,366843.3096,61339.82019527546,62852.27528151728,111421.05908189822,52754.6581571991,71105.8748528474,18259.735033823414,23031.80610259088,24554.364652638298,32917.90112108844,42011.72971173639,15705.523989381665,27610.560800585798,51630.21895763528,65608.38167604576,99109.10819171663,87951.48103941289,13473.772327256493,79062.3014,87766.50370237917,47686.238909793065,35806.95429960405,40327.58373273925,33756.67837668407,16380.45763668582,123924.52998407562,63421.6468304596,107031.68758449053,52407.21569380768,143866.6174281388,62520.02467,49667.33593173439,165688.69709586672,68373.82025041908,16577.213295077272,12615.19652603814,81990.00655,17126.641329197595,14876.864254033642,81362.89519676623,137928.9097516576,88067.71211,45401.39785949886,31287.4404625751,382007.9736,110383.51409921993,31496.274942624652,66553.99815598289,25610.05541190078,64812.49630575845,48112.15607646532,110584.5201549776,60623.02212226739,152913.36489091453,57942.80280496396,146808.26754966727,62691.43492435594,35070.04119921714,91789.23695961827,21510.049629903908,38466.65803830829,18781.34121,64693.31760420255,90101.76687934516,61372.48704247637,16178.023127954555,59116.664455995364,27060.143483788466,60696.59805768226,62409.65880967021,96014.75068,29415.78570056251,599910.8401,8891.352421661726,28265.778239878717,66320.26733831353,52993.09874,119569.98107811499,10304.3096,37068.10282,15782.480093727127,21388.77798855479,89656.93102,52818.35059282601,48419.53839205795,39139.316946636754,110320.5016,25661.751414440667,25895.82123565085,149785.14840027393,158265.72339496258,192324.874,94097.86856053902,63770.29477891735,27611.981975881532,49182.04614707221,39035.284891904565,24695.06100373422,155921.6219,37110.94291096361,73406.05960342316,74402.89204588722,13987.63209,127132.81407024577,393247.9322,175146.8299,486690.7389,67155.31993123975,66450.7475365415,54108.5335525537,27331.186161157802,14873.657216890939,133836.17811958407,33293.793650654065,14501.570491803637,40671.179610552455,11342.724240098882,16599.86546226282,68603.33015412473,65848.70319606012,145715.72330871888,709111.936,33035.55314579744,6457.556065289441,60546.332144225096,39035.371585382265,38431.65040348258,58185.56838714464,39883.51221428016,63568.8273966935,68691.12446,104773.2573,10267.298219264798,66743.8091714616,67444.00308166786,121757.26914296676,60699.60770623592,61958.31193023087,48267.996707589,56074.41490961425,235470.6069,56680.34345696674,61099.957671481505,55556.9207446017
