variable,ABW,AGO,ALB,ANT,ARE,ARG,ATG,AUS,BEL,BEN,BGD,BGR,BHR,BHS,BIH,BLZ,BMU,BRA,BRB,CAN,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,GUF,HKG,HND,HRV,HTI,IDN,IND,IRL,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KEN,KHM,KIR,KOR,KWT,LBN,LBR,LBY,LKA,LTU,LVA,MAC,MAR,MCO,MDG,MDV,MEX,MHL,MLT,MMR,MNE,MOZ,MRT,MTQ,MUS,MYS,NAM,NCL,NGA,NIC,NLD,NOR,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PYF,QAT,REU,ROU,RUS,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,STP,SUR,SVN,SWE,SYC,SYR,TGO,THA,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UKR,URY,USA,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,IRN,LCA,KNA,VIR,PSE,BRN
1,22735.69305,2639.763002,3268.712755,18984.59806,29363.59358,13803.32095,12480.11989,44942.03471,38372.96858,1263.922455,1646.526143,11970.93001,24328.21689,29064.02003,9953.386089,9513.632848,81545.82039,10872.97531,27224.72214,40665.57259,13278.25244,7743.097086,1600.591715,1984.526399,275.850837,2515.57163,8096.275182,1067.221991,4341.696515,12239.07211,12957.45717,21291.17825,36833.71634,2166.276201,6171.981431,38335.61518,11038.28904,6672.925702,7087.123814,5493.870721,726.3011028,31667.57466,17991.46939,35909.05445,4925.511625,36069.31296,3207.76677,11789.13012,38063.31852,6122.006722,1385.306301,945.1410767,25750,1654.463106,943.5352099,22674.71388,29421.56364,6272.259743,6614.585314,4933.714787,19600,41385.46424,4239.049317,17529.96795,1610.296595,4651.936489,3616.940783,39021.23342,4906.225518,40681.56313,28414.56076,31541.51382,10343.96729,5366.161401,36614.91618,1322.913483,2024.986735,1117.942592,28746.15298,48467.30752,14266.18823,406.1265946,21818.6558,4603.126966,17301.72494,14435.43106,37544.2387,3673.759502,188409.5975,855.6369871,6375.987439,13004.12567,2718.960878,23989.63081,363.5379442,4384.986757,811.4215219,1627.090529,28157.89474,10688.47492,12627.30234,4988.174133,34647.55078,2184.408764,2389.497286,46541.97199,54381.30831,9867.771857,30652.41932,24490.11633,2804.053389,11095.35758,8175.165887,3400.511606,8.00E+03,2719.140432,18754.60625,28494.90987,508.4976404,22759.57573,20176.69788,57897.6137,24971.04548,11377.09263,16355.0414,22662.38562,2451.901364,1642.555561,49391.84378,2063.355146,868.9094546,7039.923659,541.3013453,1993.253918,11124.45196,28118.77571,38810.69917,13194.76299,4856.167739,888.5184634,8482.046697,1325.658643,9044.392004,32463.77501,7140.46705,11939.29285,3524.392506,19281.38875,1241.215969,7353.638517,12336.63355,46396.93769,8054.523269,9758.62681,3299.965784,6803.730161,7786.470946,2601.620774,8463.206492,12433.15263,13689.62426,13689.62426,46396.93769,3119.97029,51234.72002
2,27984.23969,3311.120413,4707.125674,23017.67041,32312.47461,18478.29198,14550.86695,50873.34305,39724.6595,1342.609886,2068.450508,18451.39991,39901.19298,32030.60731,16315.66495,10727.28101,102545.9358,13720.8413,21823.03349,42298.49872,16319.09551,19783.92908,1392.374555,2198.206445,823.8417072,3785.093888,10725.60771,1021.262103,6155.910201,14344.30575,19150.00055,29146.51885,37382.18528,2265.65535,8279.718875,39457.06861,14411.93893,7421.514702,8757.626268,7347.968576,999.3879708,34107.91866,23944.25459,38857.46885,7324.657101,34864.6967,5523.674741,10487.03003,41033.28723,17382.86981,1721.53564,874.4858057,31694.40097,2488.583472,1200.049638,26458.86277,31975.88938,8145.624544,8179.782804,5744.20857,33750.5912,44627.82846,4767.060311,22873.025,1977.841463,8885.75446,7950.992895,39165.89103,9903.233497,48613.69471,34892.15822,32918.19778,12919.1376,8289.075251,35527.3172,1821.58517,3889.755385,1720.633648,31819.13631,48294.5417,20251.87381,683.6179354,18852.84375,5126.788082,23681.9556,21349.72187,41917.15501,4266.598451,231904.0517,1051.769602,6913.11027,15989.44781,4681.966178,28559.64029,604.1251994,6445.77637,1269.535122,2378.373049,34658.15947,12009.1622,14782.17883,6687.334969,42645.956,3726.540876,2838.750748,53596.32813,59753.64999,16991.99663,36581.21466,26466.61253,2978.683045,16882.2481,12173.28777,4082.142973,13775.75151,5923.241068,28671.50859,28340.05661,874.398933,23326.3575,34743.64704,62242.69366,42999.36469,18085.2499,23890.03448,23382.05985,3156.245945,1827.985543,61241.70767,3944.497411,1387.21976,7748.663565,658.1955982,2631.265715,18594.34769,29280.47929,40945.1448,20697.90925,5768.344259,712.485698,11300.55195,2941.879857,10170.62767,45297.00429,9447.375749,13340.3586,6068.894424,25045.15,1678.716186,14601.78046,18266.17144,50296.17645,14128.67339,14490.88375,7375.312584,10351.60995,9717.086824,6494.342621,11099.23552,14701.35506,16803.47497,16803.47497,50296.17645,4175.448655,32330.69783
3,32800.60772,3943.180641,6647.03191,27928.84188,34449.8061,21606.00358,16509.02885,52207.60096,41137.64554,1484.824471,2215.778425,21788.43332,46285.20692,33656.97509,23435.58732,12219.75461,124109.2678,15882.73143,19521.11714,44492.47219,18079.75898,29252.58893,1335.814237,2435.3202,2080.492768,5602.572755,11946.33803,1018.39897,6239.142585,14473.11778,23367.26797,37033.18854,38498.6374,2055.671831,10975.90046,42225.33689,15032.55016,8164.554421,9974.44741,8460.468927,1779.211184,37152.67037,28160.06342,42010.09104,11516.85077,36755.46019,9511.596333,9849.61961,47073.50438,31284.32063,1801.09451,866.6098086,37149.32494,2689.315735,1279.487442,27245.23592,34001.05561,11004.43837,8960.264827,6284.660607,58117.46973,46758.01311,5146.296003,26723.84905,2469.924307,14238.93878,12694.85535,42516.5038,14776.38863,59190.31585,41015.80013,37973.22815,18843.8528,10948.91753,36798.02037,2465.672965,6622.10074,2700.234273,32747.1062,37799.67597,21363.81816,1005.499161,15822.03641,4732.244426,28594.44932,27433.35406,45046.41533,4409.595233,271817.0624,1292.799471,7764.403054,19961.96196,8062.200332,34709.76419,1029.265464,9140.74515,1463.984544,2714.271101,40623.17596,11851.56236,16765.30478,8120.159972,49985.75231,4324.573636,3183.243658,61114.7912,63887.75722,29259.69042,41695.95221,25848.45145,3079.461907,18205.46537,13857.69737,4660.099375,23721.41621,8788.285978,35593.82718,30893.41835,1516.580802,28474.25252,59827.48103,70361.51871,74043.57039,24350.67053,27964.83529,22174.85025,3684.36718,1904.572175,60635.80272,5801.253269,1514.828663,8355.415871,858.4071546,2770.0949,23306.86782,28771.14606,43382.22173,32769.99649,6425.376634,641.7116769,13187.56149,5834.879237,12456.41689,42388.9447,10229.06117,15251.88796,10450.44769,30414.08464,1648.303488,24924.87458,22145.91491,56227.18545,16687.42961,19478.05454,12341.64913,12886.2698,12838.37875,15304.82403,13407.25984,15156.64679,18159.21116,18159.21116,56227.18545,5992.270639,21187.37301
4,38445.92094,4891.646989,9244.803425,34971.17677,37316.54519,24556.07966,19259.21001,55009.74155,44626.91429,1609.306924,2316.141777,23401.21364,50201.14015,38176.41842,28354.55871,13532.73231,152879.7103,18061.71543,20977.90614,47779.88391,20659.15456,35858.57033,1418.346554,2685.753624,3193.461912,6499.423022,13265.2563,1010.886498,6358.493426,15038.66406,26510.73287,42506.2078,41623.99794,2048.663797,16593.02854,45927.69718,16464.9368,9511.994846,11044.21051,9683.835006,2280.911477,41504.42214,30515.0956,46000.99106,14384.34118,40851.50136,15622.28901,10276.54697,54061.56337,33051.26822,1936.521732,914.3768202,43543.09596,2747.887001,1338.623173,29305.47974,38641.77944,17040.83244,9831.265095,7432.829076,95454.84024,53521.06839,5512.950482,29938.44502,2960.208707,18124.76427,15370.28315,46343.51708,16852.17923,67973.14472,46086.23328,43909.04043,24630.97675,12343.06376,39921.79683,3001.578927,9037.519866,4196.626443,34588.63574,35600.90755,23413.80784,1245.973408,16277.28464,4832.817917,30722.7039,30481.1907,49912.46912,4671.48452,318599.5023,1436.821158,8403.420746,23610.37482,13241.73348,41442.52611,1723.890889,12508.06367,1601.983692,2940.005834,47614.83156,12641.04065,19429.8568,9624.560066,58588.8011,4800.504704,3565.808614,68547.42874,68877.27944,48057.47888,46348.2157,24674.34919,3357.987919,18949.2302,15022.52494,5383.011419,38961.15928,10164.09346,39024.51937,34302.89886,2564.610147,36744.57676,98263.44247,78621.53627,121612.61,28360.39889,30617.03767,24142.20618,4028.835376,1925.745079,64411.59337,6859.166199,1550.062551,9639.356952,994.0609058,2858.744548,26871.85523,30435.08655,46979.80727,52897.00604,6872.309865,646.6939901,15710.42584,8823.344444,15240.84078,47504.2878,12250.26193,17096.48799,17164.30222,37031.00283,1638.501103,30806.44164,25116.76154,62403.93249,18739.20678,22466.23053,14931.84072,14737.00562,16645.13114,21351.24282,16022.67531,15806.8902,20337.64275,20337.64275,62403.93249,8151.2049,19358.4522
5,45062.84914,5707.265517,12584.06961,44605.39167,41046.36813,26970.93496,23007.02494,59058.15866,49308.8708,1733.270063,2419.321304,24671.97845,54798.08174,43432.40494,32362.00239,14566.17561,189895.7966,20899.46253,23118.12001,51860.83027,23426.34661,40458.77414,1546.50093,2886.618039,3776.828337,6879.450055,14990.92207,1054.570278,6682.984251,15758.8174,29335.92013,47637.69386,46347.35311,2097.233205,28084.05199,50506.54416,18412.8439,10928.79198,11816.80773,10936.70785,2534.515361,46273.53582,32567.63019,50578.01443,16239.59637,45840.25522,24468.32944,10887.53085,61010.16614,34733.72976,2117.413632,964.0675959,51037.29905,2741.161172,1390.503036,32129.29402,43867.13465,30067.33025,10574.36419,8564.329993,149505.6504,61892.07509,5751.347731,33028.04218,3323.361871,21427.93695,16410.69599,50317.51119,17581.79005,75447.62686,51229.47708,49995.82051,28357.41198,13401.98901,43983.28128,3358.739396,10438.6529,6377.214496,37004.38058,40482.50132,26590.1383,1427.477613,18216.98918,5266.494063,32385.74198,32801.26345,55987.65362,4856.160363,373433.6687,1506.694373,9185.153824,27191.46328,20739.79665,47694.25456,2813.83368,16478.82074,1735.13348,3198.717254,55809.82114,14167.31719,21850.58589,10951.60619,68672.52079,5358.90097,3899.912086,76333.71703,74945.47201,75269.77801,51143.75039,24476.45131,3721.026592,20484.92438,16358.00392,5984.991441,61022.71443,11007.2646,42006.82905,37724.17911,4187.491085,44010.43475,153904.6091,88175.3379,190475.1222,31273.79794,33325.28021,27336.93591,4122.903566,1933.994333,71424.46455,7629.875672,1586.695892,10953.22452,1061.749719,2991.209804,29897.4829,33188.01689,51289.67006,88002.51878,7085.80779,710.8146672,19074.04942,10975.38932,17458.44262,56732.13027,15934.08272,18862.61527,26883.49968,45142.12328,1675.491623,33961.79298,27765.99682,69237.1845,20805.44485,23976.44535,16458.01004,16324.06293,20352.81373,23377.30071,19160.22484,17088.6209,23072.49866,23072.49866,69237.1845,10725.09283,21051.13521
6,52818.61697,6234.292065,16606.04245,58554.83941,45265.15958,28999.28907,27884.49135,63710.72142,54697.24169,1858.513383,2536.797934,26026.50746,58876.70866,48626.65994,36008.15366,15580.6314,233580.682,24220.2331,24559.98013,56545.3625,25428.57554,43546.18008,1695.456696,3092.901798,4120.672981,7251.74493,16497.52704,1143.733902,7004.00477,16464.7837,32227.62423,53191.22743,51968.89294,2168.849169,39106.74307,55853.58121,19982.60937,12120.7277,12428.46434,12010.65101,2758.035927,51233.38496,34981.50541,55779.39874,18022.97157,51195.94245,34826.06233,11577.21774,67916.28355,37828.69922,2301.896876,1013.358898,59821.32957,2720.891299,1468.6935,34735.44082,49083.93412,42661.47955,11271.54645,9629.706008,212793.1582,69308.62308,5991.367709,36208.14291,3609.590806,24956.77825,16876.17401,55091.70317,18281.29109,83577.0461,56685.36247,56337.29003,31358.8807,14481.82568,49135.27507,3595.685163,11179.71488,8960.892166,40013.04344,47672.59163,29469.07264,1595.598068,20512.15522,5726.07924,34515.45577,35308.84119,62929.6284,5100.33258,437705.3447,1562.386397,9829.652157,31146.56736,29519.19756,53669.93476,4247.554109,20815.32157,1851.460653,3508.389292,65415.25052,15793.13893,23817.81134,11901.95933,80491.74966,5948.396456,4223.631561,84734.73651,82135.4622,107132.3642,56290.14684,25353.4711,4118.789129,22390.18708,17563.0292,6374.127358,86854.35027,11785.39525,45248.47051,41685.62292,6250.743588,50272.57638,219054.2481,97953.31986,271105.4913,34037.92522,36332.04982,30136.81946,4201.219718,1995.679196,78048.54287,8416.486531,1653.308874,12051.92285,1117.12016,3209.991497,32183.6668,36220.781,56466.06603,149251.5865,7203.39367,795.4722701,21774.89763,12393.17532,19168.85063,65165.75339,19332.77389,20667.94138,38263.60265,54659.73546,1756.232263,36846.0597,29985.38963,76741.13969,22397.89624,25014.62881,18441.32499,17723.34358,22531.90314,24567.25736,22046.15319,18703.63773,25229.82365,25229.82365,76741.13969,13595.41566,24287.10631
7,58940.53972,6684.520166,20756.71606,73625.59457,51850.74775,31416.34122,32418.28863,68985.31087,60724.13868,1981.897924,2682.941704,27592.03287,62074.77386,54135.45015,39806.29266,16878.17632,270674.419,27228.96886,26319.42466,62064.86878,27064.5757,45620.24166,1861.718712,3324.279403,4444.485496,7695.771579,17690.59304,1253.619973,7372.237602,17731.74041,35102.78406,59573.99701,58203.49107,2281.665634,49507.71411,61814.40148,21490.89213,13186.86712,13323.17274,12885.11929,2981.512402,56654.5049,38252.32381,61878.35446,19842.9506,56948.46479,45003.18807,12553.75935,75374.30368,41902.32442,2478.022261,1067.726581,66754.8992,2709.27227,1571.79117,37404.53848,54665.35251,54502.2861,12084.49292,10695.5585,274977.1256,76715.21342,6380.814833,39982.90025,3942.065186,28147.09095,17394.26054,60553.11022,19423.16151,91876.34853,62589.40935,63030.5236,34288.50812,15634.94406,55373.46708,3822.486852,12102.37923,11737.17574,43503.1231,54487.47683,31960.102,1773.357311,22619.44903,6151.305476,37569.44442,38588.65645,70280.14964,5508.635297,488437.4248,1616.049829,10486.14979,34535.74942,38145.5126,60248.24479,5906.866686,24581.01154,1976.907734,3839.103831,72997.18155,17643.79383,25766.05166,12796.7954,89821.11688,6394.563584,4596.766576,93978.51858,90435.40085,138439.3644,62084.43079,27260.4371,4512.812271,24015.38852,18656.85194,6829.308291,112235.5615,12522.58085,49475.69522,46346.27124,8529.892101,56470.9582,283067.8769,112061.0967,350329.9138,37104.59332,40160.81732,32601.1715,4440.305519,2093.609301,85381.61033,9231.864208,1748.571228,13156.39379,1193.260434,3486.957514,34365.22146,39983.22944,62588.4028,255067.1544,7548.493451,884.053159,24192.56063,13721.27539,20820.50318,72920.73089,21587.33702,22656.63158,49445.27148,64970.67917,1832.924867,40624.49534,32106.35316,85167.82728,24042.92266,26488.85039,20695.2878,19108.41317,24294.50146,26258.26387,24439.65859,20807.56125,27375.68942,27375.68942,85167.82728,16827.27857,27761.55485
8,64169.85944,7182.080367,25717.95469,89022.86843,59804.73586,34063.76385,36985.59857,74595.6242,67289.05967,2107.348638,2857.414577,29256.86237,64923.8056,60138.34346,44136.53052,18349.72811,305353.8621,30111.08694,28736.1669,68138.22838,28824.25227,47482.1535,2036.810243,3571.858315,4785.87846,8156.358892,18802.37842,1381.183891,7821.886289,19202.00673,38498.91958,66246.14532,65372.90157,2407.962759,60005.79284,68482.76045,23162.33652,14267.23202,14438.31292,13703.47159,3219.65537,61936.33497,42282.22831,68746.96983,21713.14168,63250.89964,52748.68763,13772.36844,83594.60153,46687.30604,2662.650405,1132.707796,72677.52414,2706.852938,1690.060118,40230.57123,60410.48188,66775.95169,13050.1449,11800.94763,322303.444,84447.45235,6884.303454,44416.57276,4338.697504,30916.84917,17993.38637,66124.09578,20829.51314,98779.5,69167.23222,69994.96877,37681.06483,16794.18328,62034.28573,4046.56186,13190.61544,14265.00606,47635.73051,61286.2242,34449.11985,1974.617481,24595.43463,6553.627848,41345.75754,42624.76943,78885.27284,5944.212578,531772.5464,1670.564128,11068.34341,37684.81811,44710.73751,67576.35508,7493.751238,28365.47961,2111.606479,4171.711363,79473.63396,19911.94926,27872.99715,13717.57719,97790.22167,6712.906215,5055.891822,104535.4554,99654.21994,162266.166,68618.52765,28913.42276,4920.330344,25432.26695,19864.03646,7355.988565,131552.4261,13281.96496,54146.28474,51837.7779,10574.46886,62749.68356,331786.6947,130002.4719,410625.202,40757.71743,44680.91544,35100.00918,4770.549965,2199.898479,93614.88964,10090.70351,1858.692623,14577.31852,1294.57686,3799.645867,36627.38631,44415.24226,69295.88099,396549.3539,8084.180803,977.1472116,26718.92195,15023.453,22707.69081,81044.81707,23278.89116,24602.7726,57955.2981,77093.21976,1891.640168,45179.52998,34560.58251,94621.44957,25885.93096,28143.09758,22607.9735,20544.57529,27244.68606,28079.48713,26722.45959,22440.98781,29562.98735,29562.98735,94621.44957,20451.31982,30424.79351
9,68157.16011,7706.375016,31577.62402,103402.7857,68567.27262,36710.98852,41422.17519,80372.6516,74542.89101,2247.702919,3035.76146,31108.10439,68052.63958,66684.60086,49058.21149,19873.2123,335229.2916,32962.5361,31102.84168,74536.83959,30771.92968,49316.00629,2221.810514,3847.022417,5154.235566,8668.760323,19864.90309,1527.510889,8218.297576,20509.24323,42804.7777,73455.2986,73358.70305,2546.847303,69314.47801,75927.67848,24939.70442,15488.136,15594.69107,14567.61587,3498.094711,67563.60208,46851.93003,76211.2762,23891.99748,70289.21228,58862.50525,15098.51854,92532.91052,52182.57495,2866.068492,1206.52832,77193.46268,2716.015743,1822.634753,43269.09794,66698.73468,77221.32592,14111.58344,13058.26192,359659.9085,92206.29678,7415.734258,49481.42823,4777.55723,33702.48608,18618.30507,72317.21252,22415.05226,106186.6035,76450.71744,77926.49387,41887.57146,18047.79216,69553.76887,4283.228444,14324.5863,16689.27594,52417.50823,68596.12641,37375.0555,2207.651402,26785.78066,7020.131461,45793.92112,47312.42584,87674.28742,6344.013503,564815.1158,1727.785832,11384.72958,41053.20095,49892.91942,75487.40103,9027.857721,32545.44248,2263.503595,4528.782394,84411.86006,22224.28498,30166.56789,14780.82359,103866.5793,6975.788425,5549.620733,116547.1931,109830.3179,181073.5675,75794.41937,30453.00636,5375.568306,26810.46795,21061.69282,7907.84505,146799.9627,14187.70046,58685.51262,58192.76992,12473.62391,69601.52281,370242.3119,150698.6543,458218.5679,45245.21415,49853.23207,38180.74276,5152.203671,2311.134207,101609.1856,11053.18196,1984.353125,16026.2441,1406.846567,4143.090675,38920.44795,49292.99088,76536.13011,557872.884,8651.630805,1076.72236,29285.22319,16251.58819,24748.74036,89872.60327,25049.60452,26464.89058,64672.58603,90658.6666,1950.041081,50426.70651,37179.19139,105003.6416,27640.53893,29773.96081,24262.3871,22092.46788,30623.35214,30002.8228,29134.87719,23821.87248,31684.42544,31684.42544,105003.6416,24347.78624,32762.82036
10,72392.21833,8424.974466,37562.30765,117494.744,79204.93009,39765.22034,46462.17971,86625.77972,82738.10004,2412.663954,3226.626891,33157.16015,71559.48209,74106.22723,54788.54336,21542.84106,366843.3096,36024.70408,33666.86786,81500.26911,32835.92616,51276.02807,2430.853979,4169.835165,5588.313354,9256.340052,20979.45918,1692.753408,8618.14024,21883.11762,47714.71599,81868.38544,82218.98196,2708.852461,79062.3014,83997.63685,26806.15568,16890.04268,16828.8938,15508.31143,3817.653043,74547.11471,52377.26846,84480.16683,26419.88054,78135.93835,62520.02467,16608.19026,102525.4506,58492.54587,3086.124187,1286.608045,81990.00655,2739.439138,1975.901779,46651.62877,74176.76437,88067.71211,15292.73827,14460.49657,382007.9736,100690.722,8004.392971,55276.72012,5272.06495,36834.11272,19295.88604,79660.73286,24211.48622,115674.8874,84579.68819,87285.36035,46748.87027,19423.48797,78441.39464,4534.421068,15652.45666,18781.34121,57534.18342,76494.76972,41103.75668,2467.618321,29285.59336,7535.105676,51353.65992,52948.59392,96014.75068,6847.589109,599910.8401,1792.930156,11745.96681,44774.16971,52993.09874,84508.27125,10304.3096,37068.10282,2437.703329,4929.976916,89656.93102,24591.19948,32656.95773,15995.11536,110320.5016,7211.214537,6086.000249,129634.9425,120914.9698,192324.874,83598.44835,32177.44992,5885.406915,28206.12001,22290.42218,8508.915441,155921.6219,15252.36722,63992.29152,65353.63178,13987.63209,77575.25679,393247.9322,175146.8299,486690.7389,50659.89259,55782.67186,42112.61243,5594.67496,2436.944717,110373.7337,12141.55687,2130.202482,17559.14822,1530.555397,4516.797148,41385.47897,55018.70084,84565.96489,709111.936,9242.640163,1192.525643,32107.90781,17660.61743,26928.97927,99996.4287,27217.95315,28526.54669,68691.12446,104773.2573,2021.719359,56435.30176,40140.343,116447.4472,29521.63276,31576.67668,26197.8565,23806.37851,33939.40614,32189.72421,31792.57303,25700.14628,34100.19025,34100.19025,116447.4472,28591.3395,35287.59699
