variable,ABW,AGO,ALB,ANT,ARE,ARG,ATG,AUS,BEL,BEN,BGD,BGR,BHR,BHS,BIH,BLZ,BMU,BRA,BRB,BRN,CAN,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUY,HKG,HND,HRV,HTI,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KEN,KHM,KIR,KNA,KOR,KWT,LBN,LBR,LBY,LCA,LKA,LTU,LVA,MAC,MAR,MCO,MDG,MDV,MEX,MHL,MLT,MMR,MNE,MOZ,MRT,MTQ,MUS,MYS,NAM,NCL,NGA,NIC,NLD,NOR,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PSE,PYF,QAT,REU,ROU,RUS,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,STP,SUR,SVN,SWE,SYC,SYR,TGO,THA,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UKR,URY,USA,VCT,VEN,VIR,VNM,VUT,WSM,YEM,ZAF
1,22735.69305,2639.763002,3268.712755,18984.59806,29363.59358,13803.32095,12480.11989,44942.03471,38372.96858,1263.922455,1646.526143,11970.93001,24328.21689,29064.02003,9953.386089,9513.632848,81545.82039,10872.97531,27224.72214,51234.72002,40665.57259,13278.25244,7743.097086,1600.591715,1984.526399,275.850837,2515.57163,8096.275182,1067.221991,4341.696515,12239.07211,12957.45717,21291.17825,36833.71634,2166.276201,6171.981431,38335.61518,11038.28904,6672.925702,7087.123814,5493.870721,726.3011028,31667.57466,17991.46939,35909.05445,4925.511625,36069.31296,3207.76677,11789.13012,38063.31852,6122.006722,1385.306301,945.1410767,25750,1654.463106,943.5352099,22674.71388,29421.56364,6272.259743,6614.585314,19600,4933.714787,41385.46424,4239.049317,17529.96795,1610.296595,4651.936489,3616.940783,39021.23342,12433.15263,4906.225518,40681.56313,28414.56076,31541.51382,10343.96729,5366.161401,36614.91618,1322.913483,2024.986735,1117.942592,13689.62426,28746.15298,48467.30752,14266.18823,406.1265946,21818.6558,13689.62426,4603.126966,17301.72494,14435.43106,37544.2387,3673.759502,188409.5975,855.6369871,6375.987439,13004.12567,2718.960878,23989.63081,363.5379442,4384.986757,811.4215219,1627.090529,28157.89474,10688.47492,12627.30234,4988.174133,34647.55078,2184.408764,2389.497286,46541.97199,54381.30831,9867.771857,30652.41932,24490.11633,2804.053389,11095.35758,8175.165887,3400.511606,8.00E+03,2719.140432,18754.60625,28494.90987,508.4976404,22759.57573,3132.106957,20176.69788,57897.6137,24971.04548,11377.09263,16355.0414,22662.38562,2451.901364,1642.555561,49391.84378,2063.355146,868.9094546,7039.923659,541.3013453,1993.253918,11124.45196,28118.77571,38810.69917,13194.76299,4856.167739,888.5184634,8482.046697,1325.658643,9044.392004,32463.77501,7140.46705,11939.29285,3524.392506,19281.38875,1241.215969,7353.638517,12336.63355,46396.93769,8054.523269,9758.62681,46396.93769,3299.965784,6803.730161,7786.470946,2601.620774,8463.206492
2,27984.23969,3311.120413,4707.125674,23017.67041,32312.47461,18419.91081,14550.86695,60741.65299,52405.47544,1340.331623,2085.474057,18363.85669,38240.94204,35392.35886,16245.99774,10649.47082,102545.9358,13703.12041,21732.67146,32280.30899,48168.16509,16257.42379,19714.47159,1391.072862,2196.174175,822.7441735,3769.527833,10729.9549,1024.492847,6201.671187,14348.96503,19082.59583,30687.4777,37795.54324,2265.531372,8279.718875,39484.86918,14416.22003,7430.310544,8768.897525,7384.102986,997.5108138,39949.02633,24002.64121,42836.18812,7351.750195,43804.88428,5523.674741,10425.81535,47915.32508,17369.89332,1722.643712,882.3842788,31694.40097,2489.100527,1202.276588,26087.85822,39270.8944,8145.624544,8122.231195,33750.5912,5787.183409,46463.65673,4750.905862,22705.09611,1976.048723,8884.866279,7972.275338,44519.30571,14675.02776,9820.062352,48937.96848,27213.58275,40600.2955,13343.72009,8187.511107,38111.13488,1827.839923,3918.889159,1720.633648,16761.7388,31565.03306,47833.64511,20142.50778,678.9620466,18880.17909,16761.7388,5149.066442,23397.20809,21127.66132,41917.15501,4293.523648,231904.0517,1052.486891,6381.838675,15985.56506,4681.966178,33181.60769,604.1251994,6445.77637,1269.780919,2368.494836,34658.15947,11288.01475,14745.1981,6650.115445,42645.956,3711.090926,2864.486754,56098.71247,67738.15201,16991.99663,37510.29023,26449.96071,2971.165463,16849.4643,12194.23469,4068.492473,13775.75151,5880.602034,28686.04511,28645.52388,874.398933,27374.40448,4222.68116,34743.64704,62242.69366,42999.36469,18038.38488,23722.86121,23382.05813,3140.990205,1831.509104,65774.61297,3826.539419,1388.86661,7784.649032,659.6142101,2625.233695,18608.71033,29268.87404,51329.4669,20697.90925,5734.262525,715.5145304,11222.66095,2856.134956,9893.115414,32952.64967,9435.432715,13313.49354,6068.894424,25045.15,1681.142122,14525.03534,18212.09354,51680.42802,14168.70829,14457.89104,51680.42802,7382.149068,10271.57134,9668.236746,6402.742044,11071.29618
3,32800.60772,3943.180641,6647.03191,27928.84188,34449.8061,21127.27661,16509.02885,75818.959,72742.04552,1540.63171,2337.836548,21549.62405,43124.54511,40228.91114,22886.54317,11980.5828,124109.2678,15621.26557,19107.82291,20783.23559,58587.22026,17832.88815,28579.9122,1379.601582,2480.728245,2111.063865,5654.58398,11932.04426,1063.297147,6316.416567,14409.23986,22889.46186,40363.59568,39571.12972,2120.195034,10975.90046,42553.84086,14889.2116,8207.486093,10030.02539,8591.99148,1823.279596,51634.35134,28494.00265,51551.16425,11265.66606,58798.71813,9511.596333,9729.169973,64886.79674,31063.16035,1873.059923,920.0378258,37149.32494,2810.030231,1328.394714,26294.37918,51522.36411,11004.43837,8802.261104,58117.46973,6332.690832,50082.05727,5152.700507,26041.33665,2511.267313,14030.32673,12759.12287,55517.44505,15022.7267,14413.45637,60560.77501,25504.84441,58446.58919,19309.9975,11070.71972,42643.71191,2552.353227,6571.276206,2700.234273,17808.17733,32567.18838,36635.52513,20759.40261,1043.393418,15561.13914,17808.17733,4827.071111,27740.20393,26678.60076,45046.41533,4517.025963,271817.0624,1346.400291,6729.712483,19413.02826,8062.200332,45310.19505,1029.265464,9140.74515,1514.127825,2771.512593,40623.17596,10402.22582,16551.31733,8063.577783,49985.75231,4438.895182,3256.290901,67364.12682,83303.98189,29259.69042,44172.43297,25153.17071,3165.079642,18016.21289,13772.06989,4713.484189,23721.41621,8665.338985,35884.29912,29719.6974,1516.580802,39078.95209,5956.948625,59827.48103,70361.51871,74043.57039,23851.90442,27215.5485,22174.85207,3727.587654,1959.511492,69156.23893,5243.976476,1577.852724,8292.769706,883.7009381,2766.532622,22883.02718,29085.26791,69309.12101,32769.99649,6468.26735,671.0028361,13069.03144,5157.468639,11166.89294,21436.08057,10462.97576,15074.33164,10450.44769,30414.08464,1706.078329,24377.24075,21586.31699,59817.54217,16340.63398,19156.73105,59817.54217,12199.07059,12606.38875,12307.2639,14699.55088,13389.2185
4,38445.92094,4891.646989,9244.803425,34971.17677,37316.54519,23265.27569,19259.21001,87301.72582,89407.31711,1801.941585,2633.742439,23070.5676,46554.0811,45833.83752,26986.40127,13048.94662,152879.7103,17353.91806,20127.36463,18665.56051,67096.86362,20189.5864,34104.64481,1575.457984,2877.802183,3384.636413,6780.524224,13228.1291,1146.235093,6477.864792,14859.87059,25342.88678,45752.60096,43183.8059,2258.084623,16593.02854,46559.57839,16085.79723,9765.081193,11181.07311,10030.77224,2480.0705,62202.97251,31306.98631,59134.96539,13575.91661,72471.92357,15622.28901,10179.06938,80019.99693,31646.90988,2183.074744,1065.821657,43543.09596,3120.968638,1499.300336,27970.35419,64326.74708,17040.83244,9664.834635,95454.84024,7548.732038,56327.11184,5655.291486,28450.32265,3148.518009,17404.94822,15424.06004,64342.19238,15599.44825,16281.82435,70302.54545,26278.18115,74509.41384,23709.06946,12983.53113,47794.89131,3322.407761,8793.054808,4196.626443,19455.61475,34598.26968,33161.57545,22406.5627,1404.198043,15745.44783,19455.61475,5108.432536,29005.03101,28892.86902,49912.46912,4937.009126,318599.5023,1623.154593,7313.322741,22064.79831,13241.73348,55488.61367,1723.890889,12508.06367,1774.03114,3200.00893,47614.83156,10684.83096,18986.50244,9684.906471,58588.8011,5241.938939,3737.992058,77354.64851,95634.81762,48057.47888,49960.18022,23563.01194,3664.647253,18518.72489,14745.62555,5679.808555,38961.15928,10124.35389,39866.53861,31376.3842,2564.610147,53798.70027,7767.394356,98263.44247,78621.53627,121612.61,27122.09252,29072.28664,24142.20729,4260.743371,2106.882332,72999.41236,6082.972632,1742.276952,9387.739386,1096.472827,2940.20311,25489.27494,31284.56901,83359.43589,52897.00604,7135.857934,735.3602221,15504.23082,7323.480068,13199.16561,20197.36864,12763.56674,16627.24667,17164.30222,37031.00283,1825.488688,29353.41711,23577.61271,67700.07419,17638.36545,21604.57519,67700.07419,14543.82453,14297.52502,15006.1057,20208.78036,16336.11893
5,45062.84914,5707.265517,12584.06961,44605.39167,41046.36813,25036.60351,23007.02494,96656.55597,102920.7236,2138.167567,3055.427338,24368.49415,49514.34243,50906.91512,30157.39851,14009.29144,189895.7966,19794.74493,21965.19474,20109.71329,74686.90057,22876.9449,37364.36503,1904.631272,3332.974729,4303.684336,7505.644788,15198.99857,1333.626854,7098.0932,15624.75482,27350.23268,49477.35508,48409.71896,2532.546967,28084.05199,51460.83618,18159.25329,11724.42092,12281.7467,11807.49484,2973.330227,71101.33736,34050.75234,66247.95288,15112.8067,84179.43815,24468.32944,10985.81842,92530.51822,31189.43031,2644.327022,1258.042544,51037.29905,3481.715103,1727.87058,30044.1534,75571.66287,30067.33025,10617.01144,149505.6504,9058.715457,62286.90385,6183.571101,30650.49131,3814.048162,20228.28708,16660.08573,71490.29301,17090.25927,17097.78984,78534.53879,28102.5955,87554.29513,26391.61682,14671.85517,53412.66268,4110.568534,10271.06004,6377.214496,21843.54859,37557.38094,35881.20641,25159.71916,1754.775377,17567.28758,21843.54859,5898.840182,29984.20281,30370.53783,55987.65362,5463.980995,373433.6687,1887.751326,8440.50409,24859.3019,20739.79665,62780.58613,2813.83368,16478.82074,2104.775896,3789.044685,55809.82114,11822.07916,21494.14413,11400.36297,68672.52079,6373.665057,4343.839632,87042.75655,106500.8438,75269.77801,55638.48598,23412.85239,4354.295359,20062.0003,16386.83983,6771.426488,61022.71443,11270.93434,43644.44147,33086.2332,4187.491085,66817.0984,9713.345833,153904.6091,88175.3379,190475.1222,29298.05123,30993.2277,27336.93958,4640.07154,2310.809443,78466.16874,6934.251438,1960.760617,10888.6416,1312.718937,3283.916005,27786.2827,34768.86601,94351.07783,88002.51878,7719.436836,876.993555,18805.05628,9307.63535,15346.3556,22428.06692,16653.14749,18255.78131,26883.49968,45142.12328,2061.915677,31552.78822,25398.1722,75952.61244,19319.96266,22831.26377,75952.61244,16015.70142,15895.71336,17996.50586,22164.52658,19488.32262
6,52818.61697,6234.292065,16606.04245,58554.83941,45265.15958,26440.43333,27884.49135,105270.1398,115711.2681,2555.751223,3581.212391,25822.26131,51403.32698,55309.45598,32918.82079,15246.94824,233580.682,22760.76943,23220.077,22960.06311,82339.9984,24888.16606,39222.23562,2355.710238,3904.819552,5141.540744,8362.855965,17103.02895,1637.495354,7873.005019,16402.36404,29431.24003,53003.491,54713.18957,2909.763774,39106.74307,57138.87193,19981.33555,13672.57281,13291.77129,13630.31677,3529.738146,79375.55048,37412.15016,73708.86306,16800.97922,95020.89235,34826.06233,12050.48871,103893.4589,33331.676,3222.511945,1488.032128,59821.32957,3928.841196,2055.600786,32037.89999,85559.31826,42661.47955,11737.96175,212793.1582,10772.0966,66733.90513,6855.731021,32805.50047,4558.022231,23341.47579,17381.72462,78951.51265,18951.44361,18101.57286,86937.80544,30133.80946,99545.47795,28700.23138,16467.59089,60068.93815,4956.18249,11192.64488,8960.892166,23720.65929,41512.03329,40423.86272,27607.89217,2139.729472,19855.84216,23720.65929,6857.953787,31591.01619,32110.3381,62929.6284,6177.971446,437705.3447,2198.254597,9640.842621,28183.84641,29519.19756,68036.12566,4247.554109,20815.32157,2496.288456,4529.647695,65415.25052,13172.90229,23710.8462,13035.48164,80491.74966,7668.953797,5073.659253,97212.16785,117756.798,107132.3642,61566.8443,24222.8413,5178.649348,22097.7898,18241.94037,7863.268541,86854.35027,12586.64344,47748.02322,34684.52991,6250.743588,77690.98659,11789.76346,219054.2481,97953.31986,271105.4913,31282.59702,33034.4591,30136.82193,5074.007226,2647.088374,83745.15485,8020.736365,2271.579085,12462.60883,1587.640704,3858.569387,29597.65803,38835.19465,105075.1528,149251.5865,8319.042775,1081.895482,21351.69824,11336.82167,17453.9398,24517.97161,20580.56719,19934.64991,38263.60265,54659.73546,2423.726769,33361.66524,26978.02162,84727.41101,20859.01049,23651.1841,84727.41101,18058.15632,17525.21436,20471.2742,23673.99344,22280.14287
7,58940.53972,6684.520166,20756.71606,73625.59457,51850.74775,28026.61991,32418.28863,114208.155,129041.8095,3050.269618,4193.441155,27833.42518,53148.64504,60205.36466,35873.74657,16979.94151,270674.419,25315.91129,24630.6001,25881.53758,90662.99865,26722.3911,40677.89301,2915.077577,4606.631117,6108.911056,9435.180436,18628.97066,2032.989732,8713.197977,17639.12707,31735.50654,57597.4246,61546.54824,3413.147043,49507.71411,63386.43514,21626.01561,15724.9747,14534.28222,15475.20828,4183.773119,88112.66431,42023.35115,82003.9503,18535.16828,105979.3635,45003.18807,13538.9841,115601.0665,36186.61049,3926.024991,1764.010873,66754.8992,4455.576917,2483.722565,34354.64061,95609.7225,54502.2861,13084.28327,274977.1256,12723.54322,71252.27489,7795.715571,35511.68286,5495.104457,26003.28868,18137.5159,87195.71004,21305.41438,19628.60003,95299.27289,32606.56171,111743.6633,31187.45461,18527.19536,67940.59597,5970.928835,12256.59139,11737.17574,25458.19408,45964.61004,44955.42238,29827.19145,2599.125107,22151.69376,25458.19408,7837.397189,33889.72858,34411.78964,70280.14964,7097.095966,488437.4248,2559.236888,10921.49894,30943.43036,38145.5126,73843.97243,5906.866686,24581.01154,2971.304052,5312.686708,72997.18155,14639.06124,25970.2248,14852.65412,89821.11688,8600.625445,5909.657277,108111.7784,130126.76,138439.3644,68014.39691,25672.32238,6106.884933,23761.51482,20063.87457,9233.304013,112235.5615,14029.60596,52857.36288,36918.87038,8529.892101,87871.51058,14102.16265,283067.8769,112061.0967,350329.9138,33871.99172,35794.31343,32601.1947,5770.993472,3090.639789,89763.39897,9293.562645,2685.668809,14005.54726,1943.034472,4603.853576,31139.41184,43873.47795,116859.7436,255067.1544,9273.81833,1345.579236,23304.75414,13437.5191,19699.55646,26842.90356,23485.28044,21648.47117,49445.27148,64970.67917,2838.772527,36054.08353,28323.21036,94277.04887,22372.03984,24778.62375,94277.04887,20429.2922,19280.23918,22643.14415,25791.04657,25060.70164
8,64169.85944,7182.080367,25717.95469,89022.86843,59804.73586,29803.92591,36985.59857,123294.5862,142909.512,3614.849603,4922.625201,30039.56728,55105.78588,65885.30348,39549.61641,18849.16039,305353.8621,27663.41337,26558.87537,27931.55022,99491.37578,28764.21315,42303.38587,3562.353262,5407.678905,7228.696896,10589.81705,20102.2154,2523.65399,9747.333259,19096.02306,34287.543,63035.25965,68976.65934,3999.054356,60005.79284,70117.8571,23402.21282,17955.05738,16025.53534,17453.04304,4934.792838,96431.0933,47572.76522,91060.91581,20274.54611,117515.9664,52748.68763,15318.3723,128052.651,39712.64113,4794.62333,2108.596059,72677.52414,5043.598782,3001.061077,36756.10688,105620.6567,66775.95169,14624.74443,322303.444,15089.84447,76335.97323,8936.286429,38943.44122,6643.896524,28136.85424,19038.32134,95470.78946,23182.34066,21399.4384,102254.3412,35705.0128,123841.6495,34118.82149,20627.75697,75962.55907,7135.779278,13585.36642,14265.00606,27168.6795,50858.90025,49544.8932,32142.25974,3160.154249,24365.03846,27168.6795,8836.583819,36432.91699,37218.88194,78885.27284,8132.698268,531772.5464,2962.849558,12257.03049,33331.85451,44710.73751,81113.40673,7493.751238,28365.47961,3521.799862,6292.488019,79473.63396,16365.88783,28426.9175,16791.05086,97790.22167,9665.148199,6928.363369,119957.7177,143219.4882,162266.166,75030.93463,27036.62888,7170.744163,25180.30012,22034.37172,10809.64097,131552.4261,15552.96275,58664.72161,40298.46028,10574.46886,97793.65517,16561.2198,331786.6947,130002.4719,410625.202,36945.23801,39311.532,35100.06792,6651.475845,3599.344104,96745.01793,10706.75356,3185.506345,15932.83169,2395.728365,5495.94975,32698.26675,49672.07652,129279.9509,396549.3539,10511.43523,1675.193268,25281.99796,15611.6774,22370.91845,29732.99371,25840.64896,23346.22432,57955.2981,77093.21976,3262.119455,39647.88516,29881.17146,104740.5385,23971.51794,26078.81298,104740.5385,22509.35379,21099.52367,25788.00562,27904.85549,28000.26393
9,68157.16011,7706.375016,31577.62402,103402.7857,68567.27262,31707.74372,41422.17519,132360.3806,157659.7718,4272.732704,5765.99585,32175.67129,57142.59258,72038.69107,43795.20296,20768.24612,335229.2916,30045.04234,28638.93211,29632.83851,108498.0224,30863.94737,44042.16623,4310.765534,6330.744122,8516.576093,11854.52404,21703.01839,3128.957651,10876.70654,20518.68998,37504.21012,68904.81796,77132.41698,4673.460098,69314.47801,77516.23309,25399.86092,20282.1805,17680.7369,19497.86411,5824.355551,104592.1827,53662.28314,100634.4213,22502.0968,130240.5079,58862.50525,17233.20334,141412.3329,44220.74766,5856.285942,2529.361983,77193.46268,5703.671242,3618.821393,39272.02795,116020.7689,77221.32592,16305.84131,359659.9085,17846.70777,81971.29205,10182.20324,43015.66529,7997.749069,30473.00258,20116.26847,104006.8851,24708.90141,23332.19737,109252.5453,39480.78324,137063.5229,37441.91455,22798.29237,84841.9847,8458.635228,15075.68315,16689.27594,28870.22973,56334.31526,54520.39243,34530.09443,3850.836745,26645.70615,28870.22973,10084.91984,39802.04585,40805.64468,87674.28742,9288.987314,564815.1158,3414.998125,13362.61029,35723.821,49892.91942,88894.45531,9027.857721,32545.44248,4168.370332,7517.345008,84411.86006,18310.78903,30919.96759,18950.52901,103866.5793,11015.07866,8139.422957,133267.2655,157189.4051,181073.5675,82643.19139,28392.3922,8429.92369,26713.0689,24097.87794,12499.08043,146799.9627,17277.8392,64232.4953,44521.87425,12473.62391,107986.9085,19111.20212,370242.3119,150698.6543,458218.5679,40591.44042,43456.12562,38180.80111,7679.730947,4173.681389,104197.2429,12317.98426,3780.776994,18085.64732,2945.800719,6551.891955,34390.14442,55941.7086,142317.4788,557872.884,11840.01523,2085.026089,27458.89192,17951.65692,25279.6467,32755.56107,28139.29349,25077.39482,64672.58603,90658.6666,3716.542303,43905.3566,31723.80315,116025.938,25624.27611,27523.2541,116025.938,24420.88507,23014.62794,29463.02942,30022.15955,31060.67531
10,72392.21833,8424.974466,37562.30765,117494.744,79204.93009,33779.50201,46462.17971,141786.2021,174003.4269,5058.252825,6735.285255,34321.55439,59526.87248,78621.64888,48572.62417,22886.88246,366843.3096,32565.12821,30775.29271,31490.26606,117904.8931,32728.16749,45675.31344,5199.964637,7427.342182,10047.44061,13282.38573,23421.52135,3868.220569,12111.64757,22012.81687,41232.87449,75329.5086,85883.80794,5468.350405,79062.3014,85397.67936,27511.88927,22759.11125,19501.06923,21612.07746,6876.248832,114670.5317,60626.89286,111016.0602,25250.79652,144307.7935,62520.02467,19381.45395,155740.6127,49467.65998,7113.252824,3028.572359,81990.00655,6450.350628,4366.169864,42058.15167,128229.6541,88067.71211,18168.35869,382007.9736,20792.73873,88058.75996,11587.55745,47679.81516,9593.246336,33121.06792,21368.41012,113743.8477,26688.4296,25479.15403,117865.7935,44124.13267,152807.0885,41453.65201,25131.40326,95263.12405,9928.7828,16854.2577,18781.34121,30814.01328,62266.91052,59945.3874,37271.21961,4680.049365,29195.92127,30814.01328,11547.57675,44347.24347,45277.58708,96014.75068,10684.7649,599910.8401,3934.771178,14460.51725,38536.9327,52993.09874,97143.10535,10304.3096,37068.10282,4935.66847,8962.003801,89656.93102,20390.52545,33372.0462,21346.37447,110320.5016,12555.71471,9556.96612,147656.4023,172132.7146,192324.874,90683.91526,29859.25239,9900.922676,28333.75893,26156.57354,14351.16594,155921.6219,19253.13609,70218.92455,49493.35998,13987.63209,119553.1611,21940.96154,393247.9322,175146.8299,486690.7389,45103.84237,48337.12617,42112.60345,8891.69737,4837.02761,111979.4212,14174.17486,4497.791256,20415.00204,3606.890968,7771.589742,36248.9607,62939.80857,156213.0746,709111.936,13279.18902,2594.626324,29776.78561,20530.3004,28266.05337,35973.98281,30667.03207,27034.99146,68691.12446,104773.2573,4233.111676,48855.09992,33678.89986,128034.3652,27517.0646,29188.26581,128034.3652,26597.09449,25095.35182,33193.82834,32354.70519,34242.9434
